year,ses_DET airs_NOUN,ses_DET guerres_NOUN
1800,3.018397904952508e-07,6.759953512514016e-07
1801,4.143257559263702e-07,7.381666016215149e-07
1802,2.4616241489638924e-07,9.466063772833877e-07
1803,4.21273259831878e-07,1.0024743701819716e-06
1804,7.464990119387949e-07,4.968420270756724e-07
1805,3.098736751638853e-07,1.2139087421925154e-06
1806,5.503988118604752e-07,7.002455788551742e-07
1807,2.4768510797912313e-07,5.950136028332054e-07
1808,3.512414803452657e-07,9.018974722607709e-07
1809,2.868968715930009e-07,1.0188227790308702e-06
1810,4.422839516848853e-07,7.511807140758719e-07
1811,5.114436874009698e-07,8.649415050854259e-07
1812,6.134579066952028e-07,1.0348767780499202e-06
1813,7.620715223310981e-07,1.1617996484858395e-06
1814,2.832009533548785e-07,1.7023522751458131e-06
1815,1.7531953111493692e-07,9.629088104645689e-07
1816,3.569109896517375e-07,7.856676944584251e-07
1817,3.3939841515007174e-07,1.080470130254696e-06
1818,3.6598014663269396e-07,1.3828566196583125e-06
1819,3.0949639295840825e-07,1.573359645234973e-06
1820,3.548077778248171e-07,1.083409756574838e-06
1821,2.504818059634317e-07,8.559771850213949e-07
1822,4.661911532366503e-07,1.1088330751363173e-06
1823,5.297120146963152e-07,9.882687166395954e-07
1824,2.5937027459121964e-07,9.490593866345876e-07
1825,3.2492083512636327e-07,1.1790488620988526e-06
1826,2.1051082210732375e-07,1.4991189800639404e-06
1827,2.2213627737244224e-07,9.632050641528167e-07
1828,2.5315550056248526e-07,1.0896693396489354e-06
1829,2.9491725683783443e-07,1.1599507733217607e-06
1830,4.039055490068222e-07,1.1762314571228671e-06
1831,2.8064169654840043e-07,1.3236934144345014e-06
1832,2.273034804822771e-07,1.1270464526091928e-06
1833,2.8495726667188137e-07,9.452241132024142e-07
1834,2.174945723520949e-07,1.1313451597771973e-06
1835,2.8134687113379186e-07,1.1321942565700738e-06
1836,3.461186359743351e-07,1.455714455644852e-06
1837,2.1847777098571441e-07,1.3421771529742443e-06
1838,2.3165634388533363e-07,1.6645171270202042e-06
1839,2.929428202236295e-07,1.5758785538722009e-06
1840,2.3695241679888568e-07,1.4376387120762502e-06
1841,3.017657759230019e-07,1.0812203425913935e-06
1842,3.474881253850981e-07,1.353057051289852e-06
1843,3.904468250937043e-07,1.2032377343373923e-06
1844,3.534633599144854e-07,1.2788347936165678e-06
1845,2.812434836130251e-07,1.0133694026137618e-06
1846,2.8452876144058337e-07,1.0678610655734389e-06
1847,1.9361672976003774e-07,9.572971784166384e-07
1848,2.856053598065955e-07,1.020938650952985e-06
1849,3.0584863974780774e-07,6.87112024166936e-07
1850,2.0910107512150944e-07,8.995419982227304e-07
1851,2.1154158513780885e-07,9.822495150579869e-07
1852,2.975319315368097e-07,8.919447167521355e-07
1853,3.3084501804836464e-07,9.859659328981252e-07
1854,3.205725054300501e-07,1.0308197975206213e-06
1855,4.24554979616687e-07,8.713990595765608e-07
1856,3.6861587382475136e-07,7.703657343149928e-07
1857,3.6220798094177553e-07,8.972213736413437e-07
1858,3.9002598661852517e-07,9.899906228127975e-07
1859,3.890420323671151e-07,8.595588814053201e-07
1860,3.972995692436143e-07,8.403709621518374e-07
1861,3.2634468283276874e-07,8.351971525488722e-07
1862,3.117410560804501e-07,9.329641743605066e-07
1863,3.6310894024893514e-07,7.856538655204304e-07
1864,3.605635559011944e-07,8.083911557932311e-07
1865,3.652511124663249e-07,8.604111287890959e-07
1866,3.14805156165221e-07,8.461301064244253e-07
1867,3.799751358002368e-07,7.958610748204364e-07
1868,3.5171902101893693e-07,6.817026152461381e-07
1869,3.731008497709354e-07,6.651353254838455e-07
1870,3.635387013645186e-07,6.978337436791548e-07
1871,3.2500803737178785e-07,5.83102646167788e-07
1872,3.2837051566758646e-07,8.109482214635477e-07
1873,4.477531332369722e-07,7.404687749623662e-07
1874,3.172517573091227e-07,7.426439303515053e-07
1875,3.341371748177835e-07,8.181783801575193e-07
1876,3.766667333593432e-07,6.771536771310593e-07
1877,3.3892790440859244e-07,6.191000778699163e-07
1878,4.1971667208429153e-07,7.850815104681885e-07
1879,3.8366562193914433e-07,6.543087307520068e-07
1880,3.529815550962212e-07,7.033959765756492e-07
1881,4.0440544069042517e-07,6.693607482177732e-07
1882,3.4009017646496886e-07,6.122954103737754e-07
1883,3.444039791133946e-07,5.649489103198846e-07
1884,4.152467312223962e-07,5.585035598443255e-07
1885,3.7706968569750643e-07,5.336986170778601e-07
1886,3.9753338043624353e-07,6.279220230442917e-07
1887,3.6627267441247113e-07,5.288428943650558e-07
1888,3.734621962792062e-07,5.788980939058774e-07
1889,3.35811327190072e-07,5.36295691411226e-07
1890,3.480379096032493e-07,4.4176565988651717e-07
1891,3.2189810639238203e-07,4.39183762690476e-07
1892,2.9336638940336e-07,4.3127366322615046e-07
1893,2.6542775843907407e-07,5.03758487813144e-07
1894,2.671852543656428e-07,5.406720893219585e-07
1895,3.3403309451784935e-07,5.519069468107318e-07
1896,2.8836471965831834e-07,5.336811286227316e-07
1897,2.3656457681653364e-07,3.769883791804318e-07
1898,2.6028431676650143e-07,3.570421993615014e-07
1899,2.758261761215408e-07,4.4165351731351166e-07
1900,2.797977547430719e-07,3.446859349054421e-07
1901,2.425512741766056e-07,3.727688757670933e-07
1902,2.587719691860002e-07,2.8725160028386654e-07
1903,2.5381036650173883e-07,3.574945734996504e-07
1904,2.98829173850379e-07,3.343016725665393e-07
1905,2.332663022741599e-07,3.1790276289189734e-07
1906,2.9270411161519405e-07,3.281989606751523e-07
1907,3.162848578597277e-07,3.54856195761144e-07
1908,4.066630143739758e-07,3.2857191833990385e-07
1909,3.762672777796183e-07,3.5426333866439563e-07
1910,3.270620183570827e-07,2.5384714852361157e-07
1911,2.803837286791122e-07,2.846400044553832e-07
1912,2.906857154982845e-07,3.068349077040011e-07
1913,3.399216428334739e-07,3.303762547979261e-07
1914,3.127379333278668e-07,2.7657552870152813e-07
1915,2.155879403886729e-07,4.0761437158920444e-07
1916,1.8678684909900767e-07,2.9556274228070833e-07
1917,1.9849227905766043e-07,2.906102389843568e-07
1918,2.802675931334875e-07,2.974971593516784e-07
