year,rares_ADJ gouttes_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,8.091670444798638e-09
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,9.217273055917019e-10
1828,0.0
1829,0.0
1830,6.262101504006523e-09
1831,6.236482441579483e-09
1832,0.0
1833,4.6334514003376626e-09
1834,9.334531370086552e-09
1835,7.563087933704082e-09
1836,6.048674894287842e-09
1837,0.0
1838,0.0
1839,4.894032734625853e-09
1840,7.64362617644565e-09
1841,1.7977535904378783e-08
1842,7.379091560011375e-09
1843,1.7720733769266417e-09
1844,3.841992946007622e-09
1845,2.7901139176833567e-09
1846,0.0
1847,2.6966118227278457e-09
1848,4.02261068899179e-09
1849,3.3517659758786067e-09
1850,4.752297222410107e-09
1851,1.2898877521649865e-09
1852,7.161600201754936e-09
1853,4.777545470346922e-09
1854,2.0782657816909023e-09
1855,5.306937111981824e-10
1856,3.1063134287023786e-09
1857,1.513267733344037e-08
1858,8.31924928945682e-09
1859,1.2730433596175317e-08
1860,2.746310290291376e-09
1861,1.4147891747029462e-09
1862,4.066187830886747e-09
1863,8.490855130105501e-09
1864,0.0
1865,6.589582213223366e-09
1866,5.838735717134114e-09
1867,3.88224918879132e-09
1868,4.93987406535723e-10
1869,7.813630631403612e-09
1870,1.1468097582678638e-09
1871,2.1242354542039266e-09
1872,1.4513614310374123e-08
1873,8.380406590902112e-09
1874,8.961913877669758e-09
1875,3.432916173551348e-09
1876,6.04601479992084e-10
1877,4.9478527941460015e-09
1878,6.039088673581716e-10
1879,9.163987790827832e-09
1880,1.9253538763308597e-09
1881,1.1853263259808955e-08
1882,2.6621540527571597e-09
1883,1.2638677882037541e-09
1884,1.0562715146988921e-08
1885,2.3848851782304337e-08
1886,3.872078213618124e-09
1887,3.9173548849191775e-09
1888,6.340614699951175e-09
1889,1.1903759755682586e-08
1890,9.176140736144589e-09
1891,3.824531802365527e-09
1892,5.641661360300532e-09
1893,6.15841644346915e-09
1894,6.9316934414587195e-09
1895,7.22233739480771e-09
1896,8.845543852942228e-09
1897,2.9133566670225264e-09
1898,1.0185038590293516e-08
1899,3.3165470370022376e-09
1900,7.786579381274805e-09
1901,8.38310842965484e-09
1902,1.8659077838378835e-08
1903,1.7280704867062013e-08
1904,1.289910045443321e-08
1905,1.1353670004154992e-08
1906,6.6874399351490865e-09
1907,4.114274698707732e-09
1908,1.1787333775714615e-08
1909,9.351672325408344e-09
1910,1.336037680488289e-08
1911,1.5961122423746588e-09
1912,1.2502610502451716e-08
1913,1.0605979205990934e-08
1914,1.7411533548283842e-08
1915,5.890381071793627e-09
1916,2.197492410260793e-09
1917,2.1932848870420685e-09
