year,mes_DET ans_NOUN,mes_DET gants_NOUN
1800,1.2262241444460642e-07,3.144164395507687e-08
1801,2.809795489611133e-07,7.381665767525192e-08
1802,9.622712582313397e-08,6.713520406265161e-08
1803,1.1897068930011301e-07,3.90067853572873e-08
1804,2.0269178335752258e-07,5.4380719483049234e-08
1805,1.336152555264647e-07,1.421438877713399e-08
1806,1.3832011802605848e-07,2.305335300434308e-08
1807,1.0533733885154106e-07,8.540865792383556e-09
1808,1.3143229082857033e-07,1.1330369531492579e-08
1809,1.1746958961111886e-07,2.259030518203531e-09
1810,2.1763179169909108e-07,3.978215445954447e-08
1811,8.524061279047146e-08,4.262030373070047e-08
1812,1.1468995486652034e-07,7.20146218213813e-08
1813,2.875741715868685e-07,5.7514832008109806e-08
1814,1.3530711440168375e-07,6.608021863030444e-08
1815,7.282503844407984e-08,7.282503844407984e-08
1816,1.0197456923322079e-07,2.5493642752394408e-08
1817,2.459860013459547e-07,3.580808805025981e-08
1818,1.1563542257064796e-07,4.0532004197402216e-08
1819,2.111614219035829e-07,3.105315171669787e-08
1820,2.4563615674821904e-07,3.4412794391869284e-08
1821,1.4397773084873222e-07,6.114122541589495e-08
1822,1.87479017199621e-07,5.012807946513931e-08
1823,2.1445430964384116e-07,6.522573503531248e-08
1824,3.065284950309888e-07,5.4737234300716864e-08
1825,1.717061417494392e-07,5.723537821467062e-08
1826,9.336463135944939e-08,3.963592876132793e-08
1827,9.032927539287527e-08,3.594736658341091e-08
1828,1.2290883910637262e-07,4.953042537225727e-08
1829,8.74463982336593e-08,3.17207503042205e-08
1830,1.544651753171422e-07,7.514521493945381e-08
1831,1.4811645598911127e-07,8.886987412637382e-08
1832,1.434176764014694e-07,1.2582871555810726e-07
1833,1.1699465085612815e-07,1.1004446831552883e-07
1834,1.0734710209625575e-07,8.681113916608751e-08
1835,9.302598158456021e-08,1.0588323107185715e-07
1836,9.879502327336809e-08,5.376599998552223e-08
1837,6.888311654407175e-08,6.540417585298997e-08
1838,8.268932338850732e-08,9.215756180402934e-08
1839,6.711816002979987e-08,3.705481976812308e-08
1840,5.0320539179971036e-08,5.669022867804685e-08
1841,8.346712876416973e-08,6.099520977187467e-08
1842,7.91575285319368e-08,4.561620237097941e-08
1843,7.324569972766426e-08,4.0166995285417784e-08
1844,6.421616838281352e-08,4.116420815325483e-08
1845,7.031086912689943e-08,7.533307799789668e-08
1846,4.6836011513562426e-08,3.922516045307134e-08
1847,4.853901458545806e-08,2.2112217834546755e-08
1848,4.98803736093123e-08,4.988037316522309e-08
1849,1.5250535856381475e-07,2.4300303991253713e-08
1850,9.708264059327121e-08,3.055048214406497e-08
1851,4.4501126561513615e-08,7.029888493548242e-08
1852,5.664174484998341e-08,6.054807411004504e-08
1853,5.613615816635331e-08,6.091370430283405e-08
1854,6.182840839308312e-08,7.32588665286471e-08
1855,8.278821894691646e-08,7.854267281004468e-08
1856,7.558696424325717e-08,8.33527469268347e-08
1857,9.616573248827365e-08,6.394776930207513e-08
1858,7.683071689967846e-08,8.857553801533413e-08
1859,9.573285764119532e-08,6.772590488424157e-08
1860,6.224969983925632e-08,8.284703234551216e-08
1861,8.866011791397455e-08,4.7631234956213575e-08
1862,8.764893544288554e-08,4.111367607473326e-08
1863,6.84263046224487e-08,6.6927920983062e-08
1864,6.13725177345259e-08,8.007195617665275e-08
1865,5.2245974213604995e-08,7.766292986488565e-08
1866,7.347075592356589e-08,8.174229382262865e-08
1867,4.124889763090778e-08,6.114542472346329e-08
1868,4.643481643640257e-08,7.755602449144305e-08
1869,6.690421416877257e-08,6.153234100025884e-08
1870,6.135432029097387e-08,5.676708436652689e-08
1871,3.9298356568906456e-08,5.629224020253787e-08
1872,4.535504372071841e-08,1.0703790653820988e-07
1873,5.6268441461782004e-08,5.7465642910869974e-08
1874,4.600448944014346e-08,8.483944835546708e-08
1875,7.037478400029329e-08,5.9503881821854065e-08
1876,5.985554496490408e-08,5.26003283152221e-08
1877,1.1441909597564859e-07,6.43220854357196e-08
1878,6.642997307793053e-08,7.730033835251504e-08
1879,5.315112849846315e-08,6.231511795462552e-08
1880,6.802917074111292e-08,5.51934773440621e-08
1881,2.998178288970976e-08,6.135806984719494e-08
1882,4.392554342480537e-08,1.0781724313346785e-07
1883,5.940178687824371e-08,4.613117354779206e-08
1884,4.8192386969958534e-08,6.865764934360641e-08
1885,3.8673812818856845e-08,4.5764013079097055e-08
1886,4.646494078386354e-08,6.517998429877991e-08
1887,4.047933110928881e-08,8.552891106461402e-08
1888,3.614150267949867e-08,7.798956058735484e-08
1889,4.63620102308937e-08,5.07476087818759e-08
1890,2.6217545023854427e-08,5.177965434199905e-08
1891,3.6970476458009216e-08,5.991766993673764e-08
1892,4.638699313552763e-08,8.713232380053171e-08
1893,2.8328715429015716e-08,5.912079720227226e-08
1894,4.852185342407722e-08,8.128985351518736e-08
1895,2.768562623600701e-08,8.064943735064389e-08
1896,4.540712200684638e-08,6.72261308842792e-08
1897,2.6802883135168543e-08,7.458193640452748e-08
1898,3.225262235062587e-08,4.074015658162011e-08
1899,5.085372123403431e-08,3.205995469102163e-08
1900,4.360484651133589e-08,5.8658899071417636e-08
1901,2.51493244007861e-08,3.465018150183852e-08
1902,3.093478850857423e-08,5.008489412094974e-08
1903,2.106085861264262e-08,6.156251153299763e-08
1904,2.042357571951925e-08,4.568431322127253e-08
1905,4.02539197530416e-08,5.6768350686908775e-08
1906,3.5494874317532066e-08,6.738881586088041e-08
1907,6.274269059858284e-08,7.251409428477018e-08
1908,5.206072462016209e-08,5.451641937881391e-08
1909,3.740668841345496e-08,1.0231829694618e-07
1910,5.557916771259386e-08,6.466422020068308e-08
1911,3.77746552926439e-08,4.735132819178034e-08
1912,5.365703970028335e-08,6.772247534980735e-08
1913,4.0302722548180014e-08,5.090869947821375e-08
1914,4.2859158888575166e-08,5.826167059908016e-08
1915,1.5314990164938536e-08,4.947920073661294e-08
1916,1.9777431248257926e-08,8.02084711981621e-08
1917,2.5222776423028392e-08,8.773139459350432e-08
1918,5.972915850804839e-08,6.662098428478203e-08
1919,6.997964874244644e-08,1.0128632954575778e-07
1920,4.0890050456710014e-08,5.906340749817218e-08
1921,6.285380305115496e-08,7.799929990781607e-08
1922,8.779743332354428e-08,1.0181550713639353e-07
