year,quels_DET âges_NOUN,quels_DET gages_NOUN
1800,0.0,0.0
1801,0.0,7.143547975374531e-09
1802,0.0,4.0281122437590966e-08
1803,0.0,1.950339223455444e-09
1804,0.0,1.7302956178966156e-08
1805,1.7057265822018053e-08,1.1371510622026904e-08
1806,0.0,3.1698360380971735e-08
1807,0.0,8.540865792383556e-09
1808,0.0,0.0
1809,0.0,1.8072244145628247e-08
1810,0.0,4.680253518074551e-09
1811,0.0,5.0141535368197765e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,5.751483289628823e-09
1814,0.0,1.2586708564299443e-08
1815,0.0,8.091670666843243e-09
1816,0.0,3.012885052555703e-08
1817,0.0,6.227493631882908e-09
1818,0.0,3.695565053973837e-08
1819,0.0,5.175525119582858e-09
1820,0.0,3.5599444281331216e-08
1821,4.930744257336528e-09,9.861488514673056e-09
1822,8.02049271442229e-09,2.8071724500478012e-08
1823,0.0,8.894418535021487e-09
1824,0.0,6.736890156844311e-09
1825,8.805443041381977e-10,2.8177416844243908e-08
1826,0.0,2.818555067118922e-08
1827,5.530363722527909e-09,1.566936402852548e-08
1828,7.337841001486822e-09,1.559291185060374e-08
1829,0.0,2.3147576133641934e-08
1830,2.0873671680021744e-09,7.305785310052215e-09
1831,1.5591206103948707e-09,4.5214497035317436e-08
1832,1.0823975493678972e-08,2.0294954272692678e-08
1833,1.0425265983826648e-08,1.2741991017861665e-08
1834,0.0,1.2134890203796544e-08
1835,1.5126175867408165e-09,1.739510224751939e-08
1836,0.0,1.9490175473535487e-08
1837,0.0,1.8786305622242594e-08
1838,0.0,5.680945713848473e-09
1839,0.0,3.985141017182059e-08
1840,7.64362617644565e-09,3.2485412138072434e-08
1841,1.2841097074556274e-09,1.8619591202195807e-08
1842,6.708265054555795e-10,2.750388716776797e-08
1843,5.906911071384968e-10,1.2995204468069232e-08
1844,0.0,1.4270259196536017e-08
1845,0.0,3.682950477923441e-08
1846,8.781752214304106e-09,4.97632610674259e-08
1847,0.0,2.2112216946368335e-08
1848,1.6090443422100975e-09,4.424872024344495e-08
1849,0.0,3.6869424846486254e-08
1850,0.0,3.6660578572877967e-08
1851,3.2247193804124663e-09,2.3217979538969757e-08
1852,6.510545436100301e-10,1.6927418133860783e-08
1853,4.777545470346922e-09,3.2248431480752515e-08
1854,4.1565315633818045e-09,2.234135765277756e-08
1855,1.1144567935161831e-08,2.5473298137512757e-08
1856,5.177189232874468e-10,1.0872097444547535e-08
1857,2.9289055625270066e-09,2.0014187862571475e-08
1858,9.787352039936081e-10,4.404308384664546e-08
1859,0.0,2.2405562294380843e-08
1860,1.8308735638683515e-09,1.2358396528355797e-08
1861,4.715963730639317e-10,6.6023493339173456e-09
1862,9.035972525772706e-10,1.1746764894127182e-08
1863,4.994620828036034e-09,2.1976330977224734e-08
1864,4.315255264231155e-09,1.4384184510163323e-08
1865,0.0,1.0825742191578058e-08
1866,9.731225825149181e-10,1.5083400528581592e-08
1867,0.0,1.5043715606566366e-08
1868,9.87974813071446e-10,8.89177353968762e-09
1869,0.0,3.41846337903462e-08
1870,4.013834153937523e-09,2.695002798702717e-08
1871,2.1242354542039266e-09,2.442870794538976e-08
1872,2.4189357183956872e-09,2.660829245826335e-08
1873,0.0,1.975381413998889e-08
1874,4.182226565063729e-09,3.465273357150522e-08
1875,0.0,9.726596139625343e-09
1876,1.813804439976252e-09,2.6602465119651697e-08
1877,1.8554447978047506e-09,1.6699003513309663e-08
1878,2.4156354694326865e-09,2.2344628369808106e-08
1879,5.498392852132383e-09,2.3215435795975736e-08
1880,1.2835692508872398e-09,2.0537108014195837e-08
1881,6.9725074602899895e-09,2.2312023340020914e-08
1882,5.989846840748214e-09,8.652000449416164e-09
1883,1.0110942305630033e-08,2.0221884611260066e-08
1884,1.3203393933736152e-09,1.4523733327109767e-08
1885,7.090199094506033e-09,1.6114088952079442e-08
1886,4.5174246565693466e-09,1.7424352183326164e-08
1887,5.223139698529167e-09,1.3710741875172516e-08
1888,1.268122939990235e-09,8.242799109936527e-09
1889,3.759081934617825e-09,2.0048437132658137e-08
1890,6.554386478008212e-10,1.5730527325175103e-08
1891,1.912266012205066e-09,1.529812765355132e-08
1892,2.5074049503359674e-09,1.3790727448892426e-08
1893,0.0,1.6627725196727283e-08
1894,5.041231432301174e-09,9.452308713520097e-09
1895,0.0,1.5046536461227333e-08
1896,0.0,2.1229303648340192e-08
1897,5.826713556089658e-10,1.6314797735006437e-08
1898,5.6583548957434e-10,1.8106735777401184e-08
1899,1.6582735185011188e-09,1.1607914629507832e-08
1900,1.5573159428683425e-09,1.6611369946240018e-08
1901,7.265360757457984e-09,1.900171220370339e-08
1902,0.0,2.5042447227008324e-08
1903,5.400220270956879e-10,1.5660639007819555e-08
1904,5.374625189347171e-10,1.3974025492302644e-08
1905,0.0,1.0837593600321327e-08
1906,4.115347618238729e-09,2.2119994169678137e-08
1907,1.2342823652033985e-08,1.0799970695529737e-08
1908,9.822778146428846e-10,1.4734167219643268e-08
1909,3.850688434781091e-09,1.5402754627302784e-08
1910,5.878565856320961e-09,6.947395880807505e-09
1911,0.0,1.170482277768059e-08
1912,1.5628263128064646e-09,1.5628264016243065e-08
1913,4.242391771214216e-09,1.0605979428035539e-08
1914,8.036092680185902e-09,1.0045115406143168e-08
1915,3.5342285764627945e-09,1.2958838002674611e-08
1916,8.789969641043172e-09,9.888715624128963e-09
1917,1.6449636319748606e-08,7.676497326691845e-09
1918,1.033773866510046e-08,5.2837330954957906e-08
1919,1.749491218561161e-08,2.762354611718365e-08
1920,4.543339038320937e-09,2.4988365154854364e-08
1921,4.543648568500203e-09,9.087297137000405e-09
1922,0.0,3.9103058568912274e-08
1923,0.0,1.8047111360885992e-08
1924,2.578324886925998e-09,1.933743654092268e-08
1925,0.0,2.3096174084358267e-08
1926,3.343841648018042e-09,1.2260752413340015e-08
1927,5.574612327308159e-09,8.919379901328739e-09
1928,1.0283437212876834e-08,1.2568645235688791e-08
1929,2.2280812750352652e-09,8.912325100141061e-09
1930,1.0503603542488804e-09,7.352522701786768e-09
1931,5.7026783295555106e-09,1.1405356659111021e-08
1932,3.287861094491973e-09,9.863582839386709e-09
1933,0.0,1.3764794637438627e-08
1934,1.1981580172459871e-09,3.5944742293736454e-08
1935,8.377798899061872e-09,1.9149254626427137e-08
1936,2.424942913137329e-09,8.487299751891442e-09
1937,2.5182236296217297e-09,2.5182236296217297e-09
1938,3.8895642262559704e-09,7.779128674556546e-09
1939,0.0,1.6823455517567254e-08
1940,2.5357829169792012e-09,4.057252667166722e-08
1941,1.7709016475464523e-08,1.7709015587286103e-08
1942,3.034211770724937e-09,1.2136847082899749e-08
1943,0.0,8.709705623388686e-09
1944,2.2492303131116387e-08,9.639558484764166e-09
1945,1.089252066321933e-08,1.089252021913012e-08
1946,2.7842208538686464e-09,1.5313214696277555e-08
