year,plusieurs_DET airs_NOUN,plusieurs_DET guerres_NOUN
1800,1.7292904752608251e-07,1.5720821977538435e-07
1801,1.5477686554632442e-07,2.2144997768869246e-07
1802,8.503792514602537e-08,2.439245747609675e-07
1803,6.436119459607426e-08,2.145373123596528e-07
1804,3.213406074564773e-08,2.39769534671197e-07
1805,5.970043259750923e-08,3.1271655487330463e-07
1806,7.492339904047185e-08,1.9595350408962986e-07
1807,1.5088861937684328e-07,2.0782772480743006e-07
1808,5.4385776326881796e-08,1.4049659036174944e-07
1809,9.26202483597649e-08,3.8177615024892475e-07
1810,1.7082924808065059e-07,1.6146874770583963e-07
1811,1.3287506828163487e-07,4.663162744833471e-07
1812,1.0135391326215881e-07,1.7070132685148565e-07
1813,3.3358602280486593e-07,3.0482862634073626e-07
1814,1.0069366851439554e-07,4.0277467405758216e-07
1815,4.315557666778602e-08,1.2137505756015798e-07
1816,3.476405652236281e-08,1.715026911597306e-07
1817,7.784366895524641e-08,1.7281295150439746e-07
1818,9.65615398751396e-08,2.598816655208225e-07
1819,5.796588153916815e-08,2.4739010540120177e-07
1820,1.008650931666466e-07,2.89542142262178e-07
1821,7.001656587846128e-08,2.0314666304699358e-07
1822,7.719724237631453e-08,3.047787373589017e-07
1823,6.917880579493385e-08,3.725773067841942e-07
1824,7.747423769188799e-08,1.53264257285457e-07
1825,9.509878795554982e-08,1.2855946707190924e-07
1826,5.6371100232155413e-08,3.170874265379098e-07
1827,5.438191230666689e-08,1.8618892028143819e-07
1828,7.979901983645732e-08,1.5226019911551703e-07
1829,4.2865879568143583e-08,1.4660131403276822e-07
1830,1.565525344915386e-07,1.4298465522699644e-07
1831,8.886987146183856e-08,1.668259024256713e-07
1832,6.088486359523415e-08,1.5424164523381023e-07
1833,7.29768601104297e-08,1.0193592903107174e-07
1834,4.480574888887645e-08,1.1668163590883296e-07
1835,8.168134968400409e-08,1.641190081613786e-07
1836,7.056787687531596e-08,2.2581720493519697e-07
1837,1.0506415115685286e-07,2.087367292347153e-07
1838,6.249040174211018e-08,2.5879864296030064e-07
1839,8.040196608494199e-08,1.7898176185582315e-07
1840,6.624476167615967e-08,1.8981671701112646e-07
