year,mes_DET os_NOUN,mes_DET gosses_NOUN
1800,1.7292904619381488e-07,3.144164484325529e-09
1801,3.8098922505724886e-07,0.0
1802,1.9245425164626795e-07,0.0
1803,2.0478562023917846e-07,0.0
1804,3.015658069926985e-07,0.0
1805,3.894742444110477e-07,0.0
1806,2.507052130340526e-07,0.0
1807,3.672571970980698e-07,0.0
1808,2.741949494122764e-07,0.0
1809,3.1174621106799805e-07,0.0
1810,2.4103305129585806e-07,0.0
1811,1.7298830368162044e-07,0.0
1812,1.6803411284627146e-07,0.0
1813,2.8469842527911737e-07,0.0
1814,2.454408161156607e-07,0.0
1815,4.477391204460446e-07,0.0
1816,2.0858435689774524e-07,0.0
1817,1.8059732109776405e-07,0.0
1818,2.2173389346846761e-07,0.0
1819,1.8735400608704822e-07,0.0
1820,3.571810873737036e-07,0.0
1821,4.309470469365806e-07,0.0
1822,3.990195125425089e-07,0.0
1823,2.579381144229842e-07,0.0
1824,3.141075168855423e-07,0.0
1825,2.3598587617357225e-07,0.0
1826,2.4486196803508165e-07,0.0
1827,2.9587446093159997e-07,0.0
1828,3.439613038835887e-07,0.0
1829,2.683404165537695e-07,0.0
1830,3.485903081745789e-07,0.0
1831,3.5859775415758577e-07,0.0
1832,3.017183054510042e-07,0.0
1833,4.0542699153434114e-07,0.0
1834,4.555251225113466e-07,0.0
1835,4.220203209115425e-07,0.0
1836,5.450528313133418e-07,0.0
1837,3.9938293916463863e-07,0.0
1838,4.0713444349194106e-07,0.0
1839,3.4817547511778457e-07,0.0
1840,3.216692769925089e-07,0.0
1841,3.3643674157701753e-07,0.0
1842,3.8438358629377944e-07,0.0
1843,3.9930719841763107e-07,0.0
1844,3.4413277871792047e-07,0.0
1845,3.5880865656423566e-07,0.0
1846,3.8581164130135903e-07,0.0
1847,3.2575070818552376e-07,0.0
1848,2.9445511895431764e-07,0.0
1849,2.7065511076784787e-07,0.0
1850,2.9192682138301507e-07,0.0
1851,3.1795732535755405e-07,0.0
1852,3.3464202431332524e-07,0.0
1853,3.2248431125481147e-07,0.0
1854,4.489054177270191e-07,0.0
1855,4.1818664797688143e-07,0.0
1856,4.224586493961624e-07,0.0
1857,4.788760525897828e-07,0.0
1858,4.78601511311183e-07,0.0
1859,4.1501213843275764e-07,0.0
1860,4.824351744758815e-07,0.0
1861,5.272447474169439e-07,0.0
1862,4.3688928208496236e-07,0.0
1863,3.9657290074046614e-07,0.0
1864,3.821398033565515e-07,0.0
1865,3.44070315350109e-07,0.0
1866,5.035909538264605e-07,0.0
1867,5.071188056149367e-07,0.0
1868,2.9738040474569516e-07,0.0
1869,3.4917163027614606e-07,0.0
1870,4.3349408063164674e-07,0.0
1871,2.442870830066113e-07,0.0
1872,3.610261423148131e-07,0.0
1873,3.130680354956894e-07,0.0
1874,2.6885740211923803e-07,0.0
1875,2.683396145286565e-07,0.0
1876,2.104013221426726e-07,0.0
1877,3.3954639278022114e-07,0.0
1878,2.7417462433732e-07,3.0195443923020093e-09
1879,3.1829584168363567e-07,6.10932526790009e-10
1880,2.6505704608936753e-07,0.0
1881,2.7123053270017294e-07,0.0
1882,2.3360401790739616e-07,0.0
1883,2.477180993665229e-07,0.0
1884,3.0895942781938857e-07,0.0
1885,2.1399510474751082e-07,1.2891271383708158e-09
1886,2.6071993142195993e-07,0.0
1887,2.3569417839652829e-07,1.9586774424595887e-09
1888,1.7753721515134657e-07,0.0
1889,2.274244605970921e-07,0.0
1890,2.117066841833548e-07,0.0
1891,2.1417379247878898e-07,1.2748440081367107e-09
1892,1.9933870021304756e-07,3.761107425503951e-09
1893,1.9399011863541205e-07,0.0
1894,1.9471755940969615e-07,2.520615716150587e-09
1895,1.5467839098448621e-07,1.2037228991346183e-09
1896,1.586300735212376e-07,5.89702897624278e-10
1897,2.1558840201940654e-07,0.0
1898,1.9238406778754324e-07,5.6583548957434e-10
1899,2.0894246688385465e-07,1.6582735185011188e-09
1900,2.3152097750056555e-07,1.038210628578895e-09
1901,2.0343009143886093e-07,2.235495566438317e-09
1902,1.5320086110826026e-07,1.9641135384773634e-09
1903,1.4202579756705802e-07,5.400220270956879e-10
1904,1.934865005992492e-07,2.6873125946735854e-09
1905,1.6153176218836052e-07,7.741138396966107e-09
1906,1.774743725313499e-07,6.1730215383803966e-09
1907,1.825709374791984e-07,4.6285588695127444e-09
1908,1.9203531653744221e-07,1.276961114626829e-08
1909,1.9638511661312918e-07,3.850688656825696e-09
1910,2.212478373841975e-07,3.206490406526541e-09
1911,2.8197981771782565e-07,5.3203743632934675e-09
1912,2.536988157331166e-07,1.3023552902780011e-08
1913,2.2007406696999965e-07,6.893886794756554e-09
1914,1.6072184561011227e-07,6.696743604095445e-09
1915,8.717763566590264e-08,2.8273827723523937e-08
1916,1.8239186605484292e-07,2.4172415624690302e-08
1917,1.952023591655916e-07,4.605898173970502e-08
1918,2.1938978012059351e-07,2.412139021856774e-08
1919,2.0625580177124903e-07,2.3940406601585806e-08
1920,2.1429415753004832e-07,1.2115571212945042e-08
1921,1.7341592073449874e-07,9.087296748422347e-09
1922,3.7406131969675016e-07,1.1804696498085576e-08
1923,3.5457267211214116e-07,2.653987030143412e-08
1924,2.9779652077621677e-07,7.734974438733389e-09
1925,2.485588250777937e-07,1.7597084678300234e-08
1926,2.964872836130894e-07,2.6750731407787498e-08
