year,les_DET airs_NOUN,les_DET guerres_NOUN
1800,1.3324968762162825e-05,9.35074479002651e-06
1801,9.998585923653991e-06,9.672363376012072e-06
1802,9.871112979453756e-06,9.46830152770417e-06
1803,1.2858586558195384e-05,1.2757169315591455e-05
1804,1.5327947807008968e-05,1.1254337209720688e-05
1805,1.2190259582212093e-05,1.3264867220641463e-05
1806,1.3604359764940455e-05,1.0175174111282104e-05
1807,9.542993836930691e-06,1.0100997087647556e-05
1808,1.1763189775138017e-05,1.2449810810721829e-05
1809,9.46985633731856e-06,1.3140780765752424e-05
1810,1.557588387868236e-05,1.00227628081484e-05
1811,1.0391833313860843e-05,1.2966601389052812e-05
1812,1.0028703343323286e-05,1.0434118905777723e-05
1813,1.183942828220097e-05,1.0824291280187026e-05
1814,1.101022309057953e-05,1.532431770101539e-05
1815,8.515134723552364e-06,1.5295954881366924e-05
1816,7.467319932175087e-06,1.074904685083311e-05
1817,9.496927731333926e-06,1.5283826087397756e-05
1818,1.0029286769963619e-05,1.5863510725466767e-05
1819,9.241417828320664e-06,1.5372344364550372e-05
1820,1.0386730480149708e-05,1.3869542954125791e-05
1821,9.884169799079245e-06,1.2952078463968064e-05
1822,9.61155804191094e-06,1.5752247804812214e-05
1823,8.369647432004967e-06,1.5523724414379103e-05
1824,9.600068523241134e-06,1.2201349989027221e-05
1825,1.0828053007116978e-05,1.3029414446918963e-05
1826,9.133879913747478e-06,1.57583649524895e-05
1827,6.846590473230663e-06,1.33714984258404e-05
1828,7.461666939434508e-06,1.176806210878567e-05
1829,8.055356147451675e-06,1.3465030406223377e-05
1830,9.430724787762301e-06,1.2590998494488304e-05
1831,8.018557679179139e-06,1.322446144058631e-05
1832,9.112434710800699e-06,1.1270464256085688e-05
1833,1.0465808713888691e-05,1.1913762307358411e-05
1834,8.686714238592685e-06,1.2687494518104359e-05
1835,8.70738324465492e-06,1.3494818063009006e-05
1836,8.332386045140083e-06,1.5028941220407432e-05
1837,7.959827073023007e-06,1.4147479191706225e-05
1838,7.293702950050829e-06,1.6968985733001318e-05
1839,7.055097526631471e-06,1.4024199685991334e-05
1840,6.677344650540817e-06,1.5364963360298134e-05
1841,7.537724059147877e-06,1.412841743331228e-05
1842,6.920917101638224e-06,1.4884969459671993e-05
1843,7.585655282582593e-06,1.3401009482549853e-05
1844,7.089025793050041e-06,1.542999257253541e-05
1845,6.053989366705537e-06,1.3606828019874229e-05
1846,5.999107713705598e-06,1.3790278217129526e-05
1847,5.701716169426163e-06,1.3228499256001669e-05
1848,6.272859550904286e-06,1.3403339607975795e-05
1849,6.230932918072085e-06,1.0904970508818224e-05
1850,6.899656739278726e-06,1.1759898484342557e-05
1851,6.306261127519974e-06,1.2564796861624927e-05
1852,6.749482395207451e-06,1.1261290183028905e-05
1853,6.968049916622476e-06,1.2765601354658429e-05
1854,6.6852613400669725e-06,1.1764542932723998e-05
1855,7.634559651137351e-06,1.2651207043745671e-05
1856,6.480805353703545e-06,1.1421397630329011e-05
1857,7.01619282494903e-06,1.2015345987492765e-05
1858,6.3020758886978e-06,1.252683227903617e-05
1859,6.959473168421937e-06,1.1978319207628374e-05
1860,7.022773090170631e-06,1.1035132843062456e-05
1861,7.099411860167493e-06,1.1101379072897544e-05
1862,6.448973493888843e-06,1.1976278187830758e-05
1863,6.414591609882336e-06,1.1338288686602027e-05
1864,6.506445842546782e-06,1.1553376566553197e-05
1865,5.8444885695507764e-06,1.2493376743805129e-05
1866,5.933615113917767e-06,1.0787549967972154e-05
1867,6.235862642256507e-06,1.0955222364827932e-05
1868,5.725807923795401e-06,1.0742250367457018e-05
1869,5.786481651171016e-06,1.021681066504243e-05
1870,6.216282130822037e-06,1.162865055448492e-05
1871,5.228805733281661e-06,9.766172411218577e-06
1872,5.312587347816589e-06,1.172155816675513e-05
