year,nos_DET âges_NOUN,nos_DET ages_NOUN,nos_DET gages_NOUN
1800,9.432493763839034e-08,3.144164484325529e-09,6.288328968651058e-09
1801,9.762848840466631e-08,2.3811825844433088e-09,1.904946067554647e-08
1802,1.1412984690650774e-07,0.0,2.2378401354217203e-09
1803,1.2872238985828233e-07,0.0,1.1702034896643454e-08
1804,1.3842365964578107e-07,0.0,7.4155526164076946e-09
1805,2.0753007090590359e-07,0.0,2.842877755426798e-08
1806,1.3543844712415876e-07,0.0,5.76333825108577e-09
1807,7.402083213037258e-08,0.0,3.4163463169534225e-08
1808,1.20101923961613e-07,0.0,6.798221985349073e-09
1809,1.1746959049929728e-07,0.0,0.0
1810,1.9891077229772236e-07,2.3401267590372754e-09,7.020380277111826e-09
1811,1.0529722693775057e-07,0.0,7.521229861140455e-09
1812,1.600324992523383e-07,2.6672082320544632e-09,1.600324850414836e-08
1813,1.4091134392657523e-07,0.0,3.4508900625951355e-08
1814,9.754699448194515e-08,0.0,1.2586708564299443e-08
1815,9.170560133497929e-08,0.0,0.0
1816,3.244645441213834e-08,0.0,1.1588019432906549e-08
1817,6.850242650902061e-08,0.0,1.71256075987003e-08
1818,1.275565961744718e-07,3.5763532135746345e-09,3.45714128435759e-08
1819,1.0661581484328053e-07,0.0,8.280840013696888e-09
1820,8.781195859342006e-08,0.0,1.898636980968149e-08
1821,2.2089733642260967e-07,9.86148829262845e-10,5.1279737789400315e-08
1822,1.31335568198665e-07,3.0076847679083585e-09,3.709477880420309e-08
1823,1.670174141210623e-07,2.9648061783404955e-09,4.4472091453862106e-08
1824,8.842168330858158e-08,0.0,1.667380322700751e-07
1825,1.1887348416728116e-07,1.0566531427613768e-08,4.0505039322624725e-08
1826,6.605988089880555e-08,1.7615968683770689e-09,1.76159691278599e-08
1827,7.650336719677853e-08,9.217273055917019e-10,9.862482092115599e-08
1828,1.146537678131665e-07,0.0,6.145441489024961e-08
1829,8.058785416764636e-08,0.0,3.429270378774163e-08
1830,9.914993781556802e-08,0.0,1.982998831806526e-08
1831,1.559120670346914e-07,0.0,1.870944643656003e-08
1832,1.3800568510191624e-07,1.3529969367098715e-09,1.488296597074168e-08
1833,1.146779246008478e-07,0.0,2.548398292390175e-08
1834,1.1108091424461009e-07,9.334530925997342e-10,2.6136685704614138e-08
1835,1.096647750387092e-07,7.563087933704082e-10,5.52105419160398e-08
1836,9.6106723468381e-08,4.032449929525228e-09,1.4113575197427508e-08
1837,8.279889995854717e-08,6.957890930081589e-10,1.461157062010443e-08
1838,9.468242501142754e-08,0.0,1.7042836475411605e-08
1839,7.900366805202452e-08,2.0974426639952526e-09,2.7266752411492234e-08
1840,6.369688487772862e-08,0.0,3.248541347034006e-08
1841,7.704657889462396e-08,6.420548537278137e-10,1.6051371343195342e-08
1842,1.1202802596699257e-07,0.0,1.8112315203211438e-08
1843,9.864541761217538e-08,0.0,2.3627644785140234e-08
1844,7.848642269436823e-08,5.488561272137815e-10,1.975882035765153e-08
1845,8.035527931937736e-08,1.1160455892778032e-09,1.9530798311961917e-08
1846,6.615586300995346e-08,1.1709002656346001e-09,2.1661655580373917e-08
1847,5.3392914090011345e-08,0.0,3.55952778363644e-08
1848,8.367030396305708e-08,8.045221711050488e-10,3.298541073615269e-08
1849,5.865590413378641e-08,0.0,3.770736700658972e-08
1850,5.906426459034719e-08,2.7155984128057753e-09,1.4935791270431764e-08
1851,1.0899551483589676e-07,2.579775504329973e-09,3.4826967976187007e-08
1852,8.919447225252952e-08,1.9531636308300904e-09,4.166749012490811e-08
1853,1.0212003687115612e-07,0.0,1.6721408258035808e-08
1854,9.352196173040284e-08,3.6369650624479277e-09,1.9223959313308114e-08
1855,1.0136250239156652e-07,1.0613874223963649e-09,2.653468555990912e-08
1856,1.076855342674321e-07,3.106313539724681e-09,1.65670055451983e-08
1857,9.958278690547218e-08,4.881509085841174e-10,2.3431244500216053e-08
1858,9.44479436326695e-08,4.893676019968041e-10,1.4191660291373864e-08
1859,1.0897250679597903e-07,0.0,2.7497736754256152e-08
1860,1.0161348296122696e-07,1.373155145145688e-09,2.7005385705436424e-08
1861,7.734180340612795e-08,9.431927461278633e-10,2.1221836732365773e-08
1862,1.5903311423315358e-07,9.035972525772706e-10,1.942734162430071e-08
1863,1.0189026156126602e-07,1.4983862484108101e-09,3.49623441309177e-08
1864,1.0020981733305234e-07,2.397363974004918e-09,1.975427892375592e-07
1865,1.219072696678758e-07,4.706844303203894e-09,2.777038221601913e-08
1866,1.2115376080146234e-07,1.4596838737723772e-09,7.930948831003093e-08
1867,7.521857625647499e-08,1.94112459439566e-09,2.717574432153924e-08
1868,7.706203386526056e-08,4.939873954334928e-09,3.013323279787983e-08
1869,1.3771524098871168e-07,1.4650557433881772e-09,4.8835190114004945e-08
1870,1.3245652041860012e-07,2.2936195165357276e-09,3.268407811063412e-08
1871,6.585129597169725e-08,0.0,3.3987767267262825e-08
1872,7.498701015684617e-08,6.652073114565837e-09,1.7537283625301825e-08
1873,1.0355788082616613e-07,5.986004469882289e-10,1.0774807712721213e-08
1874,7.886483954777646e-08,0.0,5.13816380554033e-08
1875,9.440519477266207e-08,0.0,2.460256709468922e-08
1876,7.315678196562203e-08,0.0,3.506688628363008e-08
