year,les_DET arts_NOUN,les_DET gares_NOUN
1800,4.5247672190384947e-05,3.458580977167003e-08
1801,3.912521257376511e-05,9.52473055981784e-09
1802,4.153655066829742e-05,1.1189200677108602e-08
1803,4.048904326481306e-05,1.3652374120098898e-08
1804,4.027881173840342e-05,3.460591457837836e-08
1805,4.311792697819783e-05,2.842877711017877e-09
1806,4.534018168556031e-05,3.458003039469304e-08
1807,4.801389907527209e-05,1.9928686256776018e-08
1808,3.9787727871498646e-05,2.945896238060186e-08
1809,3.578756209066114e-05,1.8072244145628247e-08
1810,3.754265478050911e-05,4.680253518074551e-09
1811,3.647796724237651e-05,6.016984244183732e-08
1812,3.812240651512866e-05,2.6672082320544632e-09
1813,3.824448761946542e-05,2.8757416448144113e-09
1814,3.671857689724334e-05,1.2586708564299443e-08
1815,3.341859902938893e-05,0.0
1816,2.9528590809846378e-05,2.3176038865813098e-09
1817,3.207470657606848e-05,2.0239355080775567e-08
1818,3.106420353304884e-05,2.2650237241350624e-08
1819,3.446175026766696e-05,5.279035575345148e-08
1820,3.125393749314753e-05,8.306536791735653e-09
1821,3.4561559809631603e-05,1.3806083387635226e-08
1822,3.086786915673656e-05,2.5064039732569654e-08
1823,2.9126255565614656e-05,1.2847492847356534e-08
1824,2.7163984043454548e-05,1.0105335235266466e-08
1825,3.2852227807467216e-05,1.4088708644166559e-08
1826,2.961596720396642e-05,6.1655889282974385e-09
1827,3.0185647712954733e-05,1.843454577876713e-08
1828,2.7465538266824296e-05,3.0268594741755805e-08
1829,3.197537445842613e-05,3.8579290539964006e-08
1830,2.8974743937482117e-05,3.1310508408211035e-08
1831,2.6205700084602768e-05,7.795602741111907e-08
1832,2.9242323105194146e-05,3.3824925083081325e-08
1833,2.843896600168705e-05,8.34021243178995e-08
1834,2.7117744961557833e-05,1.5868701908061666e-08
1835,2.3476582086345843e-05,4.61348363955949e-08
1836,2.2072288142993557e-05,6.653542494738929e-08
1837,2.318299692127823e-05,1.8229674303427146e-07
1838,2.260953234767271e-05,9.910093967668843e-08
1839,2.385701067453283e-05,1.6080392306605518e-07
1840,2.2706028898866748e-05,1.8981671701112646e-07
1841,2.277496923497324e-05,1.6179782491576589e-07
1842,2.118336024992118e-05,1.086738903310902e-07
1843,2.33163508323031e-05,1.559424491759387e-07
1844,2.134227001704403e-05,2.881494607365198e-07
1845,2.0550305787736534e-05,7.633751602509342e-07
1846,2.145616139870299e-05,6.31700686426484e-07
1847,2.196498213535847e-05,4.0395244393920393e-07
1848,1.9405075526890414e-05,3.338767067262438e-07
1849,1.7859885637960815e-05,3.0501071535127267e-07
1850,1.9543482764561304e-05,3.3198190685368445e-07
1851,1.8847195018878438e-05,4.4049667913270696e-07
1852,2.088648052200881e-05,6.171996966841675e-07
1853,2.1364585627736687e-05,6.754254751051292e-07
1854,1.9926931617675336e-05,3.938313701823404e-07
1855,2.0755961188001493e-05,6.065829118995225e-07
1856,2.0478371190790767e-05,5.663845059622474e-07
1857,1.9153577291319834e-05,6.795060571995748e-07
1858,1.9120571487007965e-05,7.555835519479359e-07
1859,2.097771677611604e-05,7.892868787440221e-07
1860,1.9160548887953155e-05,8.541025053876439e-07
1861,2.0510198549317238e-05,8.771692630027417e-07
1862,1.912373269163936e-05,9.835656024081985e-07
1863,1.9033002427448764e-05,1.1397725190320784e-06
1864,1.851580022815824e-05,1.8330245232789366e-06
1865,1.6150124572789082e-05,1.493952416886657e-06
1866,1.6014678227094237e-05,8.777565861928238e-07
1867,1.6944077479763564e-05,9.268869849421435e-07
1868,1.7036142814674804e-05,1.5348188240338345e-06
1869,1.5496871320408445e-05,1.1139306659302406e-06
1870,1.6873012150142586e-05,1.088322408193676e-06
1871,1.148255466887349e-05,2.3419696104642895e-06
1872,1.4941161154524707e-05,2.5229499573953262e-06
1873,1.4085666869334545e-05,1.6120309829226187e-06
1874,1.3083796467583397e-05,2.560717539346058e-06
1875,1.4717484404513925e-05,1.8549190534677962e-06
1876,1.550681874817883e-05,2.308368529213567e-06
1877,1.4830569810442285e-05,1.7354593708773791e-06
1878,1.5379746734822675e-05,2.0551018549141986e-06
1879,1.4357524932506749e-05,1.4699036109400154e-06
1880,1.5814214819442896e-05,1.6012526034003827e-06
1881,1.3218479580245912e-05,2.0520088970243933e-06
1882,1.2680505534490294e-05,2.0625038192889633e-06
1883,1.3465247192812058e-05,2.0139732610502392e-06
1884,1.2563029784473656e-05,2.324457511804212e-06
1885,1.1432623679752396e-05,2.035531803556978e-06
1886,1.1437474427111738e-05,2.1328697474842784e-06
1887,1.0470436677678663e-05,3.3774128151975447e-06
1888,1.0316180208747028e-05,2.2135085133712096e-06
1889,1.1783468764292593e-05,2.1364115490030144e-06
1890,9.752272106311466e-06,2.623720948946584e-06
1891,1.0514913597603481e-05,2.4426011142608672e-06
1892,9.610882955257694e-06,2.5180615006448193e-06
1893,9.34354917347946e-06,3.2097666640140687e-06
1894,9.87199143764883e-06,2.799773838546571e-06
1895,9.760387314372565e-06,2.5145772397650035e-06
1896,9.159855451912335e-06,2.2166931472611395e-06
1897,9.584943903462317e-06,2.788665042885441e-06
1898,8.932844764331094e-06,2.7437362888349526e-06
1899,8.955229617413352e-06,3.0025806978528635e-06
1900,9.861443857062113e-06,2.9552664386756078e-06
1901,8.797234059443326e-06,3.841699040663116e-06
1902,8.129957024038958e-06,3.3772932610531825e-06
1903,8.98542670313418e-06,4.193270967789431e-06
1904,9.158898791383763e-06,3.415574212795036e-06
1905,8.823349531894564e-06,3.681169452818267e-06
1906,8.533173485147927e-06,4.59992997292602e-06
1907,8.792204837959616e-06,4.919129629854524e-06
1908,8.725573898971106e-06,4.768467611881988e-06
1909,9.237801570805004e-06,4.806759207554023e-06
1910,9.022529603441853e-06,3.847788534017127e-06
1911,9.256918900746314e-06,3.8099199670682538e-06
1912,9.151911051219486e-06,3.6231523807828125e-06
1913,9.327959091365301e-06,3.7486834685296344e-06
1914,9.098865675127854e-06,3.968490403849501e-06
1915,6.676157671137162e-06,6.411090438973588e-06
1916,6.649611876241579e-06,6.74300544289963e-06
1917,7.172041335934409e-06,5.788078915713868e-06
1918,7.347834809934284e-06,4.844953741311997e-06
1919,8.460171187607557e-06,3.888474434887712e-06
1920,8.923875157051953e-06,3.760370262284596e-06
1921,8.51706920457218e-06,2.633801644336131e-06
1922,9.132408621326249e-06,2.9585520753272476e-06
1923,9.42165388551075e-06,2.7750089106604037e-06
1924,1.0295251257730342e-05,2.0575033693459588e-06
1925,9.82907121738208e-06,1.872989656703794e-06
1926,9.495395516978533e-06,2.1300271519919534e-06
1927,1.0040991895721163e-05,2.216465992299632e-06
1928,9.32136433107189e-06,2.6119929272816478e-06
1929,9.354599001198949e-06,2.3985294084205577e-06
1930,9.857632193188692e-06,2.484102329169957e-06
1931,8.933815735190365e-06,2.498913589832341e-06
1932,8.575837512125872e-06,2.6127535859288287e-06
1933,8.592673040652699e-06,2.556810528631104e-06
1934,8.714203261206421e-06,2.566454412544772e-06
1935,9.392709472422212e-06,2.1722436329696393e-06
1936,8.075059724887979e-06,2.0490767411729394e-06
1937,8.427235201224903e-06,2.5950295388099676e-06
1938,8.57259976783098e-06,1.94607863868157e-06
1939,7.879494802409681e-06,1.8674035118237953e-06
1940,7.721459155618504e-06,2.3278486924738218e-06
1941,8.886974484312304e-06,1.7236775216034061e-06
1942,9.824778160805181e-06,1.9995455793342387e-06
1943,8.933254939336166e-06,1.4080690471374169e-06
1944,8.026538850458564e-06,1.2627821313060394e-06
1945,9.822874602605225e-06,1.782016308737866e-06
1946,9.886768481237596e-06,1.9795810626277444e-06
1947,9.142116141447332e-06,1.5580578465179684e-06
1948,9.121513770082856e-06,1.8917085240488518e-06
1949,8.554540869454286e-06,2.2186438890514637e-06
