year,vastes_ADJ amas_NOUN
1800,3.772997558826319e-08
1801,2.1430643926123594e-08
1802,4.699464284385613e-08
1803,1.1897068930011301e-07
1804,2.4718509461507665e-09
1805,1.1371511021707192e-07
1806,7.780506905419315e-08
1807,5.124519120158766e-08
1808,1.3596443970698147e-08
1809,4.518061036407062e-09
1810,9.126494404654295e-08
1811,2.5070768572277302e-08
1812,2.400487453257938e-08
1813,4.601186631703058e-08
1814,0.0
1815,3.506390555685357e-08
1816,1.1588019432906549e-08
1817,5.293369653713853e-08
1818,3.695565098382758e-08
1819,1.449147024601416e-08
1820,4.865257352548724e-08
1821,4.7335142028259725e-08
1822,1.5038423839541792e-08
1823,1.581229902569703e-08
1824,2.947389532437228e-08
1825,2.7296874094417944e-08
1826,6.517908701653141e-08
1827,3.133872894522938e-08
1828,5.961995697134626e-08
1829,5.1439055681612444e-08
1830,4.383471008395645e-08
1831,4.2096257146795324e-08
1832,1.488296597074168e-08
1833,4.51761508202253e-08
1834,1.7735608537350345e-08
1835,3.781543966852041e-08
1836,3.2259599436201825e-08
1837,5.0792603900617905e-08
1838,5.617824072601252e-08
1839,5.663094881924735e-08
1840,2.165694112932215e-08
1841,6.22793194793303e-08
1842,2.0124794275488966e-08
1843,2.4218335781256428e-08
1844,2.195424464446205e-08
1845,4.408380149811819e-08
1846,2.5759806732139623e-08
1847,3.829188699455699e-08
1848,4.907585093860689e-08
1849,3.9383248662261394e-08
1850,4.5486274302675156e-08
1851,6.900899762740664e-08
1852,4.166749079104193e-08
1853,4.18035241978032e-08
1854,4.000661490977109e-08
1855,3.8209947206269135e-08
1856,2.7439103433835044e-08
1857,3.8075771868761876e-08
1858,3.229826006645453e-08
1859,8.147477359443656e-09
1860,3.4328881071132855e-08
1861,2.357981898626349e-08
1862,5.0601446588416366e-08
1863,4.345320192555846e-08
1864,2.205574922697906e-08
1865,4.6127073716206723e-08
1866,3.16264845423575e-08
1867,4.85281148598915e-08
1868,3.457912001181285e-08
1869,4.688178378842167e-08
1870,4.243196016773254e-08
1871,3.611200227737754e-08
1872,4.172663992108028e-08
1873,4.070482972906575e-08
1874,3.584765551067903e-08
1875,3.833423178889461e-08
1876,3.083467703390852e-08
1877,2.783167118991514e-08
1878,2.536417298415472e-08
1879,3.9710613464194466e-08
1880,3.8507078414795615e-08
1881,3.2770785196589713e-08
1882,3.9932309903178975e-08
1883,2.5909288936531993e-08
1884,3.3668655419205606e-08
1885,1.8692343672910283e-08
1886,1.613365974151293e-08
1887,7.1818169189441505e-09
1888,1.3315291091942072e-08
1889,1.3783300722991498e-08
1890,2.0318598359381213e-08
1891,1.8485238229004608e-08
1892,7.522214851007902e-09
1893,1.1700991287000306e-08
1894,2.0164925729204697e-08
1895,1.9861428057765806e-08
1896,2.1229304536518612e-08
1897,2.330685333618021e-08
1898,7.355861253444118e-09
1899,7.738609753005221e-09
1900,4.671947717582725e-09
1901,1.2295225282343836e-08
1902,8.347482705062248e-09
1903,7.020286574288548e-09
1904,1.2361637935498493e-08
1905,1.0321517862621477e-08
1906,1.0288369267641428e-08
1907,1.4399961223432456e-08
1908,1.5225305460830896e-08
1909,8.251475058784763e-09
1910,5.878565634276356e-09
1911,7.448523575703803e-09
1912,1.1460726589973547e-08
1913,9.545381374209683e-09
1914,1.0714789944188396e-08
1915,8.246533234057551e-09
1916,8.789969641043172e-09
1917,9.869782324756216e-09
1918,1.378365155346728e-08
1919,1.1970202606903513e-08
1920,9.843901693784574e-09
1921,1.8931869405491852e-08
1922,4.426761179843197e-09
1923,1.8047112249064412e-08
1924,3.867487219366694e-09
1925,2.1996355847875293e-09
1926,6.687683296036084e-09
1927,0.0
1928,1.3711249025050165e-08
1929,3.342121912552898e-09
1930,1.0503603542488804e-09
1931,1.1405356659111021e-09
1932,4.383814644626227e-09
1933,8.02946331646126e-09
1934,2.516131836216573e-08
1935,4.787313656606784e-09
1936,2.424942913137329e-09
1937,6.295559185076627e-09
1938,0.0
1939,1.5294050470515685e-08
1940,2.5357829169792012e-09
1941,1.1806010391524069e-08
1942,0.0
1943,1.4516175816936538e-08
1944,9.639558484764166e-09
1945,8.714016175304096e-09
1946,6.960552134671616e-09
1947,2.3841741914054637e-09
1948,1.0871887834440486e-09
1949,6.8719057111366055e-09
1950,0.0
1951,2.1322803522849654e-09
1952,1.0544804140977249e-08
1953,9.69644453618912e-09
1954,1.9545072227344917e-09
1955,2.815682353940474e-09
1956,5.232684952005684e-09
1957,1.7670075402875796e-09
1958,6.617794756635931e-09
1959,9.300897829689347e-09
1960,0.0
1961,6.948159270159238e-10
1962,3.170978146727066e-09
1963,1.939815863494232e-09
1964,1.8251904432275978e-09
1965,1.6416130677043839e-09
1966,5.539074976468328e-09
1967,7.888536934785861e-09
1968,4.940557296606585e-09
