year,petits_ADJ amas_NOUN
1800,3.772997558826319e-08
1801,3.333655484993869e-08
1802,1.208433673127729e-07
1803,1.3457341196954076e-07
1804,5.438072037122765e-08
1805,5.685755510853596e-08
1806,1.729001475325731e-08
1807,7.686778502602465e-08
1808,1.8128591960930862e-08
1809,3.840352036377226e-08
1810,4.914266327205041e-08
1811,3.5099073869560016e-08
1812,1.600324850414836e-08
1813,1.00650957790549e-07
1814,5.97868634599763e-08
1815,1.0788894222457657e-08
1816,2.2944279010062019e-07
1817,1.6502858102285245e-07
1818,1.323250700124845e-07
1819,2.0495079411375627e-07
1820,3.15648406967739e-07
1821,7.396116075142345e-08
1822,2.1454818011079624e-07
1823,8.696764552951208e-08
1824,3.2252862069981347e-07
1825,1.5321471380502771e-07
1826,5.038166932536114e-07
1827,4.663940273985645e-07
1828,2.806724239690084e-07
1829,3.6093069866183214e-07
1830,4.0286187186211464e-07
1831,1.1693404644574912e-07
1832,3.693681662753079e-07
1833,1.911298710410847e-07
1834,2.1189384824538138e-07
1835,1.9285874941488146e-07
1836,1.7339534963412007e-07
1837,2.2126093313090678e-07
1838,1.8115905220383866e-07
1839,2.4540076992707327e-07
1840,1.229349919640299e-07
1841,3.017657945747487e-07
1842,1.589858840134184e-07
1843,2.1501156766134955e-07
1844,1.51484286448067e-07
1845,1.7745125546753115e-07
1846,1.3816622868034756e-07
1847,1.0624650315094186e-07
1848,2.2365716745298414e-07
1849,1.5334329361849086e-07
1850,1.1337623107010586e-07
1851,2.0702698577679257e-07
1852,1.4127883218861825e-07
1853,2.9381905619629833e-07
1854,1.782112946102643e-07
1855,1.1940608146687737e-07
1856,1.9880405943695223e-07
1857,1.527912303345147e-07
1858,2.2364099550031824e-07
1859,2.271109309504027e-07
1860,1.5379337980903074e-07
1861,1.7967822429909575e-07
1862,2.4803745191093185e-07
1863,1.608267865549351e-07
1864,2.3302378338030394e-07
1865,2.579350848463946e-07
1866,1.8246048227865685e-07
1867,3.629903062574158e-07
1868,3.68514605497694e-07
1869,3.8189119777598535e-07
1870,2.6835348876375065e-07
1871,3.6749273135683325e-07
1872,3.0236697057262063e-07
1873,4.327881129029265e-07
1874,4.0089628328132676e-07
1875,2.6891177640209207e-07
1876,4.123382097986905e-07
1877,2.684210187453573e-07
1878,2.844410857960611e-07
1879,3.732797608790861e-07
1880,2.965045098335395e-07
1881,3.57689629026936e-07
1882,3.1546525747216947e-07
1883,4.069654266913858e-07
1884,4.4033319568370644e-07
1885,4.383032319310587e-07
1886,3.12347651743039e-07
1887,3.0033052667022275e-07
1888,3.075198264923529e-07
1889,4.310413999064622e-07
1890,3.945740729704994e-07
1891,4.181488293397706e-07
1892,4.3503476376827166e-07
1893,3.9844954358159157e-07
1894,4.656837404581893e-07
1895,3.7857085999348783e-07
1896,4.0866410699891276e-07
1897,5.214908469497459e-07
1898,6.190240355863352e-07
1899,3.968801252085541e-07
1900,3.6752655319105543e-07
1901,5.348422860151913e-07
1902,4.0509840459890256e-07
1903,4.897999588138191e-07
1904,4.6436761635959556e-07
1905,3.5970489875580824e-07
1906,4.3777009750556317e-07
1907,4.2274172074030503e-07
1908,3.6147824289400887e-07
1909,3.729666957497102e-07
1910,4.1898141489582486e-07
1911,3.309272642582073e-07
1912,4.6415942733801785e-07
1913,3.9878483448774205e-07
1914,3.395249166260328e-07
1915,2.344371665685685e-07
1916,2.549091107084678e-07
1917,2.0836206715557637e-07
1918,2.8141622010480205e-07
1919,2.7807701030724274e-07
1920,3.0440372711382224e-07
1921,3.8242373534558283e-07
1922,4.1611556866882893e-07
1923,3.301559843293944e-07
1924,2.861940515686001e-07
1925,3.057493529468047e-07
1926,3.354987541115406e-07
1927,3.7572888800241344e-07
1928,3.9191320411191555e-07
1929,3.9214231151163403e-07
1930,3.770793739477085e-07
1931,4.379656957098632e-07
1932,3.419375502744515e-07
1933,4.4047342839803605e-07
1934,2.815671393818775e-07
1935,4.847154855269764e-07
1936,4.0739041651249863e-07
1937,4.268389091066638e-07
1938,4.032181664115342e-07
1939,4.1599815858717193e-07
1940,4.082610587374802e-07
1941,3.482772967799974e-07
1942,3.671396200388699e-07
1943,3.280655676007882e-07
1944,3.020394956365635e-07
1945,2.7449149797575956e-07
1946,1.865427918801288e-07
1947,2.360332445050517e-07
1948,3.859520063542732e-07
1949,2.9745535812253365e-07
1950,3.733011908479966e-07
1951,2.697334764434345e-07
1952,3.068537921535608e-07
1953,3.253695979310578e-07
1954,2.9610785645672877e-07
1955,3.6885438703393447e-07
1956,3.357639570822357e-07
1957,2.774201846023061e-07
1958,4.003765923243918e-07
1959,3.2940678806880896e-07
1960,2.9275125257299806e-07
1961,2.904330642650166e-07
1962,2.479704903635138e-07
1963,2.2437204449943238e-07
1964,1.8069385987473652e-07
1965,1.56500433945439e-07
1966,2.1990126697346568e-07
1967,2.267954357648705e-07
1968,1.527081394669949e-07
1969,1.3943196108812117e-07
1970,1.5313754886392417e-07
1971,1.6237335387359053e-07
1972,1.3851396829522855e-07
1973,1.4113801682924532e-07
1974,1.1419910350696227e-07
1975,1.0737582556430425e-07
1976,1.4740899700882437e-07
1977,1.6337453700998594e-07
1978,8.019798514169452e-08
1979,7.95868402292399e-08
1980,1.1711410508041808e-07
1981,7.906936616564053e-08
1982,8.7525783953879e-08
1983,1.0167659070248192e-07
1984,1.1424046419961087e-07
1985,7.459291850864247e-08
1986,5.2751470747125495e-08
1987,8.61625153447676e-08
