year,des_DET arts_NOUN,des_DET gares_NOUN
1800,4.483578486258466e-06,9.432493897065797e-09
1801,3.931332472006943e-06,0.0
1802,4.428685599577875e-06,0.0
1803,3.526213344429152e-06,0.0
1804,3.3913795363105237e-06,1.730295728918918e-08
1805,3.223823284770333e-06,0.0
1806,3.5992048168509427e-06,5.76333825108577e-09
1807,4.011359820310645e-06,8.540865792383556e-09
1808,3.7050310908171014e-06,1.3596443526608937e-08
1809,3.1671608553551778e-06,0.0
1810,3.896311042694833e-06,2.3401266702194334e-08
1811,3.387060658610608e-06,4.011322829455821e-08
1812,3.6300704806535578e-06,0.0
1813,3.255339500185528e-06,0.0
1814,3.2410774721824964e-06,0.0
1815,3.331071116718931e-06,0.0
1816,3.1287652859646187e-06,2.0858434979231788e-08
1817,3.2118297426109166e-06,1.556873407970727e-09
1818,2.9159198788875074e-06,9.536941902865692e-09
1819,2.927277048314636e-06,6.521161566297451e-08
1820,2.876435104326447e-06,5.933240565525466e-09
1821,2.9022359342434356e-06,1.97229765852569e-09
1822,3.4929246055526164e-06,9.023054303725075e-09
1823,2.9173692723816202e-06,9.882686891060644e-10
1824,2.833704328963904e-06,1.2631669044083083e-08
1825,3.2941162402266855e-06,4.4027217427355936e-09
1826,2.9453898733322603e-06,1.4973573381205085e-08
1827,3.0260306473905985e-06,1.2904182611350734e-08
1828,2.8287376423463684e-06,2.6599674129990092e-08
1829,3.052907935341409e-06,2.8291481157793896e-08
1830,2.933794661430511e-06,2.6092090266160994e-08
1831,2.5101842915375983e-06,3.1182413096075834e-08
1832,2.9278854398739895e-06,6.764984572527055e-09
1833,3.0430191131358697e-06,1.853380560135065e-08
1834,2.6426057289086202e-06,3.173740470430175e-08
1835,2.160017992025587e-06,2.7227116561334697e-08
1836,2.150639986098213e-06,2.083432448785061e-08
1837,2.4992744016572033e-06,3.965997663613052e-08
1838,2.1499224018839413e-06,6.754013526233393e-08
1839,2.275725186962063e-06,1.1955422829501572e-07
1840,2.2172886460225527e-06,8.280594981924239e-08
1841,2.300482588424302e-06,5.008027859076947e-08
1842,2.4116211712055247e-06,4.15912420059783e-08
1843,2.311964927059762e-06,8.446883015267304e-08
1844,1.9797239900753993e-06,1.4709344364760568e-07
1845,1.9748427249055567e-06,4.252133591897689e-07
1846,2.3014045282820916e-06,2.944814152527897e-07
1847,2.3638499619949016e-06,1.4292043282182476e-07
1848,1.978319961182251e-06,6.597081725345788e-08
1849,2.097367545417228e-06,8.044238342108656e-08
1850,2.3530659802872833e-06,2.009542843239842e-07
1851,1.8658225933165795e-06,1.3930788300697827e-07
1852,2.4668457729859483e-06,2.46749662702328e-07
1853,2.176172033685475e-06,2.985965865676121e-07
1854,2.1624355373006665e-06,1.615851692449155e-07
1855,1.946053803436598e-06,1.8786556665872922e-07
1856,2.319380863369247e-06,1.1286272838528788e-07
1857,2.2210867385297206e-06,1.3228889295113788e-07
1858,2.2501123346785334e-06,1.2087380052427932e-07
1859,2.1977820203744614e-06,1.0795407856534212e-07
1860,2.1380026424822063e-06,1.8034103965725023e-07
1861,2.0915298755141976e-06,1.2874580357369325e-07
1862,1.912915438495588e-06,1.0436548339431972e-07
1863,2.378937921321267e-06,1.428461621211241e-07
1864,2.125023428334316e-06,2.78094225203418e-07
1865,1.7387083470765674e-06,1.7321187018026762e-07
1866,2.080049533503825e-06,1.158015893176767e-07
1867,2.040121913182702e-06,1.844068364675877e-07
1868,1.9966971045448645e-06,2.766329574299675e-07
1869,1.9040840726347597e-06,2.578498234928617e-07
