year,mêmes_ADJ airs_NOUN,mêmes_ADJ guerres_NOUN
1800,6.917161954334006e-08,6.288328968651058e-09
1801,1.4287095950749062e-08,1.6668277424969347e-08
1802,4.4756802708434407e-08,6.713520406265161e-09
1803,1.3652374342143503e-08,7.801356893821776e-09
1804,4.2021465418429216e-08,2.7190360185613827e-08
1805,1.7057265822018053e-08,4.264316544322355e-08
1806,2.5935023018064385e-08,1.729001475325731e-08
1807,3.131650672116848e-08,1.9928686256776018e-08
1808,5.211970233176544e-08,4.5321479902327155e-09
1809,2.0331274441787173e-08,1.3554183553310395e-08
1810,6.084329839950442e-08,4.44624070894406e-08
1811,7.270522672797597e-08,2.5070768572277302e-08
1812,5.067695596494559e-08,2.6672083208723052e-08
1813,6.614205716459765e-08,5.463909147351842e-08
1814,4.72001566720337e-08,6.293354282149721e-09
1815,1.8880564667256294e-08,2.4275012222574333e-08
1816,1.8540831092650478e-08,5.5622493277951435e-08
1817,6.85024303948012e-08,1.71256075987003e-08
1818,2.8610825708597076e-08,1.668964877410417e-08
1819,5.072014630513877e-08,1.7596784473994376e-08
1820,6.051905643289501e-08,2.0173018810965004e-08
1821,7.59334568556369e-08,7.88919063410276e-09
1822,3.909990198280866e-08,5.714601059025881e-08
1823,4.15072847204101e-08,3.261286707356703e-08
1824,4.8000341479337294e-08,2.6105450245950124e-08
1825,8.277116592125822e-08,3.6982861217893515e-08
1826,4.315912249808207e-08,3.082794464148719e-08
1827,3.871254605769536e-08,1.474763688946723e-08
1828,7.06267186956211e-08,1.2841221419535032e-08
1829,2.4004892296147773e-08,4.6295149047637096e-08
1830,4.905312778191728e-08,1.2524203008013046e-08
1831,4.053713453799901e-08,4.8332740476553226e-08
1832,1.1500473817704915e-07,8.117981842303834e-09
1833,4.9809603552830595e-08,2.20088942626262e-08
1834,1.4001796166951408e-08,2.8937046536725575e-08
1835,4.689114518896531e-08,3.6302822081779595e-08
1836,4.301280043250699e-08,3.427582484505365e-08
1837,2.5048407792382932e-08,3.75726116885744e-08
1838,2.3354999711955315e-08,2.840472923537618e-08
1839,3.5656523067473245e-08,2.4470162784950844e-08
1840,2.229391071750797e-08,8.917564464638872e-09
1841,4.494383887276854e-08,2.632424944692957e-08
1842,3.4882980060046975e-08,2.95163662400455e-08
1843,4.4892523476391943e-08,2.5990408047960045e-08
1844,3.0735943568060975e-08,3.4577936958157807e-08
