year,quelques_DET airs_NOUN,quelques_DET guerres_NOUN
1800,3.4585809238762977e-07,3.772997558826319e-08
1801,2.809795489611133e-07,6.667311436281409e-08
1802,2.0140561218795483e-07,6.265952379180817e-08
1803,1.8918289867997373e-07,7.411288893699464e-08
1804,4.202146612897195e-07,2.0021992952479195e-07
1805,3.041879172993589e-07,8.812921237222326e-08
1806,3.429186392622796e-07,7.204172636221529e-08
1807,1.992868590150465e-07,1.1387820464392462e-08
1808,1.450287356874469e-07,4.758755522971114e-08
1809,1.8524050737767084e-07,4.9698672066611493e-08
1810,2.948559623128233e-07,3.2761775514700275e-08
1811,1.5293167621166504e-07,1.5042460699277171e-07
1812,5.521121124729689e-07,8.001624385300943e-08
1813,5.665210984773239e-07,4.888760685162197e-08
1814,2.6117418938653714e-07,1.1642705288750221e-07
1815,1.8071397800412115e-07,8.091670444798638e-09
1816,1.2515060632267705e-07,2.0858434979231788e-08
1817,2.6933909857973504e-07,8.095741588221017e-08
1818,2.0266001610202977e-07,1.1682753608965868e-07
1819,1.9977527188075328e-07,6.210630232317271e-08
1820,2.254631459308598e-07,1.1273156985680544e-07
1821,2.1004970562898961e-07,7.198886620152223e-08
1822,1.9148926355683216e-07,9.524335098376469e-08
1823,1.8381797417532653e-07,7.609668895014465e-08
1824,1.1957980028398651e-07,5.221089871554341e-08
1825,2.932212508355292e-07,9.421823943256413e-08
1826,1.1186140369545683e-07,1.0217261703360236e-07
1827,1.4931982822430356e-07,1.0323345556173535e-07
1828,1.6051527040872315e-07,6.145441711069566e-08
1829,1.8603791507310063e-07,5.829759591735595e-08
1830,3.1832348135196753e-07,6.679574937606958e-08
1831,1.38761739654214e-07,6.704218691311326e-08
1832,1.4882965615470312e-07,4.058990932254147e-08
1833,3.104412300558579e-07,3.7067612312924325e-08
1834,2.2962945855908856e-07,8.961149955410974e-08
1835,2.1101014624491654e-07,9.075705520444899e-08
1836,1.8885307717653177e-07,8.199315004731034e-08
1837,2.0456199401053254e-07,4.940102460437856e-08
1838,1.6979716122023092e-07,8.14268910076521e-08
1839,1.7059198764712846e-07,7.620707975775076e-08
1840,1.7389249640231697e-07,7.197748352893996e-08
1841,1.489567313939233e-07,4.237561945785728e-08
1842,1.2678621041928295e-07,5.769107946917984e-08
1843,1.5417037246834298e-07,5.729703866919067e-08
1844,1.1306436009661525e-07,1.701453955504917e-08
1845,6.807878349945895e-08,3.1807299905040054e-08
1846,8.313391930414582e-08,4.7421461202290516e-08
1847,8.41342897572872e-08,6.6336650839105e-08
1848,7.642960653253539e-08,5.7925594765251276e-08
1849,7.122502498901895e-08,2.178647862116634e-08
1850,7.53578577317171e-08,2.0366988984221734e-08
1851,6.90089914101577e-08,2.1283148354811487e-08
1852,1.2109614822009007e-07,3.3854836711810776e-08
1853,1.260077588938202e-07,4.5386680858072737e-08
1854,1.1534374833033212e-07,3.896748301812636e-08
1855,9.127931832608738e-08,4.5108965451845506e-08
1856,9.991975602474668e-08,1.7084724301952292e-08
1857,1.0446429238308852e-07,2.9289054737091647e-08
1858,1.3506546281405463e-07,3.9149409492011955e-08
1859,1.2934120241503422e-07,2.2405562516425448e-08
1860,1.281611448078479e-07,1.6477862185837466e-08
