year,trois_DET gouttes_NOUN
1800,1.1004575961592877e-07
1801,1.952569661511916e-07
1802,1.544109693440987e-07
1803,1.4432510653250574e-07
1804,2.5954435312058877e-07
1805,2.0753007845542015e-07
1806,1.0662175498055149e-07
1807,7.686778502602465e-08
1808,8.611080914988634e-08
1809,1.5361408145508904e-07
1810,1.778496363513682e-07
1811,2.5321475050077424e-07
1812,4.800974906515876e-08
1813,1.8404746526812232e-07
1814,9.125363931161701e-08
1815,1.2676950689183286e-07
1816,1.1819779643928996e-07
1817,1.3389111908068685e-07
1818,1.609358877274758e-07
1819,6.831693077913314e-08
1820,7.357218123615894e-08
1821,1.6764529675583617e-07
1822,5.81485721795616e-08
1823,6.522573414713406e-08
1824,1.431589113920495e-07
1825,2.2806097765837308e-07
1826,1.7968287702174734e-07
1827,1.327287373342756e-07
1828,1.485912735077477e-07
1829,1.4917325774632673e-07
1830,2.233482936375708e-07
1831,2.058039194618999e-07
1832,1.894195662544007e-07
1833,1.7838787780277698e-07
1834,1.353506997592291e-07
1835,2.3823726280625124e-07
1836,1.7003498198331357e-07
1837,2.0873673101107215e-07
1838,1.287681041794997e-07
1839,2.558880005665287e-07
1840,1.7261855767003453e-07
1841,1.5922960017178411e-07
1842,2.2137274680034125e-07
1843,1.3585895874967946e-07
1844,1.4544687065853878e-07
1845,1.5457231672399985e-07
1846,2.722343150907136e-07
1847,1.639539934927825e-07
1848,2.0756671403887594e-07
1849,1.2569122831429524e-07
1850,2.0027538827349645e-07
1851,2.1992586773933454e-07
1852,1.9726952715792834e-07
1853,1.9647655236099126e-07
1854,1.5171339651232074e-07
1855,1.761903050123692e-07
1856,2.2469000882097134e-07
1857,1.6841206518236618e-07
1858,1.7812981045750576e-07
1859,1.3137807219898434e-07
1860,2.2657060050335076e-07
1861,2.0891719731963576e-07
1862,1.9562880115842063e-07
1863,2.5222835642324526e-07
1864,1.8699438442126848e-07
1865,2.0145293522233487e-07
1866,1.5813242359996593e-07
1867,1.7276008890121375e-07
1868,1.561000253502698e-07
1869,1.4308711193677937e-07
1870,1.8807679591503756e-07
1871,1.540070719840969e-07
1872,2.019811291553708e-07
1873,2.460247738866883e-07
1874,1.9955194741072546e-07
1875,1.9968130038350296e-07
1876,2.2491174567207395e-07
1877,3.1047776438697383e-07
1878,2.2223846718461004e-07
1879,1.948874737145445e-07
1880,1.7135649255095586e-07
1881,2.517075272656655e-07
1882,1.690467801296336e-07
1883,2.1548946271821023e-07
1884,2.3303990737133518e-07
1885,2.868307977799134e-07
1886,2.0005738377015803e-07
1887,2.409173252004848e-07
1888,2.599652075829795e-07
1889,2.2366537866247427e-07
1890,2.333361655004751e-07
1891,2.9193928252624346e-07
1892,2.3506921742466602e-07
1893,2.3217229827565689e-07
1894,2.596234152107968e-07
1895,1.925956674142526e-07
1896,2.1936947591782996e-07
1897,2.0976168091380032e-07
1898,2.444409270552228e-07
1899,2.1170624897592916e-07
1900,2.278872299754653e-07
1901,2.3249153446869286e-07
1902,1.910100353441635e-07
1903,1.900877517613253e-07
1904,1.4457741848161731e-07
1905,2.0901074471169068e-07
1906,2.119403950118226e-07
1907,1.8668520729292482e-07
1908,2.1708339126291776e-07
1909,2.2664051879672797e-07
1910,1.458953078348202e-07
1911,1.7929660689475213e-07
1912,1.8389257117057412e-07
1913,1.8666523260435497e-07
1914,1.64739899943811e-07
1915,1.1662953969260315e-07
1916,1.5492320937227078e-07
1917,1.2721052655706444e-07
1918,9.189100858009169e-08
1919,8.102906279283673e-08
1920,1.4993018160325278e-07
1921,1.8250320987789337e-07
1922,1.792838282277387e-07
