year,nos_DET os_NOUN,nos_DET gosses_NOUN
1800,1.1318992321207588e-07,6.288328968651058e-09
1801,1.3096504858367553e-07,0.0
1802,6.265952379180817e-08,0.0
1803,1.033679772888263e-07,0.0
1804,1.0381774284695666e-07,0.0
1805,1.3361525930122298e-07,0.0
1806,9.797674671574441e-08,0.0
1807,7.402083213037258e-08,0.0
1808,4.078933102391602e-08,0.0
1809,4.5180611252249037e-08,0.0
1810,1.006254533031381e-07,0.0
1811,1.7549536934780008e-08,0.0
1812,2.6672083208723052e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,4.405347864278042e-08,0.0
1815,6.743058711400352e-08,0.0
1816,1.5296185829072328e-07,0.0
1817,7.005930058312515e-08,0.0
1818,1.227881272214404e-07,0.0
1819,4.864993563558073e-08,0.0
1820,7.001224133773576e-08,0.0
1821,7.593346307288584e-08,0.0
1822,5.9151133768864383e-08,0.0
1823,4.842516754255399e-08,0.0
1824,5.642145328721426e-08,0.0
1825,6.163809995740621e-08,0.0
1826,1.937756521908085e-08,0.0
1827,5.7147094167930845e-08,0.0
1828,8.89713236418288e-08,0.0
1829,5.401101010882314e-08,0.0
1830,3.8616293940307855e-08,0.0
1831,5.4569221807909685e-08,0.0
1832,8.523880401511974e-08,0.0
1833,6.023486687212198e-08,0.0
1834,1.782895342472557e-07,0.0
1835,8.31939672707449e-08,0.0
1836,1.3038255364250517e-07,0.0
1837,1.0088941593267009e-07,0.0
1838,8.268932205623969e-08,0.0
1839,8.879173307718702e-08,0.0
1840,7.134051438484335e-08,0.0
1841,7.96148018622489e-08,0.0
1842,5.634942645826868e-08,0.0
1843,1.075057802779611e-07,0.0
1844,1.004406726679008e-07,0.0
1845,1.383896579554289e-07,0.0
1846,8.254846584065945e-08,0.0
1847,6.202207014638361e-08,0.0
1848,3.781254065415851e-08,0.0
1849,7.792855982735603e-08,0.0
1850,7.400005586077896e-08,0.0
1851,9.416180279941955e-08,0.0
1852,5.143331027746001e-08,0.0
1853,9.913407073014469e-08,0.0
1854,1.1274591749099727e-07,0.0
1855,9.817833657166375e-08,0.0
1856,6.885661996136605e-08,0.0
1857,1.0348799506232353e-07,0.0
1858,1.0766087221725229e-07,0.0
1859,1.023526832177879e-07,0.0
1860,1.0390207627608561e-07,0.0
1861,1.485528571265604e-07,0.0
1862,9.758850461061286e-08,0.0
1863,8.790532302072052e-08,0.0
1864,1.0308665387981364e-07,0.0
1865,9.319552107811546e-08,0.0
1866,1.3477747806689422e-07,0.0
1867,1.402462501687296e-07,0.0
