year,gros_ADJ amas_NOUN
1800,1.2576657937302116e-08
1801,1.1905912700171939e-08
1802,1.3427040812530322e-08
1803,2.5354410126965377e-08
1804,1.730295728918918e-08
1805,0.0
1806,8.645007376628655e-09
1807,0.0
1808,2.2660739951163578e-09
1809,1.581321384946932e-08
1810,5.148278958699848e-08
1811,2.5070768572277302e-08
1812,2.1337665856435706e-08
1813,3.163315653864629e-08
1814,3.1466771410748606e-09
1815,0.0
1816,2.0858434979231788e-08
1817,1.5568733857662664e-08
1818,4.053200441944682e-08
1819,4.864993385922389e-08
1820,3.797273961936298e-08
1821,7.88919063410276e-09
1822,2.5064039732569654e-08
1823,1.5713472123479733e-07
1824,3.2842340402794434e-08
1825,1.7610886970942374e-08
1826,4.315912249808207e-08
1827,2.2121454890111636e-08
1828,3.485474309172787e-08
1829,1.714635211591542e-09
1830,3.026682549034376e-08
1831,1.7150327380477393e-08
1832,1.488296597074168e-08
1833,5.21263281427764e-08
1834,4.0138484536100805e-08
1835,5.294161553592858e-09
1836,5.5782226837663984e-08
1837,2.0177884252348122e-08
1838,7.32210807541378e-08
1839,2.586845759822154e-08
1840,1.0191501864653674e-08
1841,2.1829865914924085e-08
1842,1.0062397137744483e-08
1843,1.1813821920725331e-08
1844,1.0977122322231025e-08
1845,4.1293688468613254e-08
1846,1.7563504428608212e-08
1847,1.833696039454935e-08
1848,2.011305433313737e-08
1849,1.4245005175439474e-08
1850,1.2899092460827433e-08
1851,1.3543821175687754e-08
1852,7.812654523320361e-09
1853,3.642878354526147e-08
1854,3.273268589509826e-08
1855,9.552486801567284e-09
1856,2.4332790005132665e-08
1857,2.2943092758964667e-08
1858,2.838332058274773e-08
1859,1.4258085379026397e-08
1860,1.1442959468865865e-08
1861,4.291527133659656e-08
1862,2.981871105589562e-08
1863,1.3485475847119233e-08
1864,2.1096802527154068e-08
1865,2.9653119071326728e-08
1866,3.989802621617855e-08
1867,1.9896527092555516e-08
1868,4.2482916740027576e-08
1869,3.320792885119772e-08
1870,2.3509599600401998e-08
1871,2.6552942955504477e-08
1872,2.963196266136947e-08
1873,5.3874039451784483e-08
1874,1.5533982988813477e-08
1875,4.748867610260277e-08
1876,1.5115036333668286e-08
1877,3.401648740464225e-08
1878,3.2611080058586595e-08
1879,2.3215436684154156e-08
1880,2.9522093214495726e-08
1881,4.462404845639867e-08
1882,6.189507928411331e-08
1883,7.520013411976834e-08
1884,9.374409870588352e-08
1885,3.0939052209078e-08
1886,4.5174246565693466e-08
1887,5.288428894800745e-08
1888,4.628648753168818e-08
1889,4.8868066926388565e-08
1890,5.309053108248918e-08
1891,5.8005401371019616e-08
1892,8.274436424926535e-08
1893,7.636436555324977e-08
1894,7.120739553556632e-08
1895,5.958428372920821e-08
1896,1.0024949403941719e-07
1897,1.1769961361096648e-07
1898,8.88361725293052e-08
1899,6.798921248218903e-08
1900,1.1939421540319017e-07
1901,1.251877534969026e-07
1902,9.084024843453165e-08
1903,1.3122534880949388e-07
1904,1.671508380596265e-07
1905,1.3779227092669544e-07
1906,1.1317206238814492e-07
1907,1.1982825287581989e-07
1908,8.889614111495803e-08
1909,1.2927311077159942e-07
1910,1.1596806648306313e-07
1911,9.15104337861905e-08
1912,1.1148161460639017e-07
1913,7.371155419377828e-08
1914,8.170027143705738e-08
1915,1.1073916139636708e-07
1916,6.592477164168997e-08
1917,5.3735480065597585e-08
1918,1.378365110937807e-07
1919,8.655377531363584e-08
1920,8.48089940497232e-08
1921,1.2873670052204744e-07
1922,1.0771785841079407e-07
1923,1.2845296737395984e-07
1924,1.1344629402554318e-07
1925,9.018506119673475e-08
1926,1.2929519943583045e-07
1927,1.5720407575692263e-07
1928,1.5082374993369285e-07
1929,1.4259720160225697e-07
1930,1.3444611879354085e-07
1931,9.466445849426464e-08
1932,1.5891327409534028e-07
1933,1.0094182867348422e-07
1934,1.605531796400328e-07
1935,9.813993173679592e-08
1936,1.1882220274372912e-07
1937,1.1080183692779855e-07
1938,1.6465822127997853e-07
1939,1.391758530644438e-07
1940,1.4961119632062037e-07
1941,1.0035108832795459e-07
1942,1.0923162108156248e-07
1943,1.3935529374897726e-07
1944,1.0924833304670756e-07
1945,8.714016530575464e-08
1946,4.733175273941015e-08
1947,6.914105443733831e-08
1948,1.3263702669519262e-07
1949,6.97007607186606e-08
1950,1.1273482858342732e-07
1951,7.356367448529966e-08
1952,1.3602797599432392e-07
1953,1.0342874134927627e-07
1954,2.149957998298646e-07
1955,9.385608024103931e-08
1956,1.1947963685088325e-07
1957,1.1043796854792731e-07
1958,1.4476425680420846e-07
1959,7.440717730844426e-08
1960,6.297958266010539e-08
1961,9.935867661958753e-08
1962,8.942158524760657e-08
1963,9.117134858183107e-08
1964,4.502136596862272e-08
1965,7.660860390501512e-08
1966,5.317511797553465e-08
1967,6.95177292397986e-08
1968,4.8956433990055004e-08
1969,4.723428048691858e-08
1970,4.0928652828009504e-08
1971,6.114693140713001e-08
1972,3.0780881121739156e-08
1973,3.087394162548662e-08
1974,3.431598744052522e-08
1975,3.655347313724633e-08
1976,3.428116102099921e-08
1977,2.3507127355770763e-08
1978,2.673266052966028e-08
1979,3.21858529828134e-08
1980,6.424220133638414e-08
1981,5.12369515703881e-08
1982,5.152226967286566e-08
1983,2.7155859783078995e-08
1984,2.8995042811175153e-08
1985,1.7445118793979475e-08
1986,2.3378492974845955e-08
1987,3.483165755824302e-08
1988,2.1587593934668803e-08
1989,1.4817929994137558e-08
1990,3.4871366239030976e-08
1991,2.5204300868608698e-08
1992,2.2039776725879534e-08
1993,1.7725464318552042e-08
1994,1.7407257746349103e-08
1995,2.3316537756112865e-08
1996,1.6548085568501847e-08
1997,1.5343662340683295e-08
1998,9.059445305048541e-09
1999,1.279656292041409e-08
2000,2.3857369635393866e-08
2001,1.796296800193886e-08
2002,8.762442937904069e-09
2003,2.0417921575699438e-08
2004,1.4095332234731472e-08
2005,1.4411998705554652e-08
2006,1.6471560115860484e-08
2007,1.1583990655594789e-08
2008,1.7455501932772677e-08
2009,1.3350939020995156e-08
2010,1.747803501928047e-08
2011,1.6825476123472072e-08
2012,1.7702113552786614e-08
2013,2.370756352343406e-08
2014,2.2737175212061977e-08
2015,2.881547978006438e-08
2016,3.252003821785365e-08
2017,1.9621769098421282e-08
2018,2.7363547872027993e-08
2019,2.4234383111387814e-08
