year,leurs_DET ans_NOUN,leurs_DET gants_NOUN
1800,3.458580977167003e-08,3.144164484325529e-09
1801,2.6193008650921e-08,2.6193008650921e-08
1802,2.2378401354217203e-08,1.320325679898815e-07
1803,4.290746247193056e-08,1.950339267864365e-08
1804,2.2246657849223084e-08,2.4718509905596875e-08
1805,3.980028751016107e-08,1.7057265822018053e-08
1806,4.610670600868616e-08,0.0
1807,5.693910054560547e-08,3.131650583299006e-08
1808,6.798221763304468e-08,2.945896149242344e-08
1809,3.162642681076022e-08,0.0
1810,1.6380887757350138e-08,1.0764583180389309e-07
1811,3.5099073869560016e-08,1.2535384286138651e-08
1812,2.6672083208723052e-08,8.00162469616339e-09
1813,2.300593315851529e-08,2.3005932492381476e-08
1814,3.776012391654149e-08,1.8880061958270744e-08
1815,3.506390555685357e-08,6.74305908887618e-08
1816,9.502176112619054e-08,4.4034472068688046e-08
1817,1.71256075987003e-08,1.71256075987003e-08
1818,3.695565098382758e-08,9.536941680821087e-09
1819,4.968504185853817e-08,3.829888639561574e-08
1820,4.746592452420373e-08,2.4919610375206958e-08
1821,4.043210211079895e-08,1.2819935113483893e-08
1822,3.208197085768916e-08,3.107940926838637e-08
1823,6.621399961659336e-08,4.249555374258307e-08
1824,7.494790565942822e-08,1.6000115010683658e-08
1825,1.6730341556581152e-08,2.289415235168235e-08
1826,2.290075862276808e-08,2.9066348328221636e-08
1827,3.3182182335167454e-08,1.1060727445055818e-08
1828,6.604057034564903e-08,3.485474309172787e-08
1829,2.2290258194779256e-08,3.7721972934168235e-08
1830,2.1917355041978226e-08,4.27910280542676e-08
1831,3.1182413096075834e-08,4.2096257146795324e-08
1832,1.2176972319366541e-08,4.329590197471589e-08
1833,3.4750886612755494e-08,5.560141858040879e-08
1834,4.293884248163238e-08,4.2005388500854224e-08
1835,1.3613558280667348e-08,3.2521278114927554e-08
1836,3.6964125260663394e-08,5.443807604699202e-08
1837,2.6439985201243132e-08,7.375364541317708e-08
1838,2.335499815764308e-08,5.049729523420865e-08
1839,1.747868827450816e-08,6.711816524784808e-08
1840,1.9746034474188434e-08,3.1848443160509277e-08
1841,3.146068650039524e-08,5.264849889385914e-08
1842,2.951636579595629e-08,7.647422073375765e-08
1843,1.0041748876865597e-08,3.7213540027281056e-08
1844,2.0856533611279815e-08,2.1405388628270572e-08
1845,1.1718478298838875e-08,3.961961747567244e-08
1846,2.5759806732139623e-08,5.620321275046081e-08
1847,8.089835468183537e-09,2.1033571329098777e-08
1848,2.494018680465615e-08,2.815827571112095e-08
1849,3.603148401865042e-08,1.6758828991214614e-08
1850,1.2220192857625989e-08,3.733947995243625e-08
1851,1.1608989769484879e-08,4.450112900400427e-08
1852,3.7761164861649377e-08,7.161599868688029e-08
1853,1.7318602996141408e-08,4.896984151514516e-08
1854,2.701745477340367e-08,6.130884111499313e-08
1855,2.4411910715116392e-08,6.739810132216917e-08
1856,1.9673318418789165e-08,4.9701017523773316e-08
1857,4.3445430475408386e-08,1.0348799245329943e-07
1858,3.523446845399292e-08,5.77453780348236e-08
1859,2.698851964133553e-08,7.892868469916436e-08
1860,2.1055045262841077e-08,5.6757080812985805e-08
1861,2.5937799741360124e-08,6.272231556359031e-08
1862,2.078273733663316e-08,3.34331000662047e-08
1863,2.0477945228414285e-08,6.692791854057134e-08
1864,2.8288894005079612e-08,3.1165733105353866e-08
1865,1.5532586550293104e-08,4.047886292823932e-08
1866,3.795178094012641e-08,7.833636905818508e-08
1867,2.232293283555009e-08,9.365925990323376e-08
1868,2.5193357400254968e-08,4.9892727060907305e-08
1869,1.4162205408396744e-08,3.5161338729494673e-08
1870,2.5229814681893004e-08,3.7844721134661086e-08
1871,1.805600113868877e-08,4.248470819590011e-08
1872,1.7537283514279522e-08,4.354084381930079e-08
1873,1.7359413795325906e-08,3.112722185560912e-08
1874,1.911874852877915e-08,5.556386639682387e-08
1875,1.0870901512305409e-08,5.3782353459652654e-08
1876,2.5997864083748823e-08,4.474050818714659e-08
1877,1.9172929910382663e-08,5.8137268776903284e-08
1878,4.589707236490881e-08,4.710489148740393e-08
1879,2.260450293611882e-08,7.819936342912115e-08
1880,3.2731015897624616e-08,4.9417415715069524e-08
1881,2.161477419271307e-08,6.205531577485601e-08
1882,1.6638463051776853e-08,5.1912003584675404e-08
1883,1.7694149478941767e-08,4.423537297570945e-08
1884,2.442627877741188e-08,6.601696611596708e-08
1885,1.5469525438405185e-08,8.057044298404037e-08
1886,2.5168509276696227e-08,5.162771188338411e-08
1887,2.4157020495074732e-08,6.267767349577014e-08
1888,7.60873763994141e-09,5.769959243728806e-08
1889,1.9421923069806724e-08,6.202485253181678e-08
1890,2.4906667839275087e-08,4.194807196045147e-08
1891,1.7847816891070067e-08,8.605196910593804e-08
1892,1.2537024973724442e-08,7.14610379759506e-08
1893,1.4164357742263434e-08,6.7742583209629e-08
1894,1.7014155417882648e-08,7.183754946460397e-08
1895,1.444467478961542e-08,6.018614562286473e-08
1896,3.125425407368709e-08,4.540712339462516e-08
1897,1.5149455467877715e-08,5.010973824770559e-08
1898,1.0750874412934763e-08,6.111022987642656e-08
1899,8.844125432005967e-09,7.075300345604774e-08
1900,1.2458527431924438e-08,6.48881623988018e-08
1901,1.0059729993461275e-08,4.973977496547377e-08
1902,8.838510812125833e-09,2.995273007400101e-08
1903,1.8900770726304472e-08,4.860198288270112e-08
1904,1.5048950530172078e-08,3.708491291831706e-08
1905,2.0126960542654615e-08,4.59307549771637e-08
1906,9.773950260250075e-09,5.504277539314373e-08
1907,1.645709940545359e-08,4.8342727154704335e-08
1908,2.7503779254089977e-08,6.090122184332358e-08
1909,1.4852655993990993e-08,5.5009834909469646e-08
1910,9.085056040802897e-09,7.374927690761979e-08
1911,6.916486383623521e-09,5.001151570649398e-08
1912,1.9274858487072777e-08,5.834551863870274e-08
1913,1.6969566696278804e-08,2.227255674336348e-08
1914,2.6117300322425763e-08,4.754687871200147e-08
1915,2.1205371458776767e-08,7.775302890422608e-08
1916,5.493731025651982e-09,5.8233549982134036e-08
1917,6.57985488317081e-09,5.702540661900457e-08
1918,1.2635013924011673e-08,4.709414369585829e-08
1919,1.4732557174212957e-08,5.893022880787413e-08
1920,2.8017257402979112e-08,3.8618380937549546e-08
