year,dix_DET airs_NOUN,dix_DET guerres_NOUN
1800,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,0.0,1.5664880947952042e-08
1803,0.0,0.0
1804,4.943701892301533e-09,1.4831105232815389e-08
1805,0.0,0.0
1806,1.4408345627714425e-08,0.0
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,8.627225156487839e-09
1814,0.0,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,9.270415546325239e-09
1817,1.401186100480345e-08,0.0
1818,1.1921177378582115e-09,0.0
1819,1.3456364911235141e-08,0.0
1820,2.3732962262101864e-09,1.1866481131050932e-08
1821,9.86148829262845e-10,0.0
1822,4.010246357211145e-09,0.0
1823,6.917880934764753e-09,3.9530747564242574e-09
1824,5.052667617633233e-09,0.0
1825,7.044354433105582e-09,8.805443041381977e-10
1826,1.5854372037438225e-08,1.0569580766173203e-08
1827,0.0,0.0
1828,9.172301251858528e-10,9.172301251858528e-10
1829,0.0,0.0
1830,2.0873671680021744e-09,0.0
1831,1.5591206103948707e-09,1.091384405071949e-08
1832,1.3529969367098715e-09,5.411987746839486e-09
1833,1.7375443306377747e-08,3.4750886612755494e-09
1834,1.8669061851994684e-09,0.0
1835,0.0,0.0
1836,3.36037508930076e-09,0.0
1837,2.7831563720326358e-09,3.478945576063097e-09
1838,1.8936485712828244e-09,8.2058102535143e-09
1839,6.9914749545318955e-09,6.9914751765765e-10
1840,1.2739377330817092e-09,1.3376346252869098e-08
1841,6.420548537278137e-10,6.420548537278137e-10
1842,6.708265054555795e-10,6.708265054555795e-10
1843,3.5441467538532834e-09,1.1813822142769936e-09
1844,2.7442805805577564e-09,7.683985892015244e-09
1845,0.0,3.9061593959388574e-09
1846,1.7563503984519002e-09,2.3418005312692003e-09
1847,1.6179670936367074e-09,1.1325769655456952e-08
1848,2.413566457803995e-09,0.0
1849,0.0,1.5920887719289567e-08
1850,3.394498016007219e-09,9.504594444820214e-09
1851,0.0,3.8696632564949596e-09
1852,4.557382027314816e-09,1.3021090872200602e-09
