year,nos_DET airs_NOUN,nos_DET guerres_NOUN
1800,3.772997558826319e-08,3.678672495510682e-07
1801,6.191074786165984e-08,5.857709357570684e-07
1802,4.475680270843441e-09,4.968005100636219e-07
1803,7.021221204439598e-08,4.6418074362009065e-07
1804,8.404293261321527e-08,5.042575708102959e-07
1805,1.8762992382015398e-07,3.9231712811726993e-07
1806,1.2391177506287931e-07,5.763338322140044e-07
1807,3.131650672116848e-08,1.708173016368164e-07
1808,7.478043961839376e-08,5.121327451007573e-07
1809,1.8072244145628247e-08,2.2590305093217466e-07
1810,6.786367467981336e-08,4.890865077378237e-07
1811,4.763445815569867e-08,3.5349782478988345e-07
1812,2.9339290108509886e-08,5.014351387444549e-07
1813,5.463909147351842e-08,3.652191793435122e-07
1814,3.461344899591268e-08,9.47149800367697e-07
1815,8.091670444798638e-09,6.500308629142637e-07
1816,9.270415546325239e-09,4.1948631057664443e-07
1817,8.095742032310227e-08,6.040668996121212e-07
1818,3.099506074022429e-08,8.261376187590486e-07
1819,1.0040518816367694e-07,7.080118287206005e-07
1820,5.93324074316115e-08,6.953757871741573e-07
1821,5.719663320746804e-08,5.621048604353973e-07
1822,5.413832582235045e-08,8.551850356752766e-07
1823,2.8659792761231984e-08,1.1404620439137148e-06
1824,3.621078548121659e-08,9.179012625537553e-07
1825,6.95629991387392e-08,6.929883848982854e-07
1826,4.4039921931471326e-08,6.156780845145704e-07
1827,3.3182182335167454e-08,6.258528273406228e-07
1828,4.769596628761974e-08,8.576101464541352e-07
1829,3.172075158097698e-08,6.747089500436232e-07
1830,9.706257486641334e-08,4.6652655250056796e-07
1831,5.1450980143030733e-08,5.020368138985987e-07
1832,3.111892965534935e-08,5.114328414101976e-07
1833,3.8225973497674204e-08,5.884483176288313e-07
1834,8.681113605746305e-08,5.442031696389904e-07
1835,5.52105419160398e-08,6.3378674752812e-07
1836,3.1587525484155776e-08,8.63616390844868e-07
1837,1.8090515530033713e-08,6.609996336948143e-07
1838,4.86036455527028e-08,1.0067897839860507e-06
1839,5.593180230079042e-08,5.781950136451997e-07
1840,4.58617570586739e-08,5.458823064685703e-07
1841,5.3290552415319326e-08,5.072233424385786e-07
1842,1.8783141708667017e-08,6.600932778155766e-07
1843,3.839492035417891e-08,6.048676843839473e-07
1844,4.390849023261367e-08,5.757500627368017e-07
1845,1.7298706467272496e-08,5.853659272858636e-07
1846,4.5665111247927825e-08,5.210506461850173e-07
1847,2.6426796750911308e-08,5.339291213601882e-07
1848,2.172209789819135e-08,5.704062249201058e-07
1849,2.1786478399121734e-08,4.692472481693244e-07
1850,2.308258650884909e-08,6.59211514708602e-07
1851,1.1608989325395669e-08,5.997978123062353e-07
1852,3.8412219849348617e-08,4.505297503953898e-07
1853,3.1054046445433414e-08,6.855777812120323e-07
1854,3.273268500691984e-08,5.746404858619769e-07
1855,3.980202833986368e-08,6.596522830193408e-07
1856,5.539592606851329e-08,5.482643263832188e-07
1857,3.954022459451423e-08,5.457527176844224e-07
1858,4.9426128856389084e-08,5.221552150658226e-07
1859,4.277425569298998e-08,7.1595955120074e-07
1860,1.51047069019139e-08,6.371439909003129e-07
1861,5.470517772110384e-08,5.508245575214232e-07
1862,3.343309987191567e-08,6.022475691480622e-07
1863,1.9978482868054925e-08,4.844782299784356e-07
1864,2.4453112201783256e-08,5.422837485724585e-07
1865,2.8241066374334878e-08,4.29734876128407e-07
1866,3.2113044667880786e-08,5.245130711983848e-07
1867,1.8925964795357686e-08,5.386620802738662e-07
1868,2.7663294210888978e-08,4.3569690255651494e-07
1869,4.102156014873515e-08,5.166763408226416e-07
1870,1.3188312220080434e-08,5.298261136488236e-07
1871,1.6993883855676017e-08,6.744447507145424e-07
1872,3.4469832321804006e-08,5.249090300196713e-07
