year,énormes_ADJ gouttes_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,9.217273055917019e-10
1828,9.172301140836225e-09
1829,0.0
1830,0.0
1831,1.2472964883158966e-08
1832,0.0
1833,1.1583628278799551e-08
1834,1.8669061851994684e-09
1835,7.563087933704082e-09
1836,0.0
1837,0.0
1838,6.312161904276081e-10
1839,2.7965900706306e-09
1840,1.9109065441114126e-09
1841,0.0
1842,0.0
1843,5.906911071384968e-10
1844,0.0
1845,0.0
1846,2.9272506640865004e-09
1847,1.0786447290911383e-09
1848,8.045221711050488e-10
1849,0.0
1850,0.0
1851,6.449438760824933e-10
1852,0.0
1853,0.0
1854,5.195664343204953e-09
1855,1.5920811335945473e-08
1856,4.141751386299575e-09
1857,2.9289055625270066e-09
1858,0.0
1859,5.092173349652285e-10
1860,4.57718396518203e-09
1861,1.8863854922557266e-09
1862,1.1746764450037972e-08
1863,2.9967726078439227e-09
1864,4.794727948009836e-10
1865,1.882737743486018e-09
1866,5.838735717134114e-09
1867,4.85281148598915e-10
1868,3.457911734727759e-09
1869,0.0
1870,4.013834153937523e-09
1871,0.0
1872,0.0
1873,7.781805422268917e-09
1874,3.5847653734322193e-09
1875,4.005069165202713e-09
1876,1.209202959984168e-09
1877,1.2369631985365004e-09
1878,4.22736201599605e-09
1879,3.0546627449723474e-09
1880,2.5671385017744797e-09
1881,2.7890030285249168e-09
1882,0.0
1883,9.479008689083912e-09
1884,1.1222884843675729e-08
1885,4.511945039809007e-09
1886,6.4534639854230136e-09
1887,5.223139698529167e-09
1888,6.340614699951175e-09
1889,6.891650361495749e-09
1890,1.9663159989136147e-09
1891,3.1871101313640793e-09
1892,6.268512375839919e-10
1893,6.158416554491453e-10
1894,1.0082462864602348e-08
1895,6.018614495673091e-09
1896,1.1794058174530164e-08
1897,2.9133566670225264e-09
1898,4.52668391659472e-09
1899,1.1055156790007459e-09
1900,1.5573159428683425e-09
1901,9.500856101851696e-09
1902,2.9461704187383475e-09
1903,1.0800440541913758e-09
1904,3.2247751136083025e-09
1905,3.6125313851442797e-09
1906,1.1317205839134203e-08
1907,9.257117739025489e-09
1908,4.911389073214423e-10
1909,2.2003934230241384e-09
1910,2.67207544979442e-09
1911,7.448523575703803e-09
1912,6.772247651554153e-09
1913,3.181793939432964e-09
1914,8.036092680185902e-09
1915,2.3561523843085297e-09
1916,0.0
1917,1.0966424435210342e-09
1918,6.89182577673364e-09
1919,9.207848705727883e-09
1920,1.514446346106979e-09
1921,0.0
1922,5.164555005876537e-09
1923,1.2739137744688378e-08
1924,1.2891624656674594e-08
