year,tes_DET airs_NOUN,tes_DET guerres_NOUN
1800,6.288328968651058e-09,6.288328968651058e-09
1801,7.143547975374531e-09,7.143547975374531e-09
1802,2.0140561218795483e-08,6.713520406265161e-09
1803,7.801356893821776e-09,1.3652374342143503e-08
1804,2.4718509461507665e-09,5.9324420931261557e-08
1805,1.1371510622026904e-08,5.685755422035754e-09
1806,8.645007376628655e-09,2.881669125542885e-09
1807,1.9928686256776018e-08,0.0
1808,2.2660739507074368e-08,0.0
1809,6.7770917766551975e-09,9.036122072814123e-09
1810,7.020380365929668e-08,1.1700633351097167e-08
1811,2.2563690471599784e-08,0.0
1812,1.0668832928217853e-08,1.0668832928217853e-08
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,6.293354282149721e-09,1.8880063290538374e-08
1815,2.697223555614414e-09,5.394447111228828e-09
1816,4.6352077731626196e-09,1.1588019432906549e-08
1817,1.71256075987003e-08,4.670620334934483e-09
1818,1.5497530370112145e-08,3.5763532135746345e-09
1819,1.1386155129855524e-08,2.380741526142316e-08
1820,1.3053129244156025e-08,4.746592452420373e-09
1821,1.577838126820552e-08,1.4792232327920374e-08
1822,6.015369535816717e-09,1.604098542884458e-08
1823,2.569498536164616e-08,1.5812298692630122e-08
1824,2.86317822784099e-08,1.7684336661716316e-08
1825,8.805443485471187e-09,1.6730341556581152e-08
1826,1.2331177745572575e-08,2.7304750904733055e-08
1827,8.295545583791863e-09,2.7651818612639545e-09
1828,2.0179061976932644e-08,5.503380862137419e-09
1829,6.001223074036943e-09,2.571952817387313e-09
1830,1.2524203008013046e-08,8.349468894053302e-09
1831,1.5591206103948707e-09,1.5591206548037917e-08
1832,1.7588959622116818e-08,1.2176972319366541e-08
1833,1.737544208513242e-08,1.390035431203529e-08
1834,8.401078055442213e-09,1.68021550006614e-08
1835,1.5126175867408165e-08,1.3613558280667348e-08
1836,5.376600054063374e-09,1.008112526790228e-08
1837,1.0436836728189292e-08,1.530736071231331e-08
1838,1.1361891871786156e-08,3.1560809521380406e-09
1839,1.11863602825224e-08,4.194885327990505e-09
1840,1.1465439264668476e-08,3.1848443882154243e-09
1841,1.4767262079828924e-08,9.630822361827995e-09
1842,1.6770663080478698e-08,1.2074877098200432e-08
1843,9.451057714215949e-09,5.906910960362666e-09
1844,1.2623690537338916e-08,9.330554107123135e-09
1845,1.0602432709561072e-08,5.022205318283568e-09
1846,1.4636253320432502e-08,3.5127007969038004e-09
1847,8.089835468183537e-09,2.1572894581822766e-09
1848,3.218088684420195e-09,1.6090443422100975e-09
1849,1.759677159540729e-08,4.1897072478036534e-09
1850,1.9009189777818847e-08,6.788996032014438e-09
1851,1.2253933867611977e-08,5.8044946626978344e-09
1852,2.0833745395520964e-08,4.557382027314816e-09
1853,1.911018188138769e-08,7.1663179834757784e-09
1854,5.195664343204953e-09,7.793496792363186e-09
1855,1.8043586180738203e-08,1.2205955357558196e-08
