year,ces_DET août_NOUN,ces_DET gouttes_NOUN
1800,3.144164484325529e-09,8.269152758089149e-07
1801,0.0,3.4527146386409413e-07
1802,1.1189200677108602e-08,2.0588129245879827e-07
1803,0.0,2.457427399349399e-07
1804,0.0,2.1999473887035492e-07
1805,0.0,8.528632911009026e-08
1806,0.0,5.76333825108577e-08
1807,0.0,7.402083390672942e-08
1808,0.0,9.290903424385988e-08
1809,2.259030518203531e-09,1.965356517530381e-07
1810,0.0,1.5912862139089157e-07
1811,0.0,1.3538214105324187e-07
1812,2.6672082320544632e-09,1.6269969727034095e-07
1813,0.0,1.6391726842535093e-07
1814,0.0,1.1013369682899565e-07
1815,0.0,1.6183341244868643e-07
1816,0.0,2.3176038155270362e-07
1817,0.0,1.6347171405417527e-07
1818,0.0,1.6928072277266892e-07
1819,0.0,1.5733595493117036e-07
1820,0.0,1.5901084182701197e-07
1821,0.0,1.7454834910779482e-07
1822,0.0,1.233150754842427e-07
1823,0.0,1.5812298670425662e-07
1824,8.421112696055388e-10,2.947389301510839e-07
1825,0.0,1.2151511263880366e-07
1826,0.0,1.0745741185758106e-07
1827,9.217273055917019e-10,2.2490146101006303e-07
1828,0.0,1.816115577923938e-07
1829,0.0,2.0661354582784952e-07
1830,0.0,2.2021723999898768e-07
1831,3.1182412207897414e-09,2.0892216667789398e-07
1832,0.0,1.867135743793824e-07
1833,1.1583628500844156e-09,2.2356403306389439e-07
1834,0.0,9.147840707157684e-08
1835,7.563087933704082e-10,1.8000149282215716e-07
1836,1.3441500135158435e-09,2.069991023034845e-07
1837,3.478945576063097e-09,1.5376938478084412e-07
1838,0.0,1.6159133942039716e-07
1839,0.0,1.209525182233051e-07
1840,1.910906599622564e-09,1.4586587404608053e-07
1841,0.0,1.2969508134119678e-07
1842,6.708265054555795e-10,1.3617778016339344e-07
1843,0.0,1.5889590976314594e-07
1844,0.0,1.3172547053130756e-07
1845,3.3481367123222583e-09,1.1160455581915585e-07
1846,0.0,1.697805416256415e-07
1847,5.393223645455691e-10,1.6071806285822277e-07
1848,0.0,1.029788361250894e-07
1849,0.0,1.2485328504396875e-07
1850,0.0,1.7311940680997395e-07
1851,0.0,1.2834383156246076e-07
1852,0.0,1.2500246970859052e-07
1853,2.388772735173461e-09,3.2547028894214236e-07
1854,0.0,1.797699837879918e-07
1855,0.0,1.873348800529584e-07
1856,0.0,1.5479795401063257e-07
1857,1.4644527812635033e-09,1.7671063545776633e-07
1858,9.787352039936081e-10,1.693211899578273e-07
1859,0.0,1.884104072757964e-07
1860,0.0,1.7942561214567831e-07
1861,1.4147891747029462e-09,1.9759887592840641e-07
1862,0.0,1.3689499134272864e-07
1863,0.0,1.5733056279998436e-07
1864,4.794727948009836e-10,1.5199287961564778e-07
1865,4.706844358715045e-10,1.694463911405819e-07
1866,0.0,1.7029644538979483e-07
1867,9.7056229719783e-10,2.2080292438886318e-07
1868,4.93987406535723e-10,2.484756578269298e-07
1869,9.767038289254515e-10,2.0022428515176216e-07
1870,0.0,2.3681621996729518e-07
1871,0.0,2.1879624867437997e-07
1872,6.047339295989218e-10,1.0824737017856023e-07
1873,0.0,3.447938468070788e-07
1874,1.1949218281515073e-09,1.1351757045474642e-07
1875,1.1443054281912168e-09,1.5390908458812191e-07
1876,0.0,3.385768252428534e-07
1877,0.0,2.3254908398939733e-07
1878,0.0,1.7151012343674665e-07
1879,0.0,2.2848877279102453e-07
1880,0.0,1.4568511019774633e-07
1881,0.0,1.540924170484459e-07
1882,0.0,9.517200538766701e-08
1883,0.0,1.1817163603211611e-07
1884,0.0,1.6900344590453642e-07
1885,0.0,1.2246707470353613e-07
1886,0.0,1.2971462126643019e-07
1887,3.2644623670918804e-09,1.3906610085712146e-07
1888,0.0,1.2110574054702283e-07
1889,6.265136742733546e-10,1.2404971094781558e-07
1890,0.0,9.962667757434929e-08
1891,0.0,1.3895799710894607e-07
1892,0.0,1.3790727493301347e-07
1893,0.0,1.1700991198182464e-07
1894,0.0,9.893416574868752e-08
1895,1.2037228991346183e-09,1.336132449125671e-07
1896,0.0,2.1052393606169062e-07
1897,0.0,1.299357137440893e-07
1898,0.0,1.2504964175263922e-07
1899,0.0,1.4205875942252533e-07
1900,0.0,1.0641658576560076e-07
1901,0.0,1.2854099828985e-07
1902,0.0,1.0606212974550999e-07
1903,1.0800440541913758e-09,1.4958610705662068e-07
1904,0.0,1.279160812828195e-07
1905,5.160759042333041e-10,1.3985657076887037e-07
1906,5.144184522798412e-10,1.8570505844195395e-07
1907,5.142843373384665e-10,1.7331381840790527e-07
1908,9.822778146428846e-10,1.6502266930729093e-07
1909,0.0,1.8483305197491973e-07
1910,5.344150677544235e-10,1.8330437256963705e-07
1911,0.0,1.6493159549213487e-07
1912,0.0,1.6097111554813637e-07
1913,0.0,1.5749878734538925e-07
1914,0.0,1.37283242551689e-07
1915,1.1780761921542648e-09,1.1662954335633913e-07
1916,0.0,1.4833073613829129e-07
1917,1.0966424435210342e-09,1.5243329443137554e-07
