year,ses_DET amas_NOUN
1800,3.144164484325529e-09
1801,1.6668277424969347e-08
1802,1.7902721083373763e-08
1803,1.950339223455444e-09
1804,3.9549615138412264e-08
1805,4.8328921309348516e-08
1806,2.881669125542885e-09
1807,1.1387820464392462e-08
1808,2.4926814390369145e-08
1809,1.129515236897305e-08
1810,9.360507036149102e-09
1811,1.7549536934780008e-08
1812,4.5342538612658245e-08
1813,6.039057609541487e-08
1814,1.2586708564299443e-08
1815,1.8880564667256294e-08
1816,1.3905623319487859e-08
1817,0.0
1818,1.7881765401739358e-08
1819,7.24573512300708e-09
1820,1.1866481131050932e-09
1821,2.9584463767662328e-09
1822,5.012807946513931e-09
1823,9.882686891060644e-10
1824,0.0
1825,1.7610886082763955e-09
1826,0.0
1827,9.217273166939322e-09
1828,1.6510142586412258e-08
1829,2.3147574523818548e-08
1830,4.800944353178238e-08
1831,1.2472964883158966e-08
1832,2.4353944638733083e-08
1833,1.853380560135065e-08
1834,1.6802156110884425e-08
1835,1.663879345414898e-08
1836,1.1425274948351216e-08
1837,1.1132625488130543e-08
1838,6.312161904276081e-09
1839,7.690622361167243e-09
1840,1.0828470564661075e-08
1841,7.0626033910059505e-09
1842,1.0062397137744483e-08
1843,3.307870244384503e-08
1844,2.3051958175646092e-08
1845,2.7343117825484597e-08
1846,1.0538101946622191e-08
1847,1.0786447290911383e-08
1848,2.333114323960217e-08
1849,2.513824481908955e-09
1850,8.146795238417326e-09
1851,1.2253933867611977e-08
1852,3.906327261660181e-09
1853,1.4332636411040767e-08
1854,8.832629738719788e-09
1855,1.9104973603134567e-08
1856,1.0872097000458325e-08
1857,1.757343248698362e-08
1858,6.361778659424999e-09
1859,5.601390462572908e-09
1860,1.0069804545764782e-08
1861,1.3204698667834691e-08
1862,1.355395884417021e-08
1863,6.493007020935693e-09
1864,2.2535221688713136e-08
1865,1.7886009118228685e-08
1866,1.897589108068587e-08
1867,9.7056229719783e-09
1868,1.5807597231187742e-08
1869,1.2697149998075474e-08
1870,1.1468097582678638e-08
1871,1.4869648623516696e-08
1872,8.4662747923403e-09
1873,1.975381502816731e-08
1874,1.5533982988813477e-08
1875,6.293679966073995e-09
1876,1.0882827083946722e-08
1877,1.855444864418132e-08
1878,2.294853773676664e-08
1879,3.0546626561545054e-08
1880,1.4119262203848848e-08
1881,1.3247764274471052e-08
1882,1.6638462829732248e-08
1883,9.479008689083912e-09
1884,1.1222884843675729e-08
1885,1.869234400597719e-08
1886,8.38950331427668e-09
1887,9.140494583448344e-09
1888,1.141310668195672e-08
1889,2.631357420845859e-08
1890,1.769684337959987e-08
1891,1.4023283867459213e-08
1892,1.5671280939599797e-08
1893,2.1554457996231235e-08
1894,2.268554122331068e-08
1895,1.8657704714541978e-08
1896,2.6536630781670567e-08
1897,2.3306854890492446e-08
1898,2.4896760764114845e-08
1899,2.5426860617017155e-08
1900,2.7512582434496835e-08
1901,1.5089595573059e-08
1902,1.3748794547296939e-08
1903,2.970121215639665e-08
1904,1.3436562973367927e-08
1905,9.28936660926638e-09
1906,2.0576738979372067e-08
1907,1.4399961223432456e-08
1908,2.0627833663411366e-08
1909,1.2102163438054703e-08
1910,1.1757131268552712e-08
1911,9.044636040123066e-09
1912,1.3023552902780011e-08
1913,1.3787772923379293e-08
1914,2.343860272535636e-08
1915,1.0602685840410686e-08
1916,1.2086207812345151e-08
1917,9.869781991689308e-09
1918,9.189101035644853e-09
1919,2.025726608678724e-08
1920,2.6502811945050553e-08
1921,1.3630945261411398e-08
1922,2.0658220023506146e-08
1923,3.078624999375279e-08
1924,1.5469948877466777e-08
1925,2.5295809891190402e-08
1926,2.0063049888108253e-08
1927,1.783875902550136e-08
1928,9.14083297942625e-09
1929,1.1140405931087116e-08
1930,8.402883056035648e-09
1931,1.596749932275543e-08
1932,1.2055490161699822e-08
1933,2.064719240024715e-08
1934,1.7972370258689807e-08
1935,1.795242621227544e-08
1936,1.4549657478823974e-08
1937,8.813782592653752e-09
1938,1.2965214679638848e-08
1939,1.5294050470515685e-08
1940,2.5357829169792012e-09
1941,1.4757512545315876e-08
1942,9.102635090130207e-09
1943,2.0322646676618206e-08
1944,9.639558484764166e-09
1945,1.742803235060819e-08
1946,1.3921104269343232e-08
1947,1.7881306213496373e-08
1948,1.3046265179283978e-08
1949,8.835307485632882e-09
1950,1.5953042220573366e-08
1951,1.0661401539380222e-08
1952,1.4762725264461096e-08
1953,2.2625037399137682e-08
1954,1.0749790169128914e-08
1955,1.783265535237888e-08
1956,1.4825941141438648e-08
1957,1.5903067307476704e-08
1958,1.8198935691771112e-08
1959,6.200598368089061e-09
1960,8.997083078554624e-09
1961,2.2928924869880518e-08
1962,1.0147130247162295e-08
1963,6.466053470433053e-09
1964,1.0951143103454797e-08
1965,1.1491291473930687e-08
1966,8.308612464702492e-09
1967,5.423369253687582e-09
1968,8.533690198930799e-09
1969,8.629339909305145e-09
1970,1.1036940084085956e-08
1971,6.166076982339064e-09
1972,9.74727870639569e-09
1973,4.9618833486420044e-09
1974,1.1251143128276908e-08
1975,1.028066431985053e-08
1976,5.713526984862938e-09
1977,1.3516598340590491e-08
1978,5.940591130126904e-09
1979,8.777959692451986e-09
1980,3.411090521154847e-09
1981,7.590659656386833e-09
1982,3.1037510339615437e-09
1983,6.946847541655643e-09
1984,5.799008384599347e-09
1985,6.015557940663996e-09
1986,5.395036861699509e-09
1987,7.944062296871834e-09
1988,2.99827696004229e-09
1989,1.0427432250992297e-08
1990,4.358920779878872e-09
1991,1.3481369798284959e-08
1992,7.162927584403178e-09
1993,8.862731881720265e-09
1994,8.439882570598911e-09
1995,7.0491861237087505e-09
1996,6.939520069693117e-09
1997,4.315404922294874e-09
1998,8.10582001520288e-09
1999,5.941261704833778e-09
2000,6.185244316725402e-09
2001,1.0076787404500465e-08
2002,4.819343757400674e-09
2003,5.000307723435071e-09
2004,7.488145215006625e-09
2005,6.305249655724765e-09
2006,4.117890028965121e-09
2007,9.18730247434496e-09
2008,5.5346713878634546e-09
2009,5.721831008997924e-09
2010,8.030448306328708e-09
2011,5.353560705856353e-09
2012,1.5999987779125036e-08
2013,7.80955033974351e-09
2014,1.0610681000500222e-08
2015,9.752931975914869e-09
2016,1.2842308549920745e-08
2017,1.4842107098900215e-08
2018,1.368177360294709e-08
2019,1.0969247787873115e-08
