year,ces_DET airs_NOUN,ces_DET guerres_NOUN
1800,4.181738866293472e-07,1.0815926358986871e-06
1801,4.238504889286787e-07,1.464427256792078e-06
1802,3.6700578220916213e-07,1.1726282878044003e-06
1803,4.0567054426787763e-07,1.9269351696493686e-06
1804,7.786330371573058e-07,1.0900863145479889e-06
1805,6.02690079176682e-07,1.9473712029594026e-06
1806,7.405889590472725e-07,1.0374008780900112e-06
1807,3.3024679169102455e-07,1.249813273318523e-06
1808,3.3991110370834576e-07,1.6565000748869352e-06
1809,3.998484032763372e-07,1.7688209084099071e-06
1810,4.5632472378542843e-07,1.0811385351416902e-06
1811,4.061464267124393e-07,1.373878077970403e-06
1812,6.027890364634914e-07,1.3869482273776157e-06
1813,6.039057396378666e-07,1.0151368172728326e-06
1814,7.457624633389059e-07,2.1554737656970246e-06
1815,2.643279088943018e-07,1.626425856215974e-06
1816,3.036061109185084e-07,1.121720302421636e-06
1817,4.110145797042719e-07,1.714117594531217e-06
1818,3.9339886015454795e-07,1.7989056857459218e-06
1819,4.5958660876976865e-07,1.861118775536852e-06
1820,5.541646501683317e-07,1.3693919242996344e-06
1821,5.216727174683911e-07,1.69025908292042e-06
1822,4.4513735986129177e-07,1.708364976593657e-06
1823,3.014219576158439e-07,2.4528828106440415e-06
1824,3.7558162802042716e-07,1.682538268710232e-06
1825,5.151184421237076e-07,1.6633481791927807e-06
1826,3.8138572833190665e-07,1.649735509090533e-06
1827,2.7283126868837826e-07,1.5448149142116563e-06
1828,3.6689204740980585e-07,1.209826578474349e-06
1829,3.7379047057584103e-07,1.5114509395175446e-06
1830,5.89681221185856e-07,1.6062290200125062e-06
1831,2.806417143119688e-07,1.7945477992498127e-06
1832,4.4784197683611637e-07,1.5424165269450896e-06
1833,5.965568661281395e-07,1.3645513803339782e-06
1834,3.2857548859510644e-07,1.4804566603743297e-06
1835,4.363901808801529e-07,1.7334597117724115e-06
1836,3.790502951517283e-07,2.1708023041355773e-06
1837,2.845777480331435e-07,1.7645211443095832e-06
1838,3.1118958787601514e-07,2.4314446847029103e-06
1839,4.1809022022221143e-07,1.7688431910301006e-06
1840,3.40141363963653e-07,1.8612230689996068e-06
1841,3.6918153512033314e-07,1.6988771562864713e-06
1842,3.481589700982113e-07,1.7475030631430855e-06
1843,3.691819294715515e-07,1.5487921132262272e-06
1844,3.9956725217393796e-07,1.7739029445351662e-06
1845,3.7499130378648715e-07,1.4927109432960606e-06
1846,3.4424467898475086e-07,1.8576332649899996e-06
1847,2.998632275819091e-07,1.7436292054640035e-06
1848,3.041093847855336e-07,1.7683397288692504e-06
1849,3.578010066007664e-07,1.262777800548065e-06
1850,2.966791328162799e-07,1.4161845740545687e-06
1851,2.7281125092315506e-07,1.2956922148532612e-06
1852,5.546984809257083e-07,1.2552331369874992e-06
1853,3.702597801691354e-07,1.4314720999664132e-06
1854,5.268403597824545e-07,1.4636187160022018e-06
1855,3.5184992697168127e-07,1.1882232513471536e-06
1856,4.498977546063543e-07,1.1943775177769567e-06
1857,4.266438917710502e-07,1.3297230623265932e-06
