year,véritables_ADJ amas_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,1.730295728918918e-08
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,1.1502966579257645e-08
1814,0.0
1815,0.0
1816,0.0
1817,8.251429051142622e-08
1818,0.0
1819,2.070210003424222e-09
1820,0.0
1821,0.0
1822,0.0
1823,8.894418535021487e-09
1824,2.5263338088166165e-09
1825,0.0
1826,9.688783109140786e-09
1827,9.217273166939322e-09
1828,3.668920500743411e-09
1829,1.971830521085849e-08
1830,8.349468672008697e-09
1831,6.236482441579483e-09
1832,8.117981842303834e-09
1833,2.3167257001688313e-09
1834,3.733812370398937e-09
1835,6.806779140333674e-09
1836,2.016224964762614e-09
1837,9.045257876039159e-09
1838,1.7042836475411605e-08
1839,1.11863602825224e-08
1840,1.2739377330817092e-09
1841,1.2841097074556274e-09
1842,7.379091560011375e-09
1843,3.5441467538532834e-09
1844,1.097712254427563e-09
1845,8.928364714222425e-09
1846,5.269050973311096e-09
1847,5.393223645455691e-10
1848,2.413566457803995e-09
1849,0.0
1850,6.1100964288129944e-09
1851,1.483370937194195e-08
1852,1.4323200403509873e-08
1853,8.957897534855874e-09
1854,1.1950028522278444e-08
1855,7.429711956774554e-09
1856,9.318940286107136e-09
1857,1.9526036343364694e-09
1858,1.6149130033227266e-08
1859,4.582956236731661e-09
1860,4.57718396518203e-09
1861,5.187560159214399e-09
1862,4.9697850279528666e-09
1863,4.994620828036034e-10
1864,6.233146443435089e-09
1865,9.88437331983505e-09
1866,1.216403244796993e-08
1867,4.85281148598915e-10
1868,1.0867722721741302e-08
1869,5.371870948067681e-09
1870,1.9495765002375265e-08
1871,2.3366590440332402e-08
1872,1.2094679036067646e-08
1873,1.7359413462259e-08
1874,1.1949218503559678e-08
1875,6.293679799540541e-09
1876,1.813804395567331e-08
1877,1.36065949618569e-08
1878,9.662541877730746e-09
1879,2.1382637882538802e-08
1880,2.0537108014195837e-08
1881,1.2550513517339823e-08
1882,1.4641846846075168e-08
1883,2.6541224329434954e-08
1884,8.582206056928499e-09
1885,1.9981470700258797e-08
1886,1.8069698626277386e-08
1887,1.1752064210668323e-08
1888,2.282621380800265e-08
1889,2.0674951528576457e-08
1890,2.1629475099871343e-08
1891,5.736798147637501e-09
1892,1.3163876211308434e-08
1893,3.571881634911733e-08
1894,1.1342770278588432e-08
1895,1.5648398132839247e-08
1896,1.8870492723976895e-08
1897,2.7968225069230357e-08
1898,1.9804241802034994e-08
1899,2.432134493801641e-08
1900,2.5436159845071415e-08
1901,1.5089595351014395e-08
1902,2.5042448115186744e-08
1903,2.8621167658116065e-08
1904,2.579820090886642e-08
1905,2.0643035725242953e-08
1906,3.600929332492342e-08
1907,3.445705232252294e-08
1908,2.4556944921982904e-08
1909,3.025541062129378e-08
1910,4.0615546481603815e-08
