year,nombreux_ADJ amas_NOUN
1800,6.288328968651058e-09
1801,4.7623651688866175e-09
1802,0.0
1803,1.1702034896643454e-08
1804,2.9662210465630778e-08
1805,1.9900143755080535e-08
1806,1.152667650217154e-08
1807,5.693910232196231e-09
1808,6.345007363961486e-08
1809,1.129515236897305e-08
1810,1.8721014072298203e-08
1811,1.7549536934780008e-08
1812,2.400487453257938e-08
1813,1.1502966579257645e-08
1814,1.8880061958270744e-08
1815,2.4275012222574333e-08
1816,4.6352077731626196e-09
1817,4.670620334934483e-09
1818,8.344824387052086e-09
1819,1.6561680027393777e-08
1820,2.254631326081835e-08
1821,3.94459531705138e-09
1822,7.017931125119503e-09
1823,1.3835761869529506e-08
1824,2.0210670470532932e-08
1825,1.7610886970942374e-08
1826,3.435113882233054e-08
1827,5.530363722527909e-09
1828,1.0089530988466322e-08
1829,3.772197487705853e-08
1830,2.6092090266160994e-08
1831,3.1182412207897414e-09
1832,3.111892965534935e-08
1833,2.89590715851773e-08
1834,1.120143711119681e-08
1835,1.8907719834260206e-08
1836,2.1506400216253496e-08
1837,1.948209416013924e-08
1838,1.7042836475411605e-08
1839,3.355908262392404e-08
1840,3.821813265858509e-08
1841,1.8619591202195807e-08
1842,8.049918065466954e-09
1843,4.3120451209688326e-08
1844,3.2931368743049916e-09
1845,8.37034175305007e-09
1846,1.8734404250153602e-08
1847,1.3483059113639229e-08
1848,2.011305433313737e-08
1849,1.75967720394965e-08
1850,2.7834882843080777e-08
1851,1.096404567135778e-08
1852,2.3437962681782665e-08
1853,8.360704129017904e-09
1854,3.013485283531736e-08
1855,1.326734277995456e-08
1856,1.65670055451983e-08
1857,2.5383847912507917e-08
1858,1.761723389392955e-08
1859,1.2221216039165483e-08
1860,2.5174511364411956e-08
1861,9.431927239234028e-09
1862,2.891511208247266e-08
1863,2.7969877081091e-08
1864,1.6781548595190543e-08
1865,2.023943146411966e-08
1866,2.3841502994059738e-08
1867,4.173417877950669e-08
1868,5.236266531483125e-08
1869,4.8346841197144386e-08
1870,1.204150201772336e-08
1871,1.4869648623516696e-08
1872,1.5118347462816928e-08
1873,2.6937019725892242e-08
1874,5.257655999457711e-08
