year,les_DET os_NOUN,les_DET gosses_NOUN
1800,1.667979279318388e-05,9.432493897065797e-09
1801,1.893040234790533e-05,4.7623651688866175e-09
1802,1.0725967968028272e-05,4.475680270843441e-09
1803,1.859648477875453e-05,0.0
1804,1.4984360518610629e-05,0.0
1805,1.9812013988484978e-05,2.842877711017877e-09
1806,1.2543905313577852e-05,0.0
1807,1.156717871708679e-05,0.0
1808,8.302895253109455e-06,0.0
1809,9.908107585943071e-06,4.518061036407062e-09
1810,8.581245197092358e-06,0.0
1811,6.490821704119298e-06,0.0
1812,2.3812835706849e-05,2.6672082320544632e-09
1813,1.308462424276513e-05,2.8757416448144113e-09
1814,1.2640201816793706e-05,0.0
1815,1.5077479588399001e-05,2.697223555614414e-09
1816,1.4160559885567636e-05,2.3176038865813098e-09
1817,1.1114519338661921e-05,0.0
1818,1.554521509206097e-05,0.0
1819,1.2232870517436822e-05,1.035105001712111e-09
1820,1.236843309015967e-05,1.1866481131050932e-09
1821,1.2323901728450437e-05,5.9168927535324656e-09
1822,1.2257318303454667e-05,0.0
1823,1.1296899742774258e-05,0.0
1824,9.911649954119639e-06,8.421112696055388e-10
1825,1.3412451153271832e-05,0.0
1826,9.249264451227646e-06,4.403992281964975e-09
1827,1.06892715621143e-05,0.0
1828,1.4118922877059958e-05,0.0
1829,1.4348067793434893e-05,0.0
1830,1.1415810718062858e-05,1.0436835840010872e-09
1831,1.1029219308511529e-05,3.1182412207897414e-09
1832,1.1430118206590123e-05,1.3529969367098715e-09
1833,1.4739009316144802e-05,3.475088550253247e-09
1834,1.5920976238703588e-05,3.733812370398937e-09
1835,1.565861737162777e-05,0.0
1836,1.2964327197551029e-05,6.720750067579218e-10
1837,1.67441642133781e-05,3.478945576063097e-09
1838,1.0591176760499366e-05,0.0
1839,1.3550178323384898e-05,1.3982950353153e-09
1840,1.076986984571704e-05,6.369688665408546e-10
1841,1.362183581932186e-05,6.420548537278137e-10
1842,9.05682856000567e-06,0.0
