year,autres_ADJ arts_NOUN,autres_ADJ gares_NOUN
1800,1.1790616412099553e-06,0.0
1801,1.1715417755908675e-06,0.0
1802,1.4456447843258502e-06,0.0
1803,1.4510523511646056e-06,1.950339223455444e-09
1804,1.3644616831953726e-06,0.0
1805,1.3162523320175978e-06,0.0
1806,1.7952798190279395e-06,0.0
1807,1.3579975757238572e-06,0.0
1808,1.1806245985290786e-06,2.2660739951163578e-09
1809,1.267316122266493e-06,0.0
1810,1.0951793143476607e-06,0.0
1811,9.426608720275453e-07,0.0
1812,7.92160854246049e-07,2.6672082320544632e-09
1813,1.167551123559818e-06,0.0
1814,7.111490525346653e-07,0.0
1815,9.440282324746363e-07,0.0
1816,1.0823209795063349e-06,0.0
1817,9.528065119113194e-07,3.113746815941454e-09
1818,8.011031029653282e-07,0.0
1819,8.932956419016591e-07,0.0
1820,8.199738203984452e-07,0.0
1821,9.338829189964315e-07,0.0
1822,1.0155949468071412e-06,0.0
1823,1.038670390585139e-06,0.0
1824,9.33059276064796e-07,0.0
1825,8.048175166308624e-07,0.0
1826,1.1785083608994995e-06,7.927186018719112e-09
1827,9.106665839198058e-07,9.217273055917019e-10
1828,5.723515812405822e-07,9.172301251858528e-10
1829,1.018493314575153e-06,0.0
1830,7.211853401134505e-07,0.0
1831,5.690790239043508e-07,1.5591206103948707e-09
1832,1.500473564064464e-06,0.0
1833,8.490799814353522e-07,0.0
1834,7.822337124707701e-07,0.0
1835,7.169807147988649e-07,7.563087933704082e-10
1836,7.701979796159719e-07,0.0
1837,7.938953672237403e-07,2.0873671680021744e-09
1838,6.419468800977768e-07,6.312161904276081e-10
1839,6.711815903059914e-07,4.194885327990505e-09
1840,8.974891443358501e-07,6.369688665408546e-10
1841,7.268061033016693e-07,1.2841097074556274e-09
1842,7.151010565920046e-07,0.0
1843,8.777669622261897e-07,1.7720733769266417e-09
1844,5.889226031285943e-07,2.195424508855126e-09
1845,7.88486195280047e-07,5.580227835366713e-09
1846,8.172883865231739e-07,4.0981511517657054e-09
1847,5.921759553828565e-07,4.853901280910122e-09
1848,7.055659239085799e-07,4.82713291560799e-09
1849,4.172948635527973e-07,0.0
1850,6.476702196778206e-07,6.788996032014438e-10
1851,6.255955879996833e-07,6.449438760824933e-10
1852,1.0254109383822652e-06,1.3021090872200602e-09
1853,5.219468448558473e-07,8.360704129017904e-09
1854,5.813948740218677e-07,1.558699391779328e-09
1855,7.997554156702336e-07,4.2455496895854594e-09
1856,6.849421083643392e-07,9.318940286107136e-09
1857,6.716956666430463e-07,4.881508974818871e-09
1858,5.55921614076027e-07,5.3830437884982985e-09
1859,5.835630898509692e-07,1.3748868488150379e-08
1860,5.451425864055892e-07,2.0597328287408345e-08
1861,7.748328363921253e-07,1.0846716413936974e-08
1862,6.704691488668146e-07,1.1294965851504912e-08
1863,6.218302814886556e-07,2.4973103585068657e-09
1864,6.458498544859026e-07,1.726102105692462e-08
1865,7.827482351174808e-07,2.5416959203994338e-08
1866,7.167048048373204e-07,1.1677471434268227e-08
1867,5.794256665581088e-07,1.067618526917613e-08
1868,5.685795168020036e-07,2.0747471296544973e-08
1869,6.431594505862392e-07,1.1720445947105418e-08
1870,5.395739641755881e-07,7.454262984651905e-09
1871,2.347280185777123e-07,2.6552942955504477e-08
1872,4.922534344586893e-07,3.567930118020257e-08
1873,4.704999520543929e-07,1.496501056408306e-08
1874,4.63032222342008e-07,4.241972462182275e-08
