year,les_DET âges_NOUN,les_DET ages_NOUN,les_DET gages_NOUN
1800,4.665940068093732e-06,2.0437069014889175e-07,1.6003797611574555e-06
1801,5.462432925540384e-06,5.238601819002042e-08,1.7144515140898875e-06
1802,4.965767089970541e-06,4.699464284385613e-08,1.291233786560042e-06
1803,5.644281493744074e-06,1.1311967385019273e-07,1.2092103247596242e-06
1804,5.386163351772666e-06,4.9437018700970725e-08,1.8341133767307838e-06
1805,5.694284274326833e-06,2.2743021688143017e-08,1.4498675824370366e-06
1806,4.829677632045559e-06,9.221341379372916e-08,1.414899585938656e-06
1807,4.327371735612928e-06,1.19572113099764e-07,2.25478851234584e-06
1808,4.896985794644593e-06,6.345007141916881e-08,2.0213379912092932e-06
1809,4.368964847678569e-06,3.388545821714217e-08,1.4819239595453837e-06
1810,4.918946551413228e-06,1.0296557739764012e-07,1.8861421438032266e-06
1811,3.5450065478670467e-06,8.524061101411462e-08,2.2187629724612634e-06
1812,5.438437618465741e-06,9.601949235715779e-08,1.0535472654282785e-06
1813,4.678831608373457e-06,5.1763349162570194e-08,1.2365688775162198e-06
1814,5.003216866583671e-06,8.18136065561248e-08,1.7306724515719907e-06
1815,5.5427945504504805e-06,7.2825036667723e-08,1.2137505933651482e-06
1816,5.678129348041239e-06,1.0429217667251578e-07,1.1842956268992566e-06
1817,5.544025981407685e-06,6.850243117195731e-08,1.2050199700297526e-06
1818,4.624224864357984e-06,4.530047448270125e-08,1.1396645902550517e-06
1819,4.743886410807363e-06,2.5877624487691264e-08,1.4615682744079095e-06
1820,5.265157511757934e-06,6.763894067063347e-08,1.8048917667101705e-06
1821,5.670355704978647e-06,1.0749022016920406e-07,1.773095576140804e-06
1822,4.948644132696245e-06,5.6143449000956025e-08,1.577029365762428e-06
1823,4.215954415798251e-06,2.865979298327659e-08,1.3272448242673818e-06
1824,4.558348194905193e-06,3.789500802042767e-08,1.631169510574182e-06
1825,4.83418807561975e-06,4.314667090277169e-08,1.587621412113549e-06
1826,3.974162375186552e-06,5.901349353631957e-08,2.0681146821743823e-06
1827,4.422447450025402e-06,6.636436677975865e-08,2.333813540644769e-06
1828,4.836554538201199e-06,5.228211635843749e-08,1.7353993655433442e-06
1829,4.706673472298917e-06,4.886710325280319e-08,1.8380890054459087e-06
1830,4.9929822836247695e-06,8.558205366604454e-08,1.880717860558434e-06
1831,4.819241720355194e-06,6.392394413801128e-08,1.188049878919628e-06
1832,5.652821140955666e-06,3.247192603694771e-08,1.0093357190044117e-06
1833,5.724629140502202e-06,7.761030995645513e-08,1.4294197114850249e-06
1834,5.47376898651919e-06,6.627516802026889e-08,1.7950303572433768e-06
1835,4.816174183019939e-06,4.9160071569076536e-08,1.7281655715351008e-06
1836,4.917572923091029e-06,6.586335044023173e-08,1.3313805737880102e-06
1837,4.771025746919122e-06,4.661787011972507e-08,2.047707312158309e-06
1838,4.973983681821892e-06,5.365337751861432e-08,1.905641724420093e-06
1839,5.013586640956191e-06,5.5931801412612003e-08,2.0533963152047363e-06
1840,4.884277146288696e-06,8.153201597194126e-08,1.3822224929072036e-06
1841,5.444625280404125e-06,7.383630817869857e-08,1.573034381863181e-06
1842,5.23244681005508e-06,9.123240563013724e-08,1.7481739291724807e-06
1843,5.550724374359106e-06,7.324569645250634e-08,1.6893765604208966e-06
1844,5.129060426156684e-06,1.136132175005855e-07,2.0126554147736897e-06
1845,4.589179532388243e-06,7.812319202660234e-08,1.8520776734476385e-06
1846,5.089903304167365e-06,8.37193687708293e-08,1.3775641036772868e-06
1847,4.52545380369429e-06,6.040410482910374e-08,1.8784597557441884e-06
1848,4.985623881736956e-06,6.43617756312942e-08,1.6195031093957368e-06
1849,4.952234100130681e-06,6.954914533174872e-08,1.6071717681143127e-06
1850,4.848700971393782e-06,7.467895635215882e-08,1.709469174215883e-06
1851,4.9067332277275e-06,9.480675022821572e-08,1.5878518695444654e-06
1852,5.317813577931929e-06,9.049658289406182e-08,1.417996855934689e-06
1853,5.411167634861158e-06,1.039116110934657e-07,1.4380411528236436e-06
1854,5.172284105015024e-06,1.0183502335836536e-07,1.4376403143501193e-06
1855,5.324449809052112e-06,9.817833657166375e-08,1.5740375829409459e-06
1856,5.657114549251219e-06,9.422484165133582e-08,1.8663767491489125e-06
1857,5.266172131257463e-06,7.956859537916472e-08,1.5728222422239924e-06
1858,4.616204655860656e-06,6.99795659198088e-08,1.5968064559501727e-06
1859,5.104903927133364e-06,7.12904275612658e-08,1.5312165544401068e-06
1860,5.277035356243687e-06,9.38322714250095e-08,1.7979178892346681e-06
1861,4.886681601590226e-06,9.29044859931949e-08,1.4228062639176642e-06
1862,4.754276766050225e-06,6.867339152893948e-08,1.428587310670082e-06
1863,4.5750728574489585e-06,9.539725898122242e-08,1.6497232593337685e-06
1864,5.300571899624629e-06,9.589455862712981e-08,1.4508846675198583e-06
1865,5.033499434148325e-06,9.978510345787228e-08,1.7114085864022854e-06
1866,4.8247416941649135e-06,1.5715929935211648e-07,1.5059072069334434e-06
1867,4.717417837696303e-06,1.1258522825130513e-07,1.486416209672825e-06
1868,5.1552525022202644e-06,1.1411109390735419e-07,1.6677014826882441e-06
1869,5.3171757983250245e-06,7.667124912735801e-08,1.3532231264434813e-06
1870,4.9811682529821155e-06,1.0206607115037514e-07,1.3784652850290513e-06
1871,4.0902152029786976e-06,6.478918024299674e-08,1.654779396176309e-06
1872,5.1196773611650315e-06,8.950062146961812e-08,1.782150917506442e-06
