year,dix_DET gouttes_NOUN,dix_DET août_NOUN
1800,6.288328657788611e-08,0.0
1801,1.2620268030616444e-07,9.524730337773235e-09
1802,1.8126505096915935e-07,0.0
1803,2.0673596168307995e-07,0.0
1804,2.1505103187102748e-07,0.0
1805,1.9331568523739406e-07,0.0
1806,3.7461699520235925e-08,2.881669125542885e-09
1807,4.555128185756985e-08,0.0
1808,9.517511045942229e-08,0.0
1809,1.378008573915679e-07,0.0
1810,1.5444837231370911e-07,2.3401267590372754e-09
1811,4.7634458155698667e-07,0.0
1812,1.6269970615212515e-07,0.0
1813,1.4953855931310045e-07,5.751483289628823e-09
1814,2.297074348511785e-07,0.0
1815,2.6163067445850174e-07,0.0
1816,9.965697067571e-08,0.0
1817,1.3389110620209976e-07,0.0
1818,2.396156681960804e-07,0.0
1819,7.866798112932116e-08,3.105315005136333e-09
1820,2.2783643061075054e-07,2.3732962262101864e-09
1821,2.3667571880103822e-07,1.1833785507064931e-08
1822,9.624591257306747e-08,2.105379337535851e-08
1823,1.2353358336270048e-07,1.9765373338032077e-08
1824,1.7094859394717332e-07,1.51580028528997e-08
1825,8.277116592125822e-08,5.283265824829186e-09
1826,1.7792128459426237e-07,5.284790716153509e-09
1827,1.6683264902894734e-07,2.7651819167751057e-09
1828,2.9076193541754947e-07,0.0
1829,1.8689523617609893e-07,0.0
1830,2.2961038315116866e-07,0.0
1831,1.933309619062129e-07,0.0
1832,3.152482785928612e-07,0.0
1833,2.270391246117498e-07,5.791814139399776e-09
1834,1.8669061674359e-07,0.0
1835,1.8605196316912043e-07,1.5126175867408165e-09
1836,1.4516820723287083e-07,6.720750067579218e-10
1837,2.532672187527396e-07,2.7831563720326358e-09
1838,1.4833579897732818e-07,1.2624323808552163e-09
1839,2.0065533778979017e-07,0.0
1840,9.299745462598707e-08,5.095750932326837e-09
1841,1.065811026101926e-07,1.2841097074556274e-09
1842,1.9118554916985886e-07,6.708265054555795e-10
1843,8.683159080646874e-08,9.451057936260554e-09
1844,9.659867572509029e-08,6.586273526565378e-09
1845,1.1606873906444548e-07,1.1160455892778032e-09
1846,7.903576815238011e-08,0.0
1847,5.8786138623645456e-08,1.0786447290911383e-09
1848,1.7216775027861786e-07,1.6090443422100975e-09
1849,1.851850646161779e-07,5.02764896381791e-09
1850,1.9280748375649637e-07,6.788996032014438e-10
1851,1.9477304635806547e-07,0.0
1852,2.3698385920312148e-07,0.0
1853,1.9647656124277546e-07,1.7915795513800958e-09
1854,1.387242354877749e-07,0.0
1855,1.3267342069411825e-07,5.306937111981824e-10
1856,9.526027966444417e-08,1.5531567143511893e-09
1857,8.347380836548624e-08,4.881509085841174e-10
1858,6.508589356357675e-08,1.9574704079872163e-09
1859,1.0235268499414474e-07,0.0
1860,1.5837056643874803e-07,4.577183909670879e-10
1861,1.1035355207411612e-07,6.602349444939648e-09
1862,9.397411604439299e-08,4.517986262886353e-10
1863,8.740586676658779e-08,4.994620828036034e-10
1864,1.1411452471854489e-07,1.9178911792039344e-09
1865,1.6803434110812532e-07,0.0
1866,1.391565256358973e-07,4.865612912574591e-10
1867,8.783588612004678e-08,2.91168689159349e-09
1868,9.435159276094396e-08,0.0
1869,6.446245581770427e-08,9.767038289254515e-10
1870,1.0665331018344659e-07,0.0
1871,9.134212142214437e-08,0.0
1872,1.1006157318860232e-07,0.0
1873,2.514121817398518e-07,5.986004469882289e-10
1874,1.8043319371940925e-07,3.5847653734322193e-09
1875,1.3731664694205392e-07,0.0
1876,1.3784913166503543e-07,1.813804439976252e-09
1877,1.5771281169918439e-07,0.0
1878,1.292364959493142e-07,6.039088673581716e-10
1879,1.1729904336732488e-07,6.10932526790009e-10
1880,1.2835692442259017e-07,6.417846254436199e-10
1881,1.2411063177175663e-07,0.0
1882,1.1913139275065987e-07,0.0
1883,1.3270611942672872e-07,0.0
1884,1.544797143537835e-07,1.9805090900604227e-09
1885,1.347137854601499e-07,0.0
1886,1.1164492796922332e-07,2.5813855497602844e-09
1887,1.0315700826879493e-07,0.0
1888,1.337869752759957e-07,3.1703073499755874e-09
1889,1.7730337376065108e-07,0.0
1890,1.2453334097273228e-07,3.2771931834929546e-09
1891,1.4724447794378648e-07,0.0
1892,1.3226561090817768e-07,0.0
1893,1.0900397207080914e-07,0.0
1894,1.190990950306059e-07,3.150769645188234e-09
1895,9.870527506450344e-08,2.4074457982692365e-09
1896,1.6747561737417982e-07,0.0
1897,1.3284906330568447e-07,0.0
1898,1.4824890204323538e-07,5.6583548957434e-10
1899,1.0502399305778454e-07,4.9748205555033564e-09
1900,1.3185274294613691e-07,1.038210628578895e-09
1901,1.0171504616351967e-07,1.676621730339889e-09
1902,6.628883264525598e-08,2.9461704187383475e-09
1903,1.1448466707975058e-07,0.0
1904,1.2254145076440182e-07,1.0749250378694342e-09
1905,1.1198847360560649e-07,0.0
1906,8.487904334941732e-08,5.144184522798412e-10
1907,9.051403981885642e-08,4.114274587685429e-09
1908,1.1001511168728939e-07,4.911389073214423e-10
1909,7.371318133664317e-08,1.6502950117569526e-09
1910,6.680188580077129e-08,2.137660271017694e-09
1911,8.193376199727709e-08,5.320374141248863e-10
1912,6.928530238425878e-08,2.083768435579003e-09
1913,7.689335390637098e-08,2.651494912520036e-09
1914,6.227971494077167e-08,6.696743715117748e-10
1915,7.775302868218148e-08,1.1780761921542648e-09
1916,8.789969840883316e-08,0.0
1917,4.167241418606693e-08,0.0
1918,4.594550340186743e-08,0.0
1919,7.090043174784455e-08,0.0
1920,7.647954225475928e-08,0.0
