year,petits_ADJ oeufs_NOUN,petits_ADJ gueux_NOUN
1800,4.7162465932615305e-08,9.432493897065797e-09
1801,5.2386017301842e-08,0.0
1802,2.9091921760482364e-08,1.3427040812530322e-08
1803,4.095712213825209e-08,7.801356893821776e-09
1804,2.7190360185613827e-08,2.4718509461507665e-09
1805,1.421438877713399e-08,2.55858996212055e-08
1806,2.881669125542885e-08,0.0
1807,3.4163463169534225e-08,0.0
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,2.574139479349924e-08
1811,1.0028307073639553e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.0788894222457657e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,6.227493631882908e-09,1.5568733857662664e-08
1818,2.1458118837358597e-08,1.1921176934492905e-08
1819,1.449147024601416e-08,3.3123360054787554e-08
1820,4.746592452420373e-09,2.3732962262101864e-09
1821,2.9584463767662328e-09,1.577838126820552e-08
1822,7.017931125119503e-09,4.010246357211145e-09
1823,9.882686891060644e-10,1.9765373338032077e-08
1824,6.736890156844311e-09,3.3684450784221553e-09
1825,3.522177216552791e-09,4.4027217427355936e-09
1826,1.4973572604048968e-08,2.8185549894033102e-08
1827,1.8434546111834038e-09,1.013900075008678e-08
1828,4.586150570418113e-09,5.503380862137419e-09
1829,5.143905745796928e-09,2.0575622983187714e-08
1830,4.174734336004349e-09,5.218417697960831e-09
1831,1.5591206103948707e-09,2.494592976631793e-08
1832,4.058990921151917e-09,2.1647950987357945e-08
1833,5.791814139399776e-09,1.1583628500844156e-09
1834,2.8003592777992026e-09,0.0
1835,7.563087933704082e-10,3.025235173481633e-09
1836,1.3441500135158435e-09,6.72075017860152e-09
1837,7.653680356156656e-09,3.478945576063097e-09
1838,6.312161904276081e-10,6.312161904276081e-09
1839,4.194885327990505e-09,6.292327547896548e-09
1840,0.0,3.821813088222825e-09
1841,1.926164561183441e-09,1.6693427085101575e-08
1842,5.366612043644636e-09,2.0124795163667386e-09
1843,5.31621990873532e-09,1.1813822142769936e-09
1844,2.7442805805577564e-09,4.390849017710252e-09
1845,2.7901139176833567e-09,5.580227946389016e-10
1846,5.854501328173001e-10,5.854501328173001e-10
1847,2.6966118227278457e-09,3.235934187273415e-09
1848,0.0,0.0
1849,1.6758829879393033e-09,7.54147322368226e-09
1850,2.7155984128057753e-09,1.3577992064028876e-09
1851,3.2247193804124663e-09,2.579775504329973e-09
1852,5.208436348880241e-09,1.9531636308300904e-09
1853,4.180352064508952e-09,1.1943863675867306e-09
1854,1.558699391779328e-09,1.0391328908454511e-09
1855,0.0,1.5920811335945473e-09
1856,1.5531567143511893e-09,5.177189232874468e-10
1857,0.0,4.393358121745905e-09
1858,9.787352039936081e-10,9.787352261980686e-09
1859,2.036869339860914e-09,7.129042689513199e-09
1860,4.577183909670879e-10,3.661747127736703e-09
1861,1.4147891747029462e-09,9.431927461278633e-10
1862,0.0,1.3102160245637151e-08
1863,9.989241656072068e-10,9.989241656072068e-10
1864,4.794727948009836e-10,6.712618905169165e-09
1865,4.706844358715045e-10,4.23615986733239e-09
