year,certains_DET os_NOUN,certains_DET gosses_NOUN
1800,4.7162468153061354e-08,0.0
1801,2.6193008650921e-08,0.0
1802,3.5805442166747525e-08,0.0
1803,4.4857802805609026e-08,0.0
1804,7.4155526164076946e-09,0.0
1805,1.2224374756897305e-07,0.0
1806,3.458002950651462e-08,0.0
1807,8.540865792383556e-09,0.0
1808,6.798221985349073e-09,0.0
1809,0.0,0.0
1810,2.8081521108447305e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,4.800974684471271e-08,0.0
1813,4.601186631703058e-08,0.0
1814,6.922689976818219e-08,0.0
1815,5.1247247778718474e-08,0.0
1816,6.952811304472561e-08,0.0
1817,7.628679554727569e-08,0.0
1818,3.457141417584353e-08,0.0
1819,3.415846450138815e-08,0.0
1820,3.085285271708926e-08,0.0
1821,4.2404398215012407e-08,0.0
1822,3.60922172149003e-08,0.0
1823,4.150728649676694e-08,0.0
1824,6.400046004273463e-08,0.0
1825,4.314667290117313e-08,0.0
1826,3.5231937256519075e-08,0.0
1827,4.332118430649956e-08,0.0
1828,1.0548146178734896e-07,0.0
1829,4.972441980388709e-08,0.0
1830,3.8616291719861806e-08,0.0
1831,1.247296466111436e-08,0.0
1832,5.141388470519814e-08,0.0
1833,6.60266827878786e-08,0.0
1834,1.0174638398474656e-07,0.0
1835,8.168134968400409e-08,0.0
1836,4.5029025841358816e-08,0.0
1837,1.1967572399740334e-07,0.0
1838,6.185918843826244e-08,0.0
1839,1.272448484357369e-07,0.0
1840,4.1402974826354466e-08,0.0
1841,7.833069526341774e-08,0.0
1842,5.0311987465079255e-08,0.0
1843,8.68315890301119e-08,0.0
1844,4.8299340082991193e-08,0.0
1845,7.86812108799495e-08,0.0
1846,2.9857956329593094e-08,0.0
1847,7.604445340092525e-08,0.0
1848,8.930196004897084e-08,0.0
1849,4.441090073470377e-08,0.0
1850,5.906426459034719e-08,0.0
1851,7.610338093044788e-08,0.0
1852,6.185018008864063e-08,0.0
1853,4.0011943314155474e-08,0.0
1854,3.273268545100905e-08,0.0
1855,8.119613781332191e-08,0.0
1856,2.1744195499717733e-08,0.0
1857,2.4895696393301137e-08,0.0
1858,4.208561366070285e-08,0.0
1859,4.582955859255833e-08,0.0
1860,5.217989662575917e-08,0.0
1861,5.2818793339071135e-08,0.0
1862,4.96978494468614e-08,0.0
1863,4.3453202203114216e-08,0.0
1864,9.44561375781916e-08,0.0
1865,8.990073041559299e-08,0.0
1866,4.865612979187972e-08,0.0
1867,1.6208391073746498e-07,0.0
1868,7.805000734606438e-08,0.0
1869,9.181016125126007e-08,0.0
1870,9.919904542243785e-08,0.0
1871,9.134212497485805e-08,0.0
1872,5.74497245331429e-08,0.0
1873,8.739566492721451e-08,0.0
1874,9.200898087868836e-08,0.0
1875,9.95545739179704e-08,0.0
1876,8.403960460867665e-08,0.0
1877,5.442638051356141e-08,0.0
1878,9.36058763834069e-08,0.0
1879,8.308682186708438e-08,0.0
1880,2.88803083670075e-08,0.0
1881,5.6477310439451145e-08,0.0
1882,7.52058495478991e-08,0.0
1883,5.8769851207784995e-08,0.0
1884,6.799747609420592e-08,0.0
1885,9.926278732308447e-08,0.0
1886,7.550552738599947e-08,0.0
1887,3.982644181110828e-08,0.0
1888,6.213802095089704e-08,0.0
1889,6.641045047217631e-08,0.0
1890,5.702316396849483e-08,0.0
1891,7.26661082417479e-08,0.0
1892,5.202865338560514e-08,0.0
1893,5.788911416892972e-08,0.0
1894,4.2220312801433124e-08,2.520615716150587e-09
1895,4.032471689896511e-08,0.0
1896,3.59718765885475e-08,0.0
1897,4.078699422649379e-08,0.0
1898,3.960848382611459e-08,0.0
1899,5.085371945767747e-08,0.0
1900,5.7620689553061766e-08,0.0
1901,4.973977585365219e-08,0.0
