year,les_DET amas_NOUN,les_DET gamma_NOUN
1800,5.502287816483431e-07,3.144164484325529e-09
1801,4.929047960899879e-07,0.0
1802,6.5121150782943e-07,0.0
1803,6.787180240053203e-07,0.0
1804,3.880806005440718e-07,0.0
1805,5.600469208388859e-07,0.0
1806,3.688536445167756e-07,0.0
1807,3.2739984590079985e-07,0.0
1808,4.826737480811971e-07,0.0
1809,4.969867291038099e-07,0.0
1810,3.439986215880708e-07,0.0
1811,5.214719465129747e-07,0.0
1812,6.507988388193553e-07,0.0
1813,4.6587013002863387e-07,0.0
1814,2.0768068509369186e-07,0.0
1815,5.259586064454425e-07,0.0
1816,5.608601441053906e-07,0.0
1817,7.862210509301804e-07,0.0
1818,4.804234379207628e-07,0.0
1819,4.5441108653676565e-07,0.0
1820,5.624712002827437e-07,0.0
1821,3.1951223178339205e-07,0.0
1822,6.005344062032236e-07,0.0
1823,3.162459716321564e-07,0.0
1824,6.181096452451129e-07,0.0
1825,4.543608511653474e-07,0.0
1826,4.3775682456725917e-07,0.0
1827,6.175572764277604e-07,0.0
1828,4.0725016248188695e-07,0.0
1829,6.146967450604279e-07,0.0
1830,6.397780509814766e-07,0.0
1831,4.895638738844355e-07,0.0
1832,1.1852252868038704e-06,0.0
1833,6.683753355218869e-07,1.1583628500844156e-09
1834,4.965970390458097e-07,0.0
1835,6.095849087728311e-07,0.0
1836,4.771732662334216e-07,0.0
1837,5.07230240032186e-07,0.0
1838,4.513195719368923e-07,0.0
1839,5.802924363251805e-07,0.0
1840,3.9364675430419993e-07,0.0
1841,8.757628293665221e-07,0.0
1842,4.011542600323992e-07,0.0
1843,7.560846313481306e-07,0.0
1844,5.329393033548513e-07,0.0
1845,5.083587577559001e-07,0.0
1846,5.503231221837268e-07,0.0
1847,5.997264693746729e-07,0.0
1848,9.557723501529836e-07,0.0
1849,9.041388864261535e-07,0.0
1850,4.311012418156679e-07,0.0
1851,5.862539822487634e-07,0.0
1852,5.735790473693214e-07,0.0
1853,7.739623555380604e-07,5.971931837933653e-10
1854,4.790402599041954e-07,0.0
1855,4.2508565911703045e-07,4.2455496895854594e-09
1856,4.944215632463056e-07,0.0
1857,5.340370847761733e-07,0.0
1858,4.7468656561022726e-07,0.0
1859,4.669522830624828e-07,0.0
1860,5.121868724700107e-07,0.0
1861,4.423573898293398e-07,0.0
1862,6.0766912923782e-07,9.035972525772706e-10
