year,deux_DET arts_NOUN,deux_DET gares_NOUN
1800,1.3834323731032327e-07,3.144164484325529e-09
1801,3.333655484993869e-08,0.0
1802,1.096541666356643e-07,0.0
1803,1.3847407842604298e-07,1.950339223455444e-09
1804,1.3347995775347954e-07,0.0
1805,7.675770063997334e-08,0.0
1806,9.797675204481493e-08,0.0
1807,2.1921555060089304e-07,0.0
1808,1.0423940155490641e-07,0.0
1809,6.551188591608081e-08,0.0
1810,1.2168659324629516e-07,0.0
1811,1.2535384108502967e-07,0.0
1812,1.0135391326215881e-07,0.0
1813,7.189353823378042e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,4.4034472068688046e-08,0.0
1817,7.161617721074265e-08,0.0
1818,1.2517236314124602e-07,1.1921177378582115e-09
1819,7.866798057420965e-08,0.0
1820,1.1273156985680544e-07,0.0
1821,1.065040748926549e-07,7.88919063410276e-09
1822,9.323822780515911e-08,0.0
1823,1.1365089847004128e-07,0.0
1824,1.271587990459011e-07,1.0105335235266466e-08
1825,6.42797326477762e-08,0.0
1826,6.253669226907732e-08,0.0
1827,6.54426368096317e-08,0.0
1828,5.503380623439469e-08,0.0
1829,8.401712392469562e-08,0.0
1830,4.383470941782264e-08,3.1310507520032616e-09
1831,5.3010101197514814e-08,4.677361609140007e-09
1832,8.38858085216998e-08,0.0
1833,6.370995575544214e-08,0.0
1834,7.187588568768888e-08,0.0
1835,8.470658485748572e-08,0.0
1836,6.183090306421946e-08,0.0
1837,8.34946876082654e-08,4.174734669071256e-09
1838,6.185918977053007e-08,1.4517971935745777e-08
1839,6.292327392465324e-08,6.292327547896548e-09
1840,5.4142353878017246e-08,1.3376346252869098e-08
1841,5.3290552415319326e-08,4.494383976094696e-09
1842,1.0599058697380315e-07,1.1404051036834062e-08
1843,8.033399012674636e-08,5.906910960362666e-09
1844,8.342613450063041e-08,1.4819115712327857e-08
1845,9.98860830714321e-08,9.48638767539478e-09
1846,7.610852037487348e-08,1.2879903366069811e-08
1847,5.3932236454556914e-08,1.6179670936367074e-08
1848,6.194820856286753e-08,3.218088684420195e-09
1849,3.351765842651844e-08,1.1731181359664333e-08
1850,6.85688590351674e-08,1.5614691761811628e-08
1851,5.224045551699419e-08,4.063146263888484e-08
1852,1.3346618432663604e-07,2.669323606596663e-08
1853,6.987159983928848e-08,7.166318205520383e-09
1854,6.910233790735631e-08,7.79349651480743e-09
1855,7.164365101175463e-08,2.3350523292720027e-08
1856,1.1545132083679022e-07,1.346069211649592e-08
1857,7.712784366731285e-08,6.345961978126979e-09
1858,9.493731573106956e-08,2.2021541701278124e-08
1859,9.827894476011068e-08,3.5645213447565993e-09
1860,7.872756668803049e-08,7.781213007262977e-09
1861,1.0563758534587464e-07,1.6505872502126095e-08
1862,7.861296347222435e-08,9.035972858839614e-09
1863,1.243660608385433e-07,6.99246927027275e-09
1864,1.0404559547261272e-07,2.205574922697906e-08
1865,7.719224726088214e-08,3.294790928975999e-08
1866,8.174229337853944e-08,1.4596838404656864e-08
1867,7.667442503134225e-08,2.2808213984149006e-08
