year,autres_ADJ août_NOUN,autres_ADJ gouttes_NOUN
1800,0.0,8.489244152087849e-08
1801,0.0,6.905429472681135e-08
1802,2.2378401354217203e-09,6.713520406265161e-09
1803,0.0,1.5602713787643552e-08
1804,0.0,2.2246657849223084e-08
1805,0.0,1.1371510844071508e-08
1806,0.0,2.881669125542885e-09
1807,0.0,3.4163463169534225e-08
1808,2.2660739951163578e-09,6.798221985349073e-09
1809,0.0,1.8072244145628247e-08
1810,0.0,0.0
1811,0.0,2.0056614147279106e-08
1812,2.6672082320544632e-09,0.0
1813,0.0,4.026038169513413e-08
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,4.6352077731626196e-08
1817,1.556873407970727e-09,1.71256075987003e-08
1818,0.0,8.344824387052086e-09
1819,0.0,2.3807414706311647e-08
1820,0.0,9.493184904840746e-09
1821,0.0,9.86148829262845e-10
1822,0.0,1.7043547018147365e-08
1823,0.0,1.581229902569703e-08
1824,0.0,8.000056794799093e-08
1825,0.0,1.0566531649658373e-08
1826,0.0,1.7615968683770689e-09
1827,0.0,2.8573547083965423e-08
1828,0.0,9.172301140836225e-09
1829,0.0,2.1432940755516938e-08
1830,0.0,9.39315203396518e-09
1831,0.0,4.2096257146795324e-08
1832,0.0,2.705993829010822e-08
1833,0.0,4.6334513115198206e-08
1834,0.0,1.6802156110884425e-08
1835,0.0,2.8739734148075513e-08
1836,0.0,1.008112526790228e-08
1837,0.0,1.1828414692161004e-08
1838,0.0,2.398621568033832e-08
1839,6.9914751765765e-10,1.3283802502428443e-08
1840,0.0,7.64362617644565e-09
1841,0.0,2.1829864582656455e-08
1842,6.708265054555795e-10,1.341653010911159e-08
1843,0.0,1.0041748765843295e-08
1844,0.0,2.5247381962856252e-08
1845,5.022205151750114e-09,3.9061593959388574e-09
1846,0.0,2.5759806732139623e-08
1847,0.0,1.1325769655456952e-08
1848,0.0,4.02261068899179e-09
1849,0.0,5.865590679832167e-09
1850,0.0,7.467895635215882e-09
1851,0.0,1.6768540334055615e-08
1852,0.0,2.278690836021724e-08
1853,0.0,2.20961471342207e-08
1854,0.0,9.871762074453727e-09
1855,0.0,1.8574279891936385e-08
1856,0.0,1.863788057221427e-08
1857,0.0,1.5620829074691756e-08
1858,0.0,1.1744822003834088e-08
1859,5.092173349652285e-10,2.8516170758052795e-08
1860,6.408057279250201e-09,1.2358396972445007e-08
1861,0.0,8.960331143725853e-09
1862,0.0,2.710791813242963e-09
1863,0.0,2.2475793670651e-08
1864,4.794727948009836e-10,2.1096802527154068e-08
1865,0.0,1.8827376990770972e-08
1866,0.0,7.298419202328432e-09
1867,0.0,1.649955905236311e-08
1868,0.0,1.531360993567432e-08
1869,4.883519144627257e-10,2.1487483792270723e-08
1870,5.734048791339319e-10,1.77755516972411e-08
1871,0.0,1.0621176826930423e-08
1872,9.071008832961525e-09,2.116568786902917e-08
1873,0.0,1.7359413462259e-08
1874,0.0,1.3144139998644278e-08
