year,plus_ADV athée_ADJ,plus_ADV gâtée_ADJ
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,9.887403784603066e-09
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,1.0028307073639553e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,6.227493631882908e-09,0.0
1818,8.344824387052086e-09,0.0
1819,1.035105001712111e-09,0.0
1820,8.306536791735653e-09,5.933240565525466e-09
1821,1.0847637454958203e-08,9.861488514673056e-09
1822,1.303330066093622e-08,0.0
1823,1.9765373782121287e-09,2.9648061783404955e-09
1824,1.0947446504872005e-08,0.0
1825,8.805443041381977e-10,1.7610886082763955e-09
1826,0.0,0.0
1827,2.7651818612639545e-09,9.217273055917019e-10
1828,9.172301251858528e-10,9.172301251858528e-10
1829,8.57317605795771e-10,1.714635211591542e-09
1830,0.0,1.0436835840010872e-09
1831,7.795603274018958e-09,0.0
1832,0.0,0.0
1833,0.0,3.4750886612755494e-09
1834,1.4001796166951408e-08,1.8669061851994684e-09
1835,3.781543966852041e-09,0.0
1836,4.032449929525228e-09,6.720750067579218e-10
1837,8.349468672008697e-09,6.957891152126194e-09
1838,3.787297142565649e-09,6.312161904276081e-10
1839,0.0,5.5931801412612e-09
1840,1.2739377330817092e-09,5.732719632334238e-09
1841,1.3483152372373297e-08,2.5682194149112547e-09
1842,2.683306021822318e-09,6.037438549100216e-09
1843,1.7130041385371442e-08,7.678984559333912e-09
1844,1.097712254427563e-09,0.0
1845,8.37034175305007e-09,2.7901139176833567e-09
1846,5.269050973311096e-09,5.854501328173001e-10
1847,5.393223645455691e-10,3.775256551818984e-09
1848,9.65426583121598e-09,2.413566457803995e-09
1849,4.1897072478036534e-09,0.0
1850,0.0,8.82569484161877e-09
1851,1.2898877521649865e-09,6.449438760824933e-09
1852,8.463708844885787e-09,6.510545436100301e-10
1853,8.957897534855874e-09,2.388772735173461e-09
1854,5.195664343204953e-09,2.5978321716024766e-09
1855,1.4859423913549108e-08,5.306937111981824e-09
1856,1.501384794266869e-08,1.9155599773057475e-08
1857,1.4644527812635033e-09,5.857811125054013e-09
1858,1.9574704079872163e-09,5.872411001917044e-09
1859,8.656694916453489e-09,1.0693564256314403e-08
1860,2.288591982591015e-09,1.5562426014525954e-08
1861,8.488735048217677e-09,2.8295783494058924e-09
1862,4.517986429419807e-09,2.2589932147099034e-09
1863,5.494082966350788e-09,7.491931519609807e-09
