year,quelques_DET gouttes_NOUN
1800,3.8484573394725885e-06
1801,3.659877592099292e-06
1802,2.9763274085325975e-06
1803,3.5652201404445805e-06
1804,3.181272106189681e-06
1805,3.019136244120091e-06
1806,3.6164947516681423e-06
1807,4.241963111439873e-06
1808,2.2932668031216963e-06
1809,4.172429321158688e-06
1810,3.5803940363621223e-06
1811,3.2366360755986534e-06
1812,4.752964912313473e-06
1813,3.911008732870869e-06
1814,3.7980393869929685e-06
1815,3.673618465427353e-06
1816,3.070825187023729e-06
1817,3.2367398787869206e-06
1818,3.3319690118105427e-06
1819,3.230562612088761e-06
1820,2.9867933548644032e-06
1821,3.2237204550256138e-06
1822,2.2377174815346734e-06
1823,2.4034694945385127e-06
1824,2.7023349673527264e-06
1825,3.0211474069119504e-06
1826,2.747210359643759e-06
1827,3.2444801441045e-06
1828,3.2433256933472876e-06
1829,3.393263128259605e-06
1830,4.158035338264199e-06
1831,3.779308300977391e-06
1832,4.520362693938296e-06
1833,3.6071420197458792e-06
1834,3.0850623744527184e-06
1835,3.1848162791447976e-06
1836,3.436319474303673e-06
1837,3.2646424159565868e-06
1838,2.81711793093109e-06
1839,3.6006096451046687e-06
1840,3.214144847163425e-06
1841,3.569182965179607e-06
1842,3.519826748288324e-06
1843,3.835948092500985e-06
1844,3.5137768179538398e-06
1845,3.5423287130242898e-06
1846,3.5308497956521023e-06
1847,3.427932988131488e-06
1848,3.7587275514283647e-06
1849,3.8000645901092867e-06
1850,3.899599391843367e-06
1851,3.5807285030386993e-06
1852,3.782627004511596e-06
1853,4.052553009614712e-06
1854,3.5200626484765962e-06
1855,4.440314370413034e-06
1856,3.449043397552032e-06
1857,3.2217960068692264e-06
1858,3.667810233309865e-06
1859,3.631228750577975e-06
1860,3.80272449262975e-06
1861,3.709105371285659e-06
1862,3.5131860300907647e-06
1863,3.3878513931995258e-06
1864,3.655500549371027e-06
1865,3.743823981494643e-06
1866,3.250229489992762e-06
1867,3.8133393189809794e-06
1868,3.6085781118799787e-06
1869,3.412603248875712e-06
1870,3.5178389410361888e-06
1871,3.3031861903509707e-06
1872,3.3556684826407945e-06
1873,4.415875466179386e-06
1874,4.538313319812914e-06
1875,4.521723028005908e-06
1876,4.166913228687008e-06
1877,4.453067433018987e-06
1878,3.944128721400375e-06
1879,3.5281354371363705e-06
1880,3.62736665238117e-06
1881,3.725410806509899e-06
1882,4.159615812682205e-06
1883,3.986238994002633e-06
1884,4.242250554398197e-06
1885,4.2438064014049814e-06
1886,3.89595618344174e-06
1887,4.014635976545833e-06
1888,4.295132228548937e-06
1889,4.019085125150923e-06
1890,3.97589082012928e-06
1891,4.349130435343795e-06
1892,4.268230156867503e-06
1893,3.7578657980930075e-06
1894,3.7960471672704443e-06
1895,3.991545142412178e-06
1896,3.944522660503935e-06
1897,5.104201022732013e-06
1898,4.33656313703068e-06
1899,3.7040302203195097e-06
1900,3.6949916477624356e-06
1901,3.6036188646448863e-06
1902,3.6674910006695427e-06
1903,3.856297396964692e-06
1904,4.2104815634047554e-06
1905,3.5108644738102157e-06
1906,3.6379672536668295e-06
1907,3.4163908537721e-06
1908,3.26312685672292e-06
1909,3.5574860959286525e-06
1910,3.7430430950280424e-06
1911,3.0267609645306948e-06
1912,3.290270427669384e-06
1913,3.2639901093034496e-06
1914,3.024249480176877e-06
1915,3.057107733184239e-06
1916,2.795210420458716e-06
1917,2.7799886481716385e-06
1918,3.069159703272817e-06
1919,2.8111560368415667e-06
1920,2.8736619981373224e-06
1921,3.753053547939089e-06
1922,3.313430894991143e-06
1923,2.8992154597062836e-06
1924,2.730446084342475e-06
1925,2.5207824307926785e-06
1926,2.537975738903242e-06
1927,2.812949347230642e-06
1928,2.799380098394977e-06
1929,2.355081932137182e-06
1930,2.4546921650880904e-06
1931,2.3209899779885745e-06
1932,2.567819322507603e-06
1933,2.5327222914484082e-06
1934,2.498159403785394e-06
1935,2.3326184859229215e-06
1936,2.43100522112627e-06
1937,2.1958910494390693e-06
1938,2.6306419798061143e-06
1939,2.4577539647907543e-06
1940,2.0844135306674616e-06
1941,1.968652185269093e-06
1942,2.3151035151158794e-06
1943,2.2819429617015885e-06
1944,2.162474189049135e-06
1945,1.908369576142377e-06
1946,1.6301613072755572e-06
1947,1.7559443392656249e-06
1948,2.180900622761328e-06
1949,1.2938816880136983e-06
