year,grands_ADJ âges_NOUN,grands_ADJ ages_NOUN,grands_ADJ gages_NOUN
1800,3.144164484325529e-09,0.0,0.0
1801,0.0,0.0,0.0
1802,0.0,0.0,4.475680270843441e-09
1803,4.095712213825209e-08,0.0,3.900678446910888e-09
1804,0.0,0.0,0.0
1805,2.842877755426798e-08,2.842877711017877e-09,0.0
1806,5.76333825108577e-09,0.0,2.0171682990621775e-08
1807,0.0,0.0,0.0
1808,0.0,2.2660739951163578e-09,0.0
1809,0.0,0.0,0.0
1810,0.0,0.0,7.020380277111826e-09
1811,0.0,0.0,2.0056614147279106e-08
1812,0.0,0.0,5.3344164641089264e-09
1813,0.0,0.0,0.0
1814,0.0,0.0,2.8320094713762956e-08
1815,0.0,0.0,2.697223555614414e-09
1816,0.0,0.0,0.0
1817,2.1796227045456362e-08,0.0,0.0
1818,4.172412104708201e-08,0.0,0.0
1819,0.0,0.0,0.0
1820,2.3732962262101864e-09,0.0,1.542642635854463e-08
1821,0.0,0.0,7.88919063410276e-09
1822,1.0025615893027862e-09,0.0,1.0025615893027862e-08
1823,1.8777104315859106e-08,0.0,3.261286707356703e-08
1824,1.6842225392110777e-08,0.0,7.494790565942822e-08
1825,1.0566531649658373e-08,0.0,6.075755720758025e-08
1826,0.0,0.0,4.580151724553616e-08
1827,9.217273166939322e-09,0.0,3.3182182335167454e-08
1828,1.3758452155343548e-08,0.0,3.668920500743411e-09
1829,2.571952872898464e-09,0.0,6.001223074036943e-09
1830,3.1310507520032616e-09,0.0,3.1310507520032616e-09
1831,1.5591206103948707e-09,0.0,1.5591206103948707e-09
1832,0.0,0.0,1.3529969367098715e-09
1833,0.0,0.0,0.0
1834,4.667265685043276e-09,0.0,9.334530925997342e-10
1835,2.2689263801112247e-09,0.0,2.193295500774184e-08
1836,8.736974699274924e-09,0.0,1.9490174807401672e-08
1837,1.3915782304252389e-08,0.0,1.1132625488130543e-08
1838,6.943378316748294e-09,0.0,1.009945904684173e-08
1839,8.38977065598101e-09,0.0,2.6567605004856887e-08
1840,1.9109065441114126e-09,0.0,1.2739377552861697e-08
1841,2.5682194149112547e-09,0.0,7.0626033910059505e-09
1842,8.720745015011744e-09,0.0,1.0062397137744483e-08
1843,1.063243981747064e-08,0.0,2.953455480181333e-09
1844,1.5916826967554698e-08,0.0,1.0428266250528395e-08
1845,7.254296274794569e-09,0.0,6.696273757711424e-09
1846,1.5221703009160592e-08,0.0,2.985795788390533e-08
1847,7.550513103637968e-09,0.0,2.2651539310913904e-08
1848,1.6090443422100975e-09,0.0,1.367687652020777e-08
1849,3.77073661184113e-08,0.0,1.256912263158938e-08
1850,5.431196825611551e-09,0.0,9.504594444820214e-09
1851,2.8377531435808123e-08,0.0,9.674158363282004e-09
1852,1.4323200403509873e-08,0.0,6.510545436100301e-09
1853,1.3735443005202796e-08,0.0,1.7318601663873778e-08
1854,7.27393034694046e-09,0.0,6.234797567117312e-09
1855,1.0083180512765466e-08,0.0,1.1675261646360013e-08
1856,1.2425253714809514e-08,1.0354378465748937e-09,0.0
