year,leurs_DET âges_NOUN,leurs_DET ages_NOUN,leurs_DET gages_NOUN
1800,8.174827570428533e-08,0.0,5.596612853153715e-07
1801,1.523956829618811e-07,0.0,5.500532012092663e-07
1802,1.2308120744819462e-07,0.0,5.79600623495935e-07
1803,1.014176405078615e-07,0.0,4.778331206267694e-07
1804,6.426812149129546e-08,0.0,5.685257384868692e-07
1805,3.695740957709859e-08,0.0,4.179030135276207e-07
1806,9.50950811429152e-08,0.0,5.648071237374097e-07
1807,1.1957211620838848e-07,5.693910232196231e-09,1.0932307326072532e-06
1808,4.078933102391602e-08,0.0,8.543099241364871e-07
1809,6.325285539787728e-08,2.259030518203531e-09,5.173179795647798e-07
1810,1.0062544930633521e-07,2.3401267590372754e-09,5.66310699667838e-07
1811,3.008492122091866e-08,0.0,7.496159817321768e-07
1812,4.5342538612658245e-08,0.0,4.720958575177292e-07
1813,1.3228410944421398e-07,5.751483289628823e-09,4.284855066316595e-07
1814,8.810695728556084e-08,0.0,5.978686692387214e-07
1815,4.315557688983063e-08,2.697223555614414e-09,4.962891499982192e-07
1816,7.184571870766376e-08,4.6352077731626196e-09,3.9862786316291476e-07
1817,1.1987924608547473e-07,0.0,4.5149328153915036e-07
1818,6.675859509641668e-08,0.0,4.1366485348248716e-07
1819,5.6930774094965386e-08,3.1053151161586356e-09,7.452755879100437e-07
1820,9.730514527461764e-08,0.0,7.21482066090573e-07
1821,8.776724769177235e-08,2.9584463767662328e-09,6.242322090344032e-07
1822,8.622029668003961e-08,0.0,6.225907469570302e-07
1823,4.941343334508019e-08,0.0,5.890081324899654e-07
1824,6.652679118701599e-08,0.0,1.102323661683613e-06
1825,5.28326600246487e-08,8.805443041381977e-10,8.602917649369601e-07
1826,4.051672597427114e-08,0.0,9.169111869766766e-07
1827,5.1616730445402936e-08,0.0,1.407477543180491e-06
1828,6.145441955318631e-08,0.0,8.878787647326192e-07
1829,6.858540757548326e-08,6.001223296081548e-09,1.268830022382872e-06
1830,5.740259823028282e-08,1.0436835840010872e-09,5.719386271252347e-07
1831,7.639690635663499e-08,0.0,4.038122278782197e-07
1832,1.0418076623608385e-07,0.0,4.7490193644250667e-07
1833,6.139323061038482e-08,1.1583628500844156e-09,4.2627752350199444e-07
1834,2.8003592333902816e-08,1.8669061851994684e-09,6.842211135449361e-07
1835,8.016873209726327e-08,1.5126175867408165e-09,8.069814825262256e-07
1836,4.771732697861353e-08,4.704525213838906e-09,5.618546807806268e-07
1837,3.409366655660051e-08,2.0873671680021744e-09,7.027469650644491e-07
1838,2.20925673311001e-08,6.312161904276081e-10,9.474555220378988e-07
1839,4.544458864774725e-08,0.0,1.0270476646923044e-06
1840,6.051204193280313e-08,1.2739377330817092e-09,6.516191657368609e-07
1841,5.585877183023058e-08,0.0,4.879616959385658e-07
1842,5.702025163145663e-08,4.695785538189057e-09,5.541026828481677e-07
1843,7.738053264816358e-08,0.0,6.030955983504782e-07
1844,4.335963410539989e-08,2.195424508855126e-09,5.872760739933369e-07
1845,3.9061596290856926e-08,5.580227946389016e-10,4.77109488361549e-07
1846,5.795956425913573e-08,2.9272506640865004e-09,5.555921678279674e-07
1847,6.25613978399997e-08,5.393223645455691e-10,6.628272100073218e-07
1848,6.757986170669028e-08,0.0,4.979992276332723e-07
1849,6.619738002200393e-08,1.6758829879393033e-09,6.569461064032112e-07
1850,3.59816780814981e-08,1.3577992064028876e-09,5.743490731902057e-07
1851,6.642921590582773e-08,6.449438760824933e-10,6.423640934727359e-07
1852,9.114763432904738e-08,4.557382027314816e-09,4.980567229750932e-07
1853,5.315019468987714e-08,5.971931837933653e-10,5.237384206324691e-07
1854,5.2995775989828076e-08,2.0782657816909023e-09,5.393099877792906e-07
1855,7.641989796525195e-08,5.306937111981824e-10,5.195491539211616e-07
1856,5.90199555894344e-08,3.6240323519898254e-09,4.6957106469847076e-07
1857,6.19951672220509e-08,1.464452725752352e-09,6.23368694885329e-07
1858,8.5149962414377e-08,2.4468380099840203e-09,5.515172984971173e-07
1859,6.314294864750991e-08,1.9350258062544867e-08,4.79682735310405e-07
1860,8.05584373375634e-08,1.876645328025006e-08,5.698594165437498e-07
1861,1.0752397283653181e-07,2.3579819208308095e-09,4.385846352761291e-07
1862,3.56920929478477e-08,4.066187719864445e-09,4.97430314716496e-07
1863,5.6439216855608265e-08,0.0,5.569002468064355e-07
1864,9.877139317548966e-08,1.4384183844029508e-09,3.9316770195085837e-07
1865,6.495444893062086e-08,1.8827377989971694e-09,7.342676977550866e-07
1866,6.568577193277747e-08,2.432806400776144e-09,4.1455022464775837e-07
1867,6.163070587206221e-08,4.85281148598915e-10,5.211919429370937e-07
1868,7.607405905218911e-08,1.975949626142892e-09,5.122649406885671e-07
1869,8.008971619233307e-08,1.4650557433881772e-09,5.386521859662707e-07
1870,4.9312818273250514e-08,1.7202146374017957e-09,4.97715411995614e-07
1871,2.973929724703339e-08,0.0,5.554875723845498e-07
1872,5.865918950576088e-08,1.2094678591978436e-09,6.258996183561294e-07
1873,4.0704829895599204e-08,1.7958012854535355e-09,4.633167396406179e-07
1874,6.094101401288299e-08,0.0,5.783421723748461e-07
1875,6.522540996201087e-08,5.721527140956084e-10,4.388411367628464e-07
1876,4.5949712923487596e-08,6.04601479992084e-10,6.638524121527212e-07
1877,3.587193120324628e-08,6.184815992682502e-10,4.3974042007732805e-07
1878,4.891661964379068e-08,1.8117266020745149e-09,6.667153797934589e-07
1879,5.070739872437002e-08,1.832797580370027e-09,8.070418457961637e-07
1880,2.88803083670075e-08,0.0,4.665774238077347e-07
1881,6.484431935849244e-08,0.0,6.365899194449298e-07
1882,3.7935693475432686e-08,1.3310770263785798e-09,4.2794125754141987e-07
