year,premiers_ADJ âges_NOUN,premiers_ADJ ages_NOUN,premiers_ADJ gages_NOUN
1800,1.5815147662578966e-06,2.2009151834367913e-08,6.288328968651058e-09
1801,1.3787047237201477e-06,4.7623651688866175e-09,2.1430643926123594e-08
1802,1.2912337297166232e-06,2.0140561218795483e-08,2.6854081625060644e-08
1803,1.2813728744731634e-06,7.801356671777171e-09,3.315576790896557e-08
1804,1.5424350294779288e-06,3.4605911691798497e-08,2.7190360185613827e-08
1805,8.44334692828852e-07,8.528632911009026e-09,5.685755422035754e-09
1806,1.5676280327170389e-06,1.729001475325731e-08,1.4408345627714425e-08
1807,1.1273941709077917e-06,1.1387820908481672e-08,1.4234775136401367e-08
1808,1.8083270560964593e-06,4.5321479902327155e-09,0.0
1809,1.6039116417232435e-06,1.1295152813062259e-08,2.25903047379461e-08
1810,1.0226353879261296e-06,4.680253518074551e-09,2.574139479349924e-08
1811,9.426608471585496e-07,0.0,0.0
1812,8.588410764787113e-07,0.0,6.13457871168066e-08
1813,9.346160254608549e-07,5.751483289628823e-09,1.1502966579257645e-08
1814,1.0541368737904122e-06,3.1466771410748606e-09,6.293354282149721e-09
1815,1.1247421980442596e-06,2.697223555614414e-09,2.697223555614414e-09
1816,9.826640052779112e-07,4.6352077731626196e-09,1.622322720606917e-08
1817,1.5506459476455348e-06,6.227493631882908e-09,4.670620334934483e-09
1818,1.2707974974546232e-06,8.34482416500748e-09,2.6226590676969863e-08
1819,1.2141781553509645e-06,3.001804560476273e-08,1.1386155129855524e-08
1820,1.4916166719558532e-06,1.6613073583471305e-08,1.1866481131050932e-08
1821,9.723427183416788e-07,1.0847637010868993e-08,1.2819934447350079e-08
1822,1.2281379895284772e-06,3.0076847679083585e-09,3.107940926838637e-08
1823,7.945680522425391e-07,6.9178808237424505e-09,2.569498569471307e-08
1824,1.3195883639127715e-06,1.431589158329416e-08,1.2631669044083083e-08
1825,1.2935196309626917e-06,6.163810128967384e-09,7.044354433105582e-09
