year,vieux_ADJ gueux_NOUN
1800,9.432493897065797e-09
1801,0.0
1802,1.5664880947952042e-08
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,5.76333825108577e-09
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,1.0668832928217853e-08
1813,0.0
1814,3.1466771410748606e-09
1815,5.394447111228828e-09
1816,1.3905623319487859e-08
1817,1.556873407970727e-09
1818,0.0
1819,2.070210003424222e-09
1820,2.3732962262101864e-09
1821,0.0
1822,0.0
1823,0.0
1824,6.736890156844311e-09
1825,0.0
1826,1.2331177856594877e-08
1827,0.0
1828,9.172301251858528e-10
1829,8.57317605795771e-10
1830,0.0
1831,0.0
1832,1.2176972319366541e-08
1833,0.0
1834,2.8003592777992026e-09
1835,0.0
1836,7.392825018825988e-09
1837,1.3915782304252389e-08
1838,5.680945491803868e-09
1839,3.4957374772659477e-09
1840,9.554533164646273e-09
1841,7.0626033910059505e-09
1842,4.024959032733477e-09
1843,1.9492807368237663e-08
1844,6.970472554712615e-08
1845,2.511102614732863e-08
1846,1.4050803187615202e-08
1847,1.294373674909366e-08
1848,2.091757700384278e-08
1849,5.02764896381791e-09
1850,4.752297222410107e-09
1851,3.2247193804124663e-09
1852,9.114764054629632e-09
1853,7.763511611358354e-09
1854,6.234797567117312e-09
1855,7.960405667972736e-09
1856,1.3978411095294518e-08
1857,8.786716299002961e-09
1858,3.327699715782728e-08
1859,4.073738679721828e-09
1860,7.32349442200686e-09
1861,8.960331143725853e-09
1862,2.349352892783152e-08
1863,1.39849385405455e-08
1864,6.233146443435089e-09
1865,8.47231973466478e-09
1866,1.1190909532388105e-08
1867,1.0190904120577216e-08
1868,1.2843672791973404e-08
1869,2.832441037270428e-08
1870,1.4335121978348297e-08
1871,5.310588635509816e-09
1872,1.0885210843802895e-08
1873,1.197200860669767e-08
1874,1.1949217948448165e-08
1875,1.1443054503956773e-08
1876,1.0882826861902117e-08
1877,1.36065949618569e-08
1878,1.8117265465633636e-09
1879,9.163987568783227e-09
1880,7.059631101924424e-09
1881,9.064259565150223e-09
1882,7.986462158271479e-09
1883,1.7062214752172622e-08
1884,9.902545450302114e-09
1885,3.2228177904158883e-09
1886,1.2261581083805595e-08
1887,4.570247291724172e-09
1888,7.60873763994141e-09
1889,8.14467782106476e-09
1890,7.865263995654459e-09
1891,8.286486163910922e-09
1892,8.149066088591894e-09
1893,6.158416554491453e-10
1894,6.301539290376468e-10
1895,1.2037228991346183e-09
1896,1.2383760683576384e-08
1897,2.913356778044829e-09
1898,2.8291773368493978e-09
1899,3.8693048765026106e-09
1900,4.15284251431558e-09
1901,5.58873880507349e-09
1902,5.4013122863239005e-09
1903,4.320176216765503e-09
1904,2.1498500757388683e-09
1905,1.5482277682110634e-09
1906,7.201858220895474e-09
1907,7.199980611716228e-09
1908,5.893666887857307e-09
1909,1.5402754627302784e-08
1910,9.085056262847502e-09
1911,5.3203743632934675e-09
1912,2.6047106693738442e-09
1913,6.893886794756554e-09
1914,2.678697486047099e-09
1915,0.0
1916,2.197492410260793e-09
1917,0.0
1918,0.0
1919,4.603924352863942e-09
1920,2.2716695191604686e-09
1921,6.815472630705699e-09
1922,1.4755870969551665e-09
1923,6.369568872344189e-09
1924,5.156649773851996e-09
1925,1.4297631523163545e-08
1926,1.114613823460786e-08
1927,1.1149224876660924e-09
1928,3.4278122562625413e-09
1929,4.4561625500705304e-09
1930,7.352522590764465e-09
1931,2.2810713318222042e-09
1932,1.753525857850491e-08
1933,9.176529758292418e-09
1934,2.3963160344919743e-09
1935,4.787313656606784e-09
1936,1.33371855781661e-08
1937,8.813782592653752e-09
1938,2.5930428915188486e-09
1939,4.588215141154706e-09
1940,2.028626333583361e-08
1941,2.9515025978810172e-09
1942,1.8205270180260413e-08
1943,1.4516175816936538e-08
1944,1.2852744646352221e-08
1945,0.0
1946,1.3921104269343232e-09
1947,7.152522574216391e-09
1948,9.784699273041042e-09
1949,4.908504269707237e-09
1950,2.1270722960764488e-09
