year,chers_ADJ gages_NOUN
1800,2.2009151834367913e-08
1801,1.1905912700171939e-08
1802,2.6854081625060644e-08
1803,3.705644502360883e-08
1804,1.4831105232815389e-08
1805,1.9900143755080535e-08
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,1.3596443970698147e-08
1809,3.162642769893864e-08
1810,1.4040760554223652e-08
1811,1.504246105454854e-08
1812,2.6672082320544632e-09
1813,8.627225156487839e-09
1814,3.776012391654149e-08
1815,1.3486118000116676e-08
1816,3.0128852301913867e-08
1817,2.490997452753163e-08
1818,1.7881765401739358e-08
1819,4.243930362690662e-08
1820,2.1359666035891678e-08
1821,8.875339574387908e-09
1822,1.604098542884458e-08
1823,3.854247765389118e-08
1824,2.5263338088166165e-08
1825,3.78634048558979e-08
1826,4.7563116112314674e-08
1827,2.2121454890111636e-08
1828,2.0179061976932644e-08
1829,1.1145129263923081e-08
1830,3.1310506187764986e-08
1831,2.182768810143898e-08
1832,1.7588959622116818e-08
1833,1.6217079790159517e-08
1834,1.5868701908061666e-08
1835,1.5882484660778573e-08
1836,1.68018754465038e-08
1837,2.5048407792382932e-08
1838,2.146135025249407e-08
1839,1.8177836125232716e-08
1840,1.5924221219432155e-08
1841,1.219904266491767e-08
1842,6.708265054555795e-09
1843,7.088293507706567e-09
1844,4.390849073221403e-09
1845,1.2834523888116678e-08
1846,1.5807152919933287e-08
1847,9.168480197274675e-09
1848,4.02261068899179e-09
1849,2.513824481908955e-09
1850,1.2899092460827433e-08
1851,4.514607354622058e-09
1852,3.0599563993760626e-08
1853,1.3735443005202796e-08
1854,1.0391329241521419e-08
1855,9.021793090369101e-09
1856,2.019103817474388e-08
1857,5.369659827891837e-09
1858,6.8511463169329545e-09
1859,1.9350258284589472e-08
1860,4.119465657481669e-09
1861,8.017138064531082e-09
1862,1.671654992208005e-08
1863,2.7470415275843152e-08
1864,5.274200631788517e-09
1865,6.589582213223366e-09
1866,7.298419202328432e-09
1867,1.358787216076962e-08
1868,1.0373735648272486e-08
1869,8.790334460329063e-09
1870,5.160643912205387e-09
1871,1.0621176826930423e-08
1872,7.256807155187062e-09
1873,5.387403856360606e-09
1874,5.974609251779839e-09
1875,6.86583251363615e-09
1876,3.02300739996042e-09
1877,1.2988113695655557e-08
1878,1.0870359723469392e-08
1879,1.832797580370027e-09
1880,1.4119262203848848e-08
1881,1.3945014920579979e-08
1882,4.6587693702804245e-09
1883,1.8958017378167824e-09
1884,7.2618666635548834e-09
1885,9.66845359329227e-09
1886,6.453463874400711e-10
1887,5.876032105334161e-09
1888,6.340614699951175e-09
1889,3.132568426877924e-09
1890,0.0
1891,3.1871101313640793e-09
1892,3.1342561879199593e-09
1893,2.4633666773077323e-09
1894,5.671385139294216e-09
1895,3.611168697403855e-09
1896,2.358811590497112e-09
1897,9.322741689743452e-09
1898,9.05336783318944e-09
1899,5.527578395003729e-10
1900,2.595526460424935e-09
1901,5.588738916095792e-10
1902,2.9461704187383475e-09
1903,5.400220270956879e-10
1904,2.1498500757388683e-09
1905,1.5482277682110634e-09
1906,2.572092316910357e-09
1907,4.114274698707732e-09
1908,4.911389073214423e-10
1909,3.850688656825696e-09
1910,2.67207544979442e-09
1911,1.5961122423746588e-09
1912,1.5628263128064646e-09
1913,2.121195885607108e-09
1914,0.0
1915,7.0684572639478915e-09
1916,5.493731025651982e-09
1917,7.676496771580332e-09
1918,0.0
1919,5.524709134618888e-09
1920,1.514446346106979e-09
1921,7.572747762196741e-09
1922,5.902348387820666e-09
1923,7.431163684401554e-09
1924,1.289162443462999e-09
1925,5.499089184013428e-09
1926,5.57306911730393e-09
1927,1.1149224876660924e-09
1928,3.4278122562625413e-09
1929,7.798284684668033e-09
1930,6.302162347537887e-09
1931,6.843213995466613e-09
1932,1.2055489939655217e-08
1933,3.4411986593596566e-09
1934,1.0783422155213884e-08
1935,3.590485242455088e-09
1936,1.2124714565686645e-09
1937,3.777335333410292e-09
1938,1.2965214457594243e-09
1939,0.0
1940,0.0
1941,1.4757512545315876e-08
1942,3.034211770724937e-09
1943,0.0
1944,0.0
1945,4.357008087652048e-09
1946,6.960552134671616e-09
1947,1.1920870957027319e-09
1948,1.0871888278529696e-08
1949,9.817008317369869e-10
1950,3.190608444114673e-09
1951,5.3307008807124134e-09
1952,3.1634410646574906e-09
1953,1.0773827385790469e-09
1954,9.772536557761669e-09
1955,9.385607846468247e-10
1956,0.0
1957,0.0
1958,1.6544486891589827e-09
1959,1.5501495642666896e-09
1960,7.612916519406099e-09
1961,1.3896318540318475e-09
1962,1.9025869768540815e-09
1963,1.939815863494232e-09
1964,3.041984220075733e-09
1965,8.20806533852192e-09
1966,4.985167390003653e-09
1967,2.465167847631733e-09
1968,1.3474247273492779e-09
1969,2.7250546263957176e-09
1970,2.2993624781975086e-09
1971,5.138397485282553e-10
1972,1.5390440033513642e-09
1973,5.513203782392395e-10
1974,4.500457340128605e-09
1975,1.7134440533084216e-09
1976,5.713526873840635e-10
1977,0.0
1978,2.970295565063452e-09
1979,4.096381456264453e-09
1980,1.7055452605774235e-09
1981,1.2651099057237047e-09
1982,6.207502289967692e-10
1983,1.8945948143667124e-09
1984,1.1598016991243298e-09
1985,3.0077789148208467e-09
1986,2.3977941854269602e-09
1987,3.0554083707556856e-09
1988,0.0
1989,1.0976244357863152e-09
1990,0.0
1991,1.1722930404189924e-09
1992,0.0
1993,1.1078414852150331e-09
1994,5.274926606624319e-10
