year,six_DET airs_NOUN,six_DET guerres_NOUN
1800,0.0,1.2576657937302116e-08
1801,7.143547975374531e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,1.1702034896643454e-08,5.851017448321727e-09
1804,4.943701892301533e-09,7.4155526164076946e-09
1805,5.685755422035754e-09,0.0
1806,2.305335211616466e-08,0.0
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,1.3596443970698147e-08
1809,2.259030518203531e-09,0.0
1810,2.574139479349924e-08,0.0
1811,1.0028306629550343e-08,0.0
1812,2.6672082320544632e-09,1.3336041604361526e-08
1813,4.026038280535715e-08,1.1502966579257645e-08
1814,5.349350962191579e-08,7.237357380063258e-08
1815,0.0,8.091670444798638e-09
1816,6.952811659743929e-09,6.952811659743929e-09
1817,1.556873407970727e-09,4.670620334934483e-09
1818,2.384235475716423e-09,1.3113295338484932e-08
1819,2.070210003424222e-09,3.1053151161586356e-09
1820,2.4919611263385377e-08,1.1866481131050932e-09
1821,9.86148829262845e-10,9.86148829262845e-10
1822,3.107940926838637e-08,1.0025615893027862e-09
1823,1.9765373782121287e-09,1.8777104315859106e-08
1824,0.0,0.0
1825,3.522177216552791e-09,7.044354433105582e-09
1826,1.7615968683770689e-09,1.7615968683770689e-09
1827,6.452091305675367e-09,1.1982455028203276e-08
1828,3.6689205562545624e-09,9.172301251858528e-10
1829,1.714635211591542e-09,8.57317605795771e-10
1830,1.5655253093882493e-08,1.0436835840010872e-09
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,1.8669061851994684e-09,1.120143711119681e-08
1835,1.663879345414898e-08,3.781543966852041e-09
1836,5.376600054063374e-09,1.3441500135158435e-09
1837,1.1132625932219753e-08,6.957891152126194e-09
1838,1.2624323808552163e-09,1.8936485712828244e-09
1839,2.7266753299670654e-08,1.3982950353153e-09
1840,3.184844388215424e-08,4.458782232319436e-09
1841,3.2102742686390684e-09,0.0
1842,8.720744570922534e-09,0.0
1843,4.7255288571079745e-09,0.0
1844,9.879410178825765e-09,0.0
1845,0.0,5.580227946389016e-10
1846,5.854501328173001e-10,0.0
1847,4.853901280910122e-09,1.0786447290911383e-09
1848,0.0,0.0
1849,5.02764896381791e-09,0.0
1850,2.0366988096043315e-09,0.0
1851,1.2898877521649865e-09,1.2898877521649865e-09
1852,7.161599979710331e-09,6.510545436100301e-10
1853,5.3747388761848924e-09,0.0
1854,3.63696517347023e-09,0.0
1855,2.1227748447927297e-09,1.0613874223963649e-09
1856,1.0354378465748937e-09,1.0354378465748937e-09
1857,1.025116930231107e-08,9.763018171682347e-10
1858,8.319249067412215e-09,1.9574704523961373e-08
1859,1.5276520048956854e-09,0.0
1860,6.408057418028079e-09,0.0
1861,5.6591566433006335e-09,0.0
1862,4.51798634615308e-09,1.8071945051545413e-09
1863,1.598278676073761e-08,7.491931519609807e-09
1864,9.589456118064277e-09,4.794727948009836e-10
1865,2.3534221793575227e-09,0.0
1866,3.8924903300596725e-09,1.9462451650298362e-09
1867,6.308654931785895e-09,9.7056229719783e-10
1868,1.4819622196071691e-09,0.0
