year,deux_DET ans_NOUN,deux_DET gants_NOUN
1800,2.2854931899018993e-05,3.144164484325529e-09
1801,2.3223673565553327e-05,2.3811825844433088e-09
1802,2.085667028950411e-05,0.0
1803,2.4190056933548476e-05,0.0
1804,2.3707521563665068e-05,0.0
1805,2.2211403233995952e-05,0.0
1806,2.2747895627617254e-05,0.0
1807,2.258774270558206e-05,0.0
1808,2.4518920781702036e-05,6.798221985349073e-09
1809,2.840279148585978e-05,4.518061036407062e-09
1810,2.6696166401052324e-05,0.0
1811,3.280509974956658e-05,1.2535384286138651e-08
1812,2.6082628437507083e-05,0.0
1813,3.1233429126587e-05,0.0
1814,2.4880776663849247e-05,0.0
1815,2.3681622224103194e-05,2.697223555614414e-09
1816,2.473346808073984e-05,0.0
1817,2.219478722054191e-05,3.113746815941454e-09
1818,3.026667786798498e-05,4.768470951432846e-09
1819,2.980895442306064e-05,1.8631889808773394e-08
1820,2.7404452112023137e-05,1.1866481131050932e-09
1821,2.7602306658991438e-05,9.861488514673056e-09
1822,2.485450363565178e-05,0.0
1823,2.552006230871484e-05,0.0
1824,2.455596381878422e-05,1.6842225392110777e-09
1825,2.67033868794897e-05,7.924898515199175e-09
1826,2.652524437962711e-05,2.642395191543301e-09
1827,2.612636023968662e-05,1.4747636667422626e-08
1828,2.5398102252438548e-05,5.5033806956039655e-09
1829,2.4340104346265434e-05,6.001223074036943e-09
1830,2.482610079823644e-05,2.0873671680021744e-09
1831,2.5248398742405698e-05,1.4032085715598441e-08
1832,2.9634691827595816e-05,1.3529969367098715e-09
1833,2.7282920427751378e-05,0.0
1834,2.739498177106725e-05,2.8003592777992026e-09
1835,2.686635718873731e-05,1.2100940693926532e-08
1836,2.6696162990447192e-05,8.064899859050456e-09
1837,2.8485605525929714e-05,1.3915782304252389e-08
1838,2.7173224907528493e-05,1.1361890983607736e-08
1839,2.7301010732116993e-05,2.0974426639952526e-09
1840,2.7588395710154145e-05,5.732719632334238e-09
1841,2.8096961841583834e-05,1.2841097074556274e-09
1842,2.8579222544067306e-05,8.049918065466954e-09
1843,2.9381567173913936e-05,2.3627644285539873e-09
1844,2.8093749506297172e-05,6.586273748609983e-09
1845,2.7340885026205797e-05,4.464182357111213e-09
1846,2.7226357588006067e-05,3.5127007969038004e-09
1847,2.8703275120278704e-05,1.3483059113639229e-08
1848,2.6990914420821355e-05,2.091757700384278e-08
1849,2.7888368208550673e-05,6.703531951757213e-09
1850,3.013160096543288e-05,3.394498016007219e-09
1851,2.796025250972889e-05,2.579775504329973e-09
1852,2.756174353635288e-05,7.161600201754936e-09
1853,2.838459215581679e-05,6.569124799682413e-09
1854,2.7388944317863206e-05,5.195664343204953e-09
1855,2.8526910000437056e-05,1.6451505047143655e-08
1856,2.7127954467687232e-05,8.801221973442352e-09
1857,2.754928391368594e-05,4.393358121745905e-09
1858,2.9581783110188553e-05,8.31924928945682e-09
1859,2.6821495794138173e-05,3.5645213447565993e-09
1860,2.7797695111075882e-05,3.204028820036342e-09
1861,2.742851677339786e-05,6.6023493339173456e-09
1862,2.87727953036665e-05,1.3553959066214816e-09
1863,2.9034730005150777e-05,3.4962345241140724e-09
1864,2.896159435294976e-05,3.3563094525845827e-09
1865,2.775767245566385e-05,1.3179164426446732e-08
1866,2.68596435262225e-05,6.3252967308358166e-09
1867,2.9428904326778138e-05,1.649955905236311e-08
1868,2.9551809120675898e-05,2.9639245502366407e-09
1869,2.830145899679337e-05,1.953407657850903e-09
1870,3.1369834005090524e-05,2.8670243956696595e-09
1871,2.669208049610461e-05,5.3105884134652115e-09
1872,2.914938397680089e-05,1.8142017887967654e-09
1873,2.9397268122011155e-05,1.7958012854535355e-09
1874,2.866796694434015e-05,3.5847653734322193e-09
1875,3.0118691029201727e-05,1.0298748520654044e-08
1876,2.98455477150128e-05,1.5719638923883394e-08
1877,3.3209986895599286e-05,1.4225076672147452e-08
1878,2.9792636951242457e-05,6.039088673581716e-10
1879,3.0991385528977844e-05,9.163987790827832e-09
1880,3.225737805223616e-05,8.984984534166074e-09
1881,3.171235971421993e-05,1.3945015142624584e-08
1882,3.1965148309609503e-05,1.1979693681496428e-08
1883,3.178627571287507e-05,1.0110942305630033e-08
1884,3.18584695833124e-05,2.6406787867472303e-09
1885,3.1833060688768455e-05,5.156508553483263e-09
1886,3.253578302064852e-05,5.808117320427186e-09
1887,3.179912778250582e-05,5.8760321608453125e-09
1888,3.195225986019068e-05,1.141310668195672e-08
1889,3.074615801779146e-05,3.132568426877924e-09
1890,3.231377991141926e-05,1.9663159989136147e-09
1891,3.154346518385864e-05,8.923908167979278e-09
1892,3.065239866373304e-05,1.2537024751679837e-09
1893,3.1418393291460234e-05,2.463366621796581e-09
1894,3.152282101837045e-05,2.520615716150587e-09
1895,3.274788468843326e-05,6.0186142736284864e-09
1896,3.278040458098985e-05,7.076434549446731e-09
1897,3.210926990959706e-05,6.992056267307589e-09
1898,3.32315192963506e-05,4.52668391659472e-09
1899,3.468334239187243e-05,1.1607914629507832e-08
1900,3.3337982358716545e-05,1.453494924419374e-08
1901,3.3795664421631955e-05,7.824234593556412e-09
1902,3.1959074135556875e-05,8.347482705062248e-09
1903,3.471207753591443e-05,8.100330184390714e-09
1904,3.506029383970599e-05,1.0211787859759625e-08
1905,3.591010840864328e-05,5.160759042333041e-10
1906,3.436212386986881e-05,4.115347618238729e-09
1907,3.316722597901389e-05,4.114274587685429e-09
1908,3.454523653090291e-05,1.2278472905080662e-08
1909,3.37133274115331e-05,6.051082024338683e-09
1910,3.3754188734747004e-05,1.068830135508847e-09
1911,3.3795017770898994e-05,9.576673676292558e-09
1912,3.3738815545802936e-05,3.646594803896619e-09
1913,3.5336472137714736e-05,4.242391771214216e-09
1914,3.413932836338063e-05,1.0045115850232378e-08
1915,2.880278543671011e-05,4.712304657594757e-09
1916,3.375677863459714e-05,1.0987462051303964e-09
1917,3.629228478985169e-05,3.289927441585405e-09
1918,3.277867313045135e-05,4.594550517822427e-09
1919,3.135364443096478e-05,1.8415696745321952e-09
1920,3.053881027881289e-05,9.086678076641874e-09
1921,3.2526465020055184e-05,6.815472630705699e-09
1922,3.241569652345788e-05,7.37793537375353e-09
1923,3.0924257202968874e-05,3.1847844361720945e-09
1924,3.166698650147737e-05,5.156649773851996e-09
1925,3.0753105420444626e-05,2.1996355847875293e-09
1926,3.0308580107885064e-05,5.57306911730393e-09
1927,3.102717823821877e-05,1.1149224876660924e-09
1928,3.161014262786921e-05,7.998228745975666e-09
1929,3.247651284254971e-05,8.912325100141061e-09
1930,3.192990504885529e-05,5.2518016602221e-09
1931,3.186314438607951e-05,4.5621426636444085e-09
1932,3.183416583851795e-05,1.0959536611565568e-09
1933,3.212588285350648e-05,4.588264879146209e-09
1934,3.025828209501924e-05,1.1981580172459871e-08
1935,3.052989586649346e-05,4.787313656606784e-09
1936,2.985468540828151e-05,6.0623572828433225e-09
1937,3.0250160534706083e-05,3.777335333410292e-09
1938,2.9403809890027333e-05,6.482607339819424e-09
1939,2.8419404770829715e-05,6.117620188206274e-09
1940,2.8238477625563974e-05,5.0715658339584024e-09
1941,2.830786206686753e-05,1.4757512989405086e-08
