year,deux_DET airs_NOUN,deux_DET guerres_NOUN
1800,1.131899196593622e-07,1.3519907327008696e-07
1801,4.286128785224719e-08,1.262026785298076e-07
1802,3.1329761895904085e-08,1.1636768704192946e-07
1803,9.166594594489652e-08,1.3262306985950545e-07
1804,6.921182338359699e-08,1.6314216644275348e-07
1805,1.2224374312808095e-07,1.3645813190521494e-07
1806,4.8988376022407465e-08,2.0748016993366036e-07
1807,6.547996633798903e-08,2.3629727241569753e-07
1808,1.1556977064230978e-07,1.5182695634052834e-07
1809,6.09938268780752e-08,1.9201758760800658e-07
1810,3.97821557918121e-08,2.0125090571809778e-07
1811,8.77476873384353e-08,1.8301659920894053e-07
1812,5.3344166417446104e-08,2.3471432086807908e-07
1813,1.5241430628698538e-07,1.0927817939432316e-07
1814,8.81069599500961e-08,1.5418717858040054e-07
1815,5.664169400176888e-08,1.6453063178545335e-07
1816,4.6352077731626196e-09,9.038655512938476e-08
1817,3.42512151974006e-08,1.9460916966806963e-07
1818,6.079800130009971e-08,1.5974377376437587e-07
1819,4.5544620519422097e-08,2.3496883727602835e-07
1820,5.3399165977907614e-08,2.3851627517501583e-07
1821,1.4792232327920374e-08,1.8440983673428946e-07
1822,5.514088741165324e-08,2.5665578107236797e-07
1823,1.680056804787e-08,3.192107831395674e-07
1824,6.06320114115988e-08,1.8610658791828882e-07
1825,3.78634048558979e-08,1.2767892343390486e-07
1826,2.9947145208097936e-08,1.6206691810793927e-07
1827,5.7147091836462494e-08,1.5116327567454846e-07
1828,7.888178754633657e-08,1.4767405309701331e-07
1829,6.086954873474326e-08,1.4402935344381973e-07
1830,4.5922077696047836e-08,1.3567886725240896e-07
1831,5.145097770054008e-08,1.3096613193930295e-07
1832,2.8412935559885e-08,1.7994859291547982e-07
1833,4.865123881536704e-08,1.2857827336176797e-07
1834,4.853956059314157e-08,1.5401975606010865e-07
1835,4.0840674842002045e-08,8.470658485748572e-08
1836,5.578222345148376e-08,1.7003497632117615e-07
1837,6.88831186534955e-08,1.2524203540920098e-07
1838,4.229148320433751e-08,2.158759375703312e-07
