year,tes_DET ans_NOUN,tes_DET gants_NOUN
1800,3.45858084394024e-08,0.0
1801,5.0004833385131064e-08,2.3811825844433088e-09
1802,2.0140561218795483e-08,0.0
1803,2.7304748684287006e-08,7.801356671777171e-09
1804,6.92118238276862e-08,3.460591457837836e-08
1805,5.685755510853596e-08,2.842877711017877e-09
1806,1.498467980809437e-07,0.0
1807,1.1387820464392462e-08,0.0
1808,6.798221985349073e-09,6.798221985349073e-09
1809,3.6144488291256494e-08,4.518061036407062e-09
1810,3.978215445954447e-08,0.0
1811,3.760615285841595e-08,0.0
1812,7.20146218213813e-08,3.200649700829672e-08
1813,4.6011867427253605e-08,2.8757416448144113e-09
1814,5.97868634599763e-08,3.1466771410748606e-09
1815,4.8550024445148665e-08,0.0
1816,3.708166040894412e-08,2.3176038865813098e-09
1817,5.449056961204235e-08,1.401186100480345e-08
1818,2.8610826152686286e-08,2.384235475716423e-09
1819,7.659776724011635e-08,1.3456364911235141e-08
1820,1.0561168295453172e-07,9.493184904840746e-09
1821,3.8459806006585495e-08,2.1695274909916407e-08
1822,3.709477880420309e-08,5.012807946513931e-09
1823,3.557767347395213e-08,1.680056804787e-08
1824,6.989523360090288e-08,1.7684335773537896e-08
1825,3.698286188402733e-08,1.937197424695114e-08
1826,3.8755132436563144e-08,1.4973572604048968e-08
1827,3.2260455640198415e-08,8.295545750325317e-09
1828,4.402704451011985e-08,1.0089530988466322e-08
1829,3.257806824308318e-08,6.858540846366168e-09
1830,1.1480518979922749e-08,6.262101504006523e-09
1831,1.7150327380477393e-08,3.1182412207897414e-09
1832,4.735489356200162e-08,1.0823975604701275e-08
1833,6.023486831541192e-08,8.108539617524002e-09
1834,3.080395205579123e-08,2.14694217959277e-08
1835,3.1764969321557146e-08,1.1344631900556124e-08
1836,3.22596004909137e-08,1.4785650037651976e-08
1837,3.1310509740478665e-08,1.1828414692161004e-08
1838,3.3454458758797045e-08,2.019891809368346e-08
1839,2.7965900262216792e-08,6.292327547896548e-09
1840,2.930056863803543e-08,4.458782232319436e-09
1841,2.760835826620678e-08,7.0626033910059505e-09
1842,3.4212152222323766e-08,1.7441490030023488e-08
1843,1.5357968674578615e-08,7.088293507706567e-09
1844,1.701454005464953e-08,2.195424508855126e-09
1845,2.17628883802945e-08,1.9530798145428463e-08
1846,2.2247105713191218e-08,2.9272506640865004e-09
1847,1.887628275909492e-08,3.235934187273415e-09
1848,1.2067832455553429e-08,0.0
1849,2.262441967104678e-08,2.513824481908955e-09
1850,1.6972489191857676e-08,6.1100964288129944e-09
1851,1.3543821397732358e-08,1.9348316282474798e-09
1852,2.539112786692499e-08,1.5625309046640723e-08
1853,2.9262466672008713e-08,8.360704129017904e-09
1854,2.3380490266067255e-08,1.2469595134234623e-08
1855,3.874064091746732e-08,9.021793090369101e-09
1856,2.381507024917795e-08,9.318940286107136e-09
1857,4.7838790040444223e-08,8.298565390418844e-09
1858,2.055343872875426e-08,1.6149131698561803e-08
1859,4.328347347204442e-08,1.5276519604867644e-08
1860,1.8308735055816427e-08,1.4189270203246451e-08
1861,2.9710572058139206e-08,9.431927461278633e-09
1862,3.840288445577933e-08,9.035972858839614e-09
1863,2.2475794225762513e-08,1.3485476124674989e-08
