year,vos_DET ans_NOUN,vos_DET gants_NOUN
1800,4.4018303668735825e-08,2.5153315874604232e-08
1801,1.1905912700171939e-08,2.8574191901498125e-08
1802,2.6854081625060644e-08,4.2518962573012686e-08
1803,3.315576790896557e-08,4.095712213825209e-08
1804,4.69651695311768e-08,1.2359254952798437e-08
1805,3.4114531644036106e-08,3.1271654599152043e-08
1806,8.35684019762084e-08,2.0171682990621775e-08
1807,3.4163463169534225e-08,2.8469551160981155e-09
1808,3.3991110370834576e-08,6.798221985349073e-09
1809,1.129515236897305e-08,7.00299480627109e-08
1810,3.7442028144596406e-08,8.190443878675069e-08
1811,9.27618373225414e-08,1.504246105454854e-08
1812,1.3336041604361526e-08,1.600324850414836e-08
1813,2.5881675469463516e-08,2.30059336026045e-08
1814,5.349351184236184e-08,1.5733386149463513e-08
1815,1.8880564667256294e-08,1.3486118000116676e-08
1816,2.7811246638975717e-08,1.1588019432906549e-08
1817,2.3353100786493997e-08,2.6466848268569265e-08
1818,2.741870730460505e-08,9.536941902865692e-09
1819,3.8298885840504227e-08,9.315945348475907e-09
1820,1.1510486785937246e-07,1.0679833017945839e-08
1821,1.2819934447350079e-08,2.6626018723163725e-08
1822,5.413832582235045e-08,1.303330066093622e-08
1823,6.324919610278812e-08,3.162459805139406e-08
1824,2.86317822784099e-08,5.052667617633233e-09
1825,3.9624492131906663e-08,5.283266046873791e-09
1826,2.290075862276808e-08,1.4092774947016551e-08
1827,4.147772969531616e-08,1.7512819083798092e-08
1828,1.3758452155343548e-08,2.2930752408001354e-08
1829,1.971830521085849e-08,9.430493719264632e-09
1830,3.652892388572582e-08,2.609209004411639e-08
1831,7.795603274018958e-09,2.494592887813951e-08
1832,2.8412935559885e-08,8.794480366169921e-08
1833,9.266902800675325e-09,4.9809601776473755e-08
1834,9.334531370086552e-09,3.360431222176885e-08
1835,1.663879345414898e-08,8.016873209726327e-08
1836,2.2178475223011418e-08,3.1587525484155776e-08
1837,1.7394727436226276e-08,3.965997974475499e-08
1838,1.8936486156917454e-08,1.830527018853445e-08
1839,1.6080392128969834e-08,3.425822914238097e-08
1840,1.52872523528913e-08,3.375935120342177e-08
1841,1.733548060656176e-08,3.017657856929645e-08
1842,1.60998356868447e-08,4.360372241052346e-08
1843,1.1813821920725331e-08,2.7762481258353233e-08
1844,8.781698090931656e-09,2.4149668931272572e-08
1845,6.69627359117797e-09,1.7298706467272496e-08
1846,8.781752436348711e-09,2.2832555401919308e-08
1847,3.775256551818984e-09,2.0494249852731627e-08
1848,7.24069959545659e-09,4.585776380849893e-08
1849,8.379414495607307e-09,1.843471353346615e-08
1850,1.9009188889640427e-08,3.2587180953669304e-08
1851,6.449438760824933e-09,2.257303544084266e-08
1852,2.6042181744401205e-09,3.711010920781632e-08
1853,3.5831591027601917e-09,2.6276499198729653e-08
1854,1.8184825201217336e-08,4.1565314301550416e-08
1855,4.6701046585440054e-08,2.865746040470185e-08
1856,4.0899795550330964e-08,6.316170697573398e-08
1857,1.2203773103180993e-08,4.002837394878611e-08
1858,1.4681027837859517e-08,4.15962464472841e-08
1859,1.1202780925145817e-08,4.990329838250318e-08
1860,6.408057640072684e-09,5.1722179872371044e-08
1861,2.6409397335669382e-08,5.8949547909747935e-08
1862,3.5692092836825395e-08,3.433669709673737e-08
1863,1.9479021062807078e-08,3.945750570721884e-08
1864,2.3014694150447212e-08,2.68504773970335e-08
1865,7.0602665935837194e-09,2.9653118849282123e-08
1866,1.8489328568183083e-08,4.6709885070939094e-08
1867,2.6690463172940326e-08,4.173417877950669e-08
1868,1.1361710683388537e-08,3.2603168165223906e-08
1869,1.3673853160867111e-08,2.197583570673345e-08
1870,2.0069171213776826e-08,3.1537269240544674e-08
1871,7.434824311758348e-09,3.080141297573391e-08
1872,1.2094679036067646e-08,1.8142017554900747e-08
1873,2.095101514498765e-08,2.6937019892425695e-08
1874,3.2262889249068394e-08,5.25765595504879e-08
1875,2.2313955128083762e-08,1.7736734747586524e-08
1876,9.069021977836655e-09,3.264847858730491e-08
