year,mêmes_ADJ ans_NOUN,mêmes_ADJ gants_NOUN
1800,0.0,0.0
1801,1.4287095950749062e-08,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,4.518061036407062e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,6.952811659743929e-09
1817,0.0,0.0
1818,5.960588467246453e-09,0.0
1819,1.035105001712111e-09,0.0
1820,1.0679833017945839e-08,0.0
1821,4.930744257336528e-09,0.0
1822,1.0025615893027862e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,8.421112696055388e-10,0.0
1825,1.7610886082763955e-09,8.805443041381977e-10
1826,2.642395191543301e-09,0.0
1827,1.8434546111834038e-09,1.8434546111834038e-09
1828,1.8344602503717056e-09,0.0
1829,8.57317605795771e-10,0.0
1830,2.0873671680021744e-09,1.0436835840010872e-09
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,1.1583628500844156e-09,0.0
1834,9.334530925997342e-10,3.733812370398937e-09
1835,1.5126175867408165e-09,9.832014313815307e-09
1836,1.3441500135158435e-09,0.0
1837,2.7831562610103333e-09,0.0
1838,3.1560809521380406e-09,0.0
1839,6.9914751765765e-10,0.0
1840,1.2739377330817092e-09,4.458782232319436e-09
1841,1.2841097074556274e-09,1.926164561183441e-09
1842,2.0124795163667386e-09,2.683306021822318e-09
1843,3.544146642830981e-09,1.1813822142769936e-09
1844,1.6465683816413446e-09,2.195424508855126e-09
1845,1.674068439427856e-09,0.0
1846,5.854501328173001e-10,2.9272506640865004e-09
1847,2.1572894581822766e-09,5.393223645455691e-10
1848,0.0,8.045221711050488e-10
1849,0.0,0.0
1850,6.788996032014438e-10,0.0
1851,1.9348316282474798e-09,0.0
1852,4.557381805270211e-09,0.0
1853,3.5831591027601917e-09,4.180352064508952e-09
1854,6.754363734984281e-09,0.0
1855,2.653468555990912e-09,4.2455496895854594e-09
1856,2.5885946164372342e-09,4.141751386299575e-09
1857,1.9526036343364694e-09,5.857811125054013e-09
1858,2.446837954472869e-09,4.893676019968041e-10
1859,1.5276520048956854e-09,1.018434669930457e-09
1860,3.661747072225552e-09,4.577183909670879e-10
1861,2.3579819208308095e-09,3.772770984511453e-09
1862,1.8071945051545413e-09,9.035972525772706e-10
1863,3.4962345241140724e-09,0.0
1864,2.8768367688059016e-09,6.233146443435089e-09
1865,3.765475597994339e-09,0.0
1866,9.731225825149181e-10,2.919367858567057e-09
1867,9.7056229719783e-10,0.0
1868,2.9639244392143382e-09,0.0
1869,4.8835191446272574e-09,2.441759683335931e-09
1870,4.587239033071455e-09,0.0
1871,4.248470908407853e-09,1.0621177271019633e-09
1872,1.2094678591978436e-09,1.8142017887967654e-09
1873,5.986004469882289e-10,5.986004469882289e-10
1874,0.0,4.779687312606029e-09
1875,1.716458086775674e-09,5.721527140956084e-10
1876,6.04601479992084e-10,1.209202959984168e-09
1877,1.2369631985365004e-09,2.4739263970730008e-09
1878,6.039088673581716e-10,1.2078177347163432e-09
1879,5.498392741110081e-09,1.221865053580018e-09
1880,6.417846254436199e-10,6.417846254436199e-10
1881,0.0,1.3945015142624584e-09
1882,0.0,0.0
1883,1.8958017378167824e-09,0.0
1884,1.3203393933736152e-09,6.601696966868076e-10
1885,1.9336907075562237e-09,6.445635691854079e-10
1886,1.2906927748801422e-09,2.5813855497602844e-09
1887,0.0,2.6115698492645834e-09
1888,0.0,6.340614699951175e-10
1889,2.5060546970934183e-09,1.8795409673089125e-09
1890,6.554386478008212e-10,6.554386478008212e-10
1891,5.0993759215245404e-09,0.0
1892,1.8805537127519756e-09,2.5074049503359674e-09
1893,4.310891532632866e-09,1.2316833108982905e-09
1894,6.301539290376468e-10,0.0
1895,3.611168697403855e-09,6.018614495673091e-09
1896,2.94851448812139e-09,1.179405795248556e-09
1897,4.07869948926276e-09,2.330685422435863e-09
1898,4.52668391659472e-09,2.8291773368493978e-09
1899,2.7637891975018647e-09,3.3165470370022376e-09
1900,3.114631885736685e-09,5.19105292084987e-09
1901,1.1177477832191585e-09,1.1177477832191585e-09
1902,1.4730852093691738e-09,3.437198747846537e-09
1903,2.1600881083827517e-09,1.0800440541913758e-09
1904,5.374625189347171e-10,3.7622376325430196e-09
1905,6.708986699521802e-09,4.64468330463319e-09
1906,1.5432553568395235e-09,5.144184522798412e-10
1907,1.5428530120153994e-09,0.0
1908,1.4734167219643268e-09,4.4202499438483756e-09
1909,1.1001967115120692e-09,3.300590023513905e-09
1910,2.137660271017694e-09,2.67207544979442e-09
1911,2.128149656499545e-09,1.0640748282497725e-09
1912,1.5628263683176158e-09,3.646594803896619e-09
1913,0.0,2.6514948014977335e-09
1914,3.348371913070025e-09,2.678697486047099e-09
1915,0.0,7.068456930880984e-09
1916,7.69122321386817e-09,2.197492410260793e-09
