year,des_DET airs_NOUN,des_DET guerres_NOUN
1800,1.9305169658423438e-06,3.291940302574403e-06
1801,1.514432067750704e-06,4.2623166436328574e-06
1802,1.609007057368217e-06,3.1061220795436384e-06
1803,1.7045964781914336e-06,4.844642759849194e-06
1804,2.031861363605003e-06,3.522387700627405e-06
1805,1.6289689126480766e-06,3.9686574666575325e-06
1806,2.4321286673512077e-06,3.198652620994835e-06
1807,1.6853974180719433e-06,3.945879839761801e-06
1808,1.8400520644945573e-06,3.7866095539129674e-06
1809,1.6468332475483294e-06,4.134025687108078e-06
1810,2.5975406430234216e-06,3.0796067136407146e-06
1811,2.2062274780410007e-06,3.6026692100676883e-06
1812,1.7150148821087896e-06,3.470037910346946e-06
1813,2.2286997882758897e-06,3.568795449382378e-06
1814,2.0359000529879268e-06,6.161193923048813e-06
1815,1.151714417169103e-06,4.747113322878249e-06
1816,1.3418926556596489e-06,3.6826725420269213e-06
1817,1.6627408570002444e-06,4.865229257688952e-06
1818,1.6308170760481744e-06,4.8233081741955175e-06
1819,1.495726777989148e-06,5.177595340910557e-06
1820,1.940169710223927e-06,4.836777662831082e-06
1821,1.4900709235377008e-06,4.6911099218505115e-06
1822,1.6903187969319333e-06,4.623814120918723e-06
1823,1.6691858242268154e-06,4.314781008929458e-06
1824,1.5318003860897988e-06,3.462761526407121e-06
1825,1.7681329573804305e-06,4.227493207054067e-06
1826,1.4621254500468694e-06,4.368760031070451e-06
1827,1.1825761010442193e-06,3.617779604780935e-06
1828,1.3740107824844472e-06,3.699189207395648e-06
1829,1.3717082136821546e-06,4.073116159020174e-06
1830,1.652151127018442e-06,4.12985613706951e-06
1831,1.4437456314908559e-06,3.869737241757321e-06
1832,1.6290083664216581e-06,3.580029797944917e-06
1833,1.692368128303201e-06,3.140321595651585e-06
1834,1.4617875230271693e-06,4.015715219907179e-06
1835,2.072286044096927e-06,3.508516456918187e-06
1836,1.4785650712667575e-06,3.7219515007791415e-06
1837,1.4423708147859315e-06,3.686986445927687e-06
1838,1.5433235649453536e-06,4.0808125874036705e-06
1839,1.7059199706181971e-06,3.398556003730846e-06
1840,1.4790416997811917e-06,4.108449090267641e-06
1841,1.596790447422336e-06,3.2109164322946526e-06
1842,1.6992035796192795e-06,3.6989374478935133e-06
1843,1.7130041811697083e-06,3.304916745605624e-06
1844,1.6449218165348611e-06,3.3557064540445936e-06
1845,1.343718853519249e-06,2.9335257920592994e-06
1846,1.5087050151407766e-06,3.3253567295332687e-06
1847,1.3671822181038351e-06,3.128069671731737e-06
1848,1.5519232903216107e-06,3.301758951579359e-06
1849,1.539298523312027e-06,2.4526547619529993e-06
1850,1.2220192786571715e-06,2.6497450740237127e-06
1851,1.2756989651308004e-06,2.743591323906003e-06
1852,1.5840156546431672e-06,2.7344289748043593e-06
1853,1.6166019918273378e-06,2.9310240989843805e-06
1854,1.4360816216196781e-06,2.8015022763838715e-06
1855,1.7979903113030105e-06,2.9294292005488387e-06
1856,1.812533945155792e-06,2.3302527658586314e-06
1857,1.770035183312757e-06,2.3880342823190404e-06
1858,1.914895452870269e-06,2.7600333609711925e-06
1859,1.8591524533206893e-06,2.6163586852590015e-06
1860,1.9251635201555928e-06,2.7911667714874966e-06
1861,1.9288291834840265e-06,2.9144655826485177e-06
1862,1.8026765253864596e-06,2.852656450613722e-06
1863,1.7641001193169359e-06,2.7929918573477153e-06
1864,1.7898718951414594e-06,2.6207982983805778e-06
1865,1.7490633963390678e-06,2.9107126522376348e-06
1866,1.8270376607176786e-06,2.289757347284649e-06
1867,1.8125251433076528e-06,2.361378150794735e-06
1868,1.8361512310605121e-06,2.5208177483193595e-06
1869,1.8352264561372067e-06,2.2532557366616857e-06
1870,1.6852369242315035e-06,2.742595476945553e-06
1871,1.6154811071089625e-06,2.1306080846272835e-06
1872,1.7216775152206765e-06,2.4370776472437683e-06
1873,1.4905151246580317e-06,2.1789055892895703e-06
1874,1.5283050114334173e-06,2.238088629979984e-06
1875,1.6964327826940462e-06,2.1335574302838722e-06
1876,1.6547942500722002e-06,2.3712470422765364e-06
1877,1.775042161256124e-06,2.1467496083005244e-06
1878,2.2719050463138046e-06,2.418654908353801e-06
1879,1.9769776749001267e-06,2.2085210105160513e-06
1880,1.8605336293830987e-06,2.2180075660571674e-06
1881,2.2563035102507456e-06,1.974614097122185e-06
1882,2.0159161078225907e-06,1.965335258091727e-06
1883,1.9097042383009466e-06,2.01902880192506e-06
1884,2.049826843375513e-06,1.9349574031934935e-06
1885,2.0587360900492513e-06,2.163799955212653e-06
1886,2.0889863341366777e-06,2.09995709354871e-06
1887,1.9893632776657455e-06,1.9306029805932212e-06
1888,2.0581634512240043e-06,2.231896267801403e-06
1889,2.110724487636162e-06,2.019253660279219e-06
1890,1.797868172559447e-06,1.7795158981925852e-06
1891,1.9721835933239618e-06,1.6120402825947622e-06
1892,1.9024934863054455e-06,1.9332092691115577e-06
1893,1.771160555996687e-06,1.7834773906599821e-06
1894,1.973011842792971e-06,1.8079116124170014e-06
1895,1.8687797744831869e-06,1.8320663066617726e-06
1896,1.832206883989329e-06,1.5921978082644728e-06
1897,1.7724862146906162e-06,1.3698603318346159e-06
1898,1.9317623554115926e-06,1.6296061851051036e-06
1899,1.8849042131563465e-06,1.5858622610664952e-06
1900,1.7197959465420354e-06,1.6138984619828989e-06
1901,1.697858832194754e-06,1.5709944598540915e-06
1902,1.5025468886875615e-06,1.2968059870388515e-06
1903,1.870096280498501e-06,1.4834405490660174e-06
1904,1.856932946964207e-06,1.6317362394602242e-06
1905,1.7293703589160714e-06,1.5791922685082227e-06
1906,1.7901761788507997e-06,1.3616656069359578e-06
1907,1.8930806122696708e-06,1.4610817551385935e-06
1908,1.9910771698050667e-06,1.3850117177582888e-06
1909,1.9539492637221656e-06,1.574381538915759e-06
1910,2.117352416952656e-06,1.3413818642504793e-06
1911,1.8514902437871683e-06,1.3577594799585313e-06
1912,1.9066481815599445e-06,1.3825803950595628e-06
1913,1.987030294969827e-06,1.3177929751861939e-06
1914,1.9387073528776e-06,1.5590019764033514e-06
1915,1.7188132179768445e-06,2.465713485833021e-06
1916,1.5734045568649435e-06,2.338131984913616e-06
1917,2.125293070420753e-06,1.992599351297031e-06
1918,1.8584956933409558e-06,2.118087785163425e-06
