year,grands_ADJ amas_NOUN
1800,4.464713470042625e-07
1801,2.3573707608193217e-07
1802,3.110597788236191e-07
1803,6.026548362569883e-07
1804,3.262843222273659e-07
1805,4.2358877294645936e-07
1806,1.6425514104412287e-07
1807,4.7259453594961087e-07
1808,3.580396992219903e-07
1809,3.388545906091167e-07
1810,2.2465216886757844e-07
1811,4.287101376121427e-07
1812,2.453831484672264e-07
1813,1.8692320225000003e-07
1814,3.2725441201364447e-07
1815,2.211723284517575e-07
1816,3.1519414278591285e-07
1817,2.926921922608017e-07
1818,3.06374261072051e-07
1819,2.887942969209689e-07
1820,4.082069438027247e-07
1821,2.3568956919461925e-07
1822,3.1680946221968043e-07
1823,1.9666546791086148e-07
1824,2.745282756677625e-07
1825,3.002656114858837e-07
1826,1.7527888473978237e-07
1827,2.2582318592867523e-07
1828,2.7883794473382295e-07
1829,2.914879928539449e-07
1830,3.2771663427411113e-07
1831,2.806417001011141e-07
1832,3.179542886755371e-07
1833,3.4287540984223597e-07
1834,2.6510068096285977e-07
1835,3.1235552455655125e-07
1836,2.540443517773383e-07
1837,2.29610407131986e-07
1838,2.297626906511141e-07
1839,2.2093061602390662e-07
1840,2.0255609456398815e-07
1841,3.07544269162463e-07
1842,1.596567074102495e-07
1843,1.9315599786295934e-07
1844,1.9539278639513213e-07
1845,1.6796485624581692e-07
1846,1.8675859791983385e-07
1847,2.0116723931096203e-07
1848,1.456185145798372e-07
1849,1.0977033326753372e-07
1850,1.3034872381467721e-07
1851,1.4188765362632694e-07
1852,1.3997671999277372e-07
1853,1.8154672432046937e-07
1854,1.288524771325683e-07
1855,1.7300615695603483e-07
1856,1.4444357532283902e-07
1857,1.9818926944026316e-07
1858,1.189163256754e-07
1859,1.0337112144043203e-07
1860,1.5791285079558293e-07
1861,1.362913479852068e-07
1862,1.2198563581478084e-07
1863,9.889349428249261e-08
1864,1.702128429315053e-07
1865,1.3932259435023298e-07
1866,1.3234466678113677e-07
1867,1.3296703116338904e-07
1868,1.7635350957334595e-07
1869,9.718203131114933e-08
1870,1.3245652041860012e-07
1871,1.9542966356311808e-07
1872,8.708168763860158e-08
1873,1.735941310698763e-07
1874,1.4339062204271613e-07
1875,1.172913073332893e-07
1876,1.3784914187908726e-07
1877,1.3359202455376362e-07
1878,1.4554203175976e-07
1879,1.362379578040418e-07
1880,9.498412367747733e-08
1881,1.0667936578556692e-07
1882,9.117877652897732e-08
1883,1.529279956002938e-07
1884,1.2015088657335582e-07
1885,8.508239091042924e-08
1886,7.615087582735214e-08
1887,9.793387079071181e-08
1888,6.150396103521416e-08
1889,9.460356409363158e-08
1890,1.035593086839981e-07
1891,1.089991599201312e-07
1892,1.0781841552898186e-07
1893,1.244000173983295e-07
1894,1.2035940244459198e-07
1895,7.101964882849643e-08
1896,9.14039475219397e-08
1897,1.3343174032343086e-07
1898,7.921696720813998e-08
1899,8.125540063019798e-08
1900,7.267474444461186e-08
1901,1.011561749919565e-07
1902,5.646826295446772e-08
1903,9.180374149764248e-08
1904,7.793206435735556e-08
1905,7.534708146295088e-08
1906,8.487904779030941e-08
1907,7.25140907320565e-08
1908,8.594930989147542e-08
1909,8.471514689745163e-08
1910,8.22999197680474e-08
1911,6.70367157340479e-08
1912,5.053138707467042e-08
1913,9.386291566215732e-08
1914,8.437896781288146e-08
1915,6.715034572835066e-08
1916,2.4172416956957932e-08
1917,5.483212106582869e-08
1918,5.858051821405752e-08
1919,4.511845830279526e-08
1920,5.6791737534922504e-08
1921,6.512562578109282e-08
1922,8.92730227519678e-08
1923,4.989495749896378e-08
1924,7.86389122708897e-08
1925,1.0668232874877503e-07
1926,1.0031524766418443e-07
1927,4.1252132376712325e-08
1928,8.341010016010841e-08
1929,5.23599084090165e-08
1930,5.7769820926978355e-08
1931,6.044839295782367e-08
1932,5.589363638591749e-08
1933,5.391211388428019e-08
1934,7.548395331014035e-08
1935,6.941604624444153e-08
1936,4.00115567344983e-08
1937,7.051026074123001e-08
1938,5.8343463393839556e-08
1939,8.564668263488784e-08
1940,3.0429394115571995e-08
1941,2.066051862925633e-08
1942,3.944475324146879e-08
1943,4.935499831049128e-08
1944,4.819779064746399e-08
1945,8.496165548876888e-08
1946,5.8468636154884734e-08
1947,5.006765846360395e-08
1948,4.1313175103141475e-08
1949,4.515823803785679e-08
1950,3.084254984742074e-08
1951,2.3455083209000804e-08
1952,2.8470971358274255e-08
1953,3.878577814475648e-08
1954,3.615838295445428e-08
1955,4.880516257799172e-08
1956,2.703553825256222e-08
1957,2.5621609722747962e-08
1958,6.783239570040678e-08
1959,5.658045765244424e-08
1960,4.3601250609981435e-08
1961,3.821487482014163e-08
1962,4.693047728210331e-08
1963,4.78487933719407e-08
1964,4.380457241381919e-08
1965,2.407699106754535e-08
1966,3.600398557068729e-08
1967,4.48660522067712e-08
1968,1.661823922916028e-08
1969,5.223021304345821e-08
1970,2.8971967935831344e-08
1971,2.1067430466814585e-08
1972,2.1546616935097518e-08
1973,2.0398854161385316e-08
1974,1.8564387360697765e-08
1975,3.5982324675387645e-08
1976,1.5997875024709174e-08
1977,1.4104276857551667e-08
1978,2.4950484345254154e-08
1979,1.345953837272873e-08
1980,2.615169236719339e-08
1981,2.213942273954217e-08
1982,9.311253101884631e-09
1983,1.4525227243211702e-08
1984,2.7255339318799088e-08
1985,1.3835783185811579e-08
1986,1.558566253834215e-08
1987,1.4665960890170027e-08
1988,1.679035044332977e-08
1989,1.6464365870660913e-08
1990,2.0160008773473237e-08
1991,1.0550637696837839e-08
1992,1.8182815253453555e-08
1993,1.2740176913439427e-08
1994,1.5297286992677073e-08
1995,1.3013881527967897e-08
1996,6.4057106285986265e-09
1997,1.1987236092636522e-08
1998,9.059445638115449e-09
1999,8.683382013430219e-09
2000,1.0161472552283612e-08
2001,1.4896119893137438e-08
2002,1.445803121669087e-08
2003,1.1667384391955693e-08
2004,6.166707589017051e-09
2005,1.3511249008502091e-08
2006,1.4824403926638752e-08
2007,1.1983438241713884e-08
2008,9.79211112195344e-09
2009,8.105927484791664e-09
2010,8.502827775203059e-09
2011,9.55992973672437e-09
2012,1.2936160587173617e-08
2013,1.0877587719448911e-08
2014,7.57905826986871e-09
2015,1.9284206231873213e-08
