year,certains_DET amas_NOUN
1800,1.5720822865716855e-08
1801,7.143547753329926e-09
1802,1.1189200677108602e-08
1803,5.851017448321727e-09
1804,0.0
1805,0.0
1806,8.068673729155762e-08
1807,0.0
1808,2.2660739951163578e-09
1809,2.259030518203531e-09
1810,0.0
1811,7.019814951547687e-08
1812,0.0
1813,3.738464204872116e-08
1814,5.034683603355461e-08
1815,0.0
1816,0.0
1817,4.670620334934483e-09
1818,8.344824387052086e-09
1819,1.1386155129855524e-08
1820,2.610625848831205e-08
1821,2.2681422962023134e-08
1822,4.411270992932259e-08
1823,1.1859224713361982e-08
1824,4.210556348027694e-09
1825,7.924898515199175e-09
1826,1.7615968683770689e-09
1827,7.373818444733615e-09
1828,1.1006761724274838e-08
1829,1.5431716349212365e-08
1830,5.218417697960831e-09
1831,3.1182412207897414e-09
1832,1.758896062131754e-08
1833,1.1583628500844156e-08
1834,8.401078055442213e-09
1835,2.117664621437143e-08
1836,6.048674894287842e-09
1837,9.74104752415883e-09
1838,8.20581069760351e-09
1839,1.957613093850341e-08
1840,1.9109065441114126e-09
1841,1.4767261635739715e-08
1842,1.8783142152756227e-08
1843,2.126487963494128e-08
1844,7.683985892015244e-09
1845,6.138250796539069e-09
1846,1.6978054517835517e-08
1847,5.3932236454556914e-09
1848,1.930853255061038e-08
1849,1.1731181137619728e-08
1850,9.504594444820214e-09
1851,1.1608989325395669e-08
1852,9.114764054629632e-09
1853,9.555090496604635e-09
1854,9.352196128631363e-09
1855,6.8990182455763716e-09
1856,6.73034605824796e-09
1857,6.8341126091553406e-09
1858,1.468102750479261e-09
1859,1.323965115318515e-08
1860,1.2358396972445007e-08
1861,1.2261505866195677e-08
1862,1.536115412648087e-08
1863,1.2486552236623538e-08
1864,1.9178911792039344e-09
1865,1.7886009118228685e-08
1866,1.3623716377253459e-08
1867,1.3102591012170706e-08
1868,2.9639243948054173e-08
1869,2.1975836372867263e-08
1870,1.834895613228582e-08
1871,3.2925649762205467e-08
1872,1.3304146229131675e-08
1873,1.2570609608797412e-08
1874,1.9716209997966416e-08
1875,1.9453191668628023e-08
1876,1.5719638923883394e-08
1877,1.2369632429454214e-08
1878,1.268208649207736e-08
1879,2.7491964260661916e-08
1880,1.6686399817444908e-08
1881,1.8825769887431676e-08
1882,1.8635078369300118e-08
1883,2.274962040971218e-08
1884,1.386356363042296e-08
1885,2.3848852226393547e-08
1886,1.2906927748801422e-08
1887,1.828098916689669e-08
1888,2.3460273723685532e-08
1889,1.6915869593958632e-08
1890,2.0974037007182034e-08
1891,1.2748439970344805e-08
1892,1.3163875989263829e-08
1893,2.6481191461869003e-08
1894,1.449354058991048e-08
1895,1.9861427391631992e-08
1896,2.0049899074336963e-08
1897,2.5054868069140923e-08
1898,1.9804242246124204e-08
1899,1.879376654301268e-08
1900,2.9069898377365178e-08
1901,2.459045056468767e-08
1902,1.3257766440233354e-08
1903,2.5381034829408122e-08
1904,2.20359632763234e-08
1905,2.4771643958310108e-08
1906,2.1091155488761615e-08
1907,3.0342776069502975e-08
1908,2.3083528866152392e-08
1909,1.1552065082298668e-08
1910,2.3514262537105424e-08
1911,2.3941683302552974e-08
1912,2.7609932118366487e-08
1913,4.401481490390324e-08
1914,1.8081208752462885e-08
1915,1.767114277129167e-08
1916,7.691223435912775e-09
1917,1.754627876326964e-08
1918,1.378365155346728e-08
1919,1.749491218561161e-08
1920,3.710393414735336e-08
1921,2.49900664606173e-08
1922,2.5084980759260134e-08
1923,3.290944006195673e-08
1924,3.3518224196171786e-08
1925,1.979672092922158e-08
1926,3.4553029770734156e-08
1927,2.3413372796099452e-08
1928,2.5137291359556002e-08
1929,2.0052731919406597e-08
1930,1.8906486376479847e-08
1931,1.7108034988666532e-08
1932,8.767629400274757e-09
1933,2.6382522833046096e-08
1934,2.6359476379411717e-08
1935,1.795242621227544e-08
1936,3.516167312866969e-08
1937,1.6368453259474336e-08
1938,2.7226949583791793e-08
1939,2.5999884911698246e-08
1940,2.02862628917444e-08
1941,2.066051862925633e-08
1942,4.247896434605991e-08
1943,2.6129116870166058e-08
1944,2.2492303131116387e-08
1945,1.742803235060819e-08
1946,1.5313214696277555e-08
1947,1.7881306435540978e-08
1948,2.8266908813634473e-08
1949,1.668891380646187e-08
1950,2.4461330738745346e-08
1951,1.5992102975204148e-08
1952,9.490323193972472e-09
1953,3.016671712430252e-08
1954,2.443134095031496e-08
1955,3.754243049769457e-08
1956,1.4825940475304833e-08
1957,3.534015036166238e-08
1958,2.2335057359157418e-08
1959,2.1702094343822864e-08
1960,2.906749951847587e-08
1961,1.945484662257968e-08
1962,3.107558566028956e-08
1963,1.2932106052687686e-08
1964,1.5818317988802733e-08
1965,2.2435377111662547e-08
1966,1.3847686775037005e-08
1967,1.0846737952263652e-08
1968,1.3923388997305608e-08
1969,1.3625273131978588e-08
1970,1.4715920260144344e-08
1971,2.5691987537435068e-08
1972,7.69522046084603e-09
1973,9.37244637455592e-09
1974,1.6876715580593782e-08
1975,9.709516302081056e-09
1976,2.513951802285419e-08
1977,1.2928920378740827e-08
1978,1.3663359665905261e-08
1979,5.851973239323627e-09
1980,1.6486937370885357e-08
1981,1.8344094465660987e-08
1982,1.1173503788874939e-08
1983,2.147207456282274e-08
1984,1.2177918229383522e-08
1985,1.5640450601317468e-08
1986,1.258841941798039e-08
1987,9.777306797520424e-09
1988,1.1393452181707175e-08
1989,6.585746503695589e-09
1990,1.4711357687602344e-08
1991,4.68917216167597e-09
1992,9.366905029395411e-09
1993,1.7171543575944526e-08
1994,5.274926495602017e-09
1995,3.253470548525428e-09
1996,3.2028553142993132e-09
1997,5.753873266733933e-09
1998,5.244941925219848e-09
1999,6.8553018817141265e-09
2000,7.51065365456327e-09
2001,8.762423675534592e-09
2002,3.504977197366088e-09
2003,2.0834615144238455e-09
2004,4.8452703238499595e-09
2005,5.854874252086972e-09
2006,7.823990677557902e-09
2007,5.592271368204393e-09
2008,5.108927669805752e-09
2009,3.337734755248789e-09
2010,4.723793189942427e-09
2011,3.4415747474092484e-09
2012,3.744678012118641e-09
2013,5.578250084070646e-09
2014,2.3819896333154844e-09
2015,3.1032056507784844e-09
2016,6.421154274960372e-09
2017,4.77966166645416e-09
2018,3.3559066081600974e-09
2019,3.826481576041374e-09
