year,aux_ADP airs_NOUN,aux_ADP guerres_NOUN
1800,1.5720823043352539e-07,4.4018302824966327e-07
1801,1.7620750725200196e-07,6.929241156417021e-07
1802,2.0364345232337655e-07,7.452007650954329e-07
1803,2.262393496987869e-07,6.299595529668522e-07
1804,1.6808586700278738e-07,7.736893365972719e-07
1805,1.478296409729296e-07,7.078765307255708e-07
1806,2.4494187300660997e-07,5.129370981293846e-07
1807,8.54086508184082e-08,3.7010417486271763e-07
1808,7.931259204951857e-08,6.345007346197917e-07
1809,1.3102376783535874e-07,7.274078281938046e-07
1810,1.8721014161116045e-07,4.773858677253884e-07
1811,1.1783261077980001e-07,6.744036600281333e-07
1812,9.601949813031752e-08,6.374627563587865e-07
1813,1.35159851311073e-07,5.262607487566129e-07
1814,1.384537871018665e-07,9.880566187447926e-07
1815,4.855002422310406e-08,9.871838626551721e-07
1816,9.270415368689555e-08,7.277276381500997e-07
1817,1.4945985393755024e-07,8.749628364057571e-07
1818,1.1563542035020191e-07,1.0633690310513089e-06
1819,1.8528379808202544e-07,8.425754890462045e-07
1820,1.6257079860082513e-07,1.0086508464013377e-06
1821,1.3608853222102368e-07,9.802319058671571e-07
1822,1.5639960793123464e-07,2.2978712763688236e-06
1823,9.388552868472289e-08,1.5347813056010295e-06
1824,1.2800091475639874e-07,8.336901702321597e-07
1825,1.1799293964109836e-07,7.854455075229083e-07
1826,1.2595417842042878e-07,1.3264824332281933e-06
1827,6.267745611410191e-08,8.470673821814323e-07
1828,1.0823315454988602e-07,7.264462452138964e-07
1829,9.51622528555518e-08,8.958969133221473e-07
1830,1.7533884189013804e-07,1.0760377335827798e-06
1831,1.309661297188569e-07,1.144394525809389e-06
1832,3.125422969318947e-07,9.227439239367641e-07
1833,1.3089500561225265e-07,7.459856501412787e-07
1834,1.1388127951761362e-07,9.297192926638331e-07
1835,1.459675971204888e-07,1.0119412152675977e-06
1836,1.196293524241554e-07,1.5874411566363378e-06
1837,1.0715152298779174e-07,1.0617741893481636e-06
1838,1.205622943700746e-07,2.090587944536537e-06
1839,1.3703291867894762e-07,1.2151184405340132e-06
1840,1.2038711361128662e-07,1.2535547490588606e-06
1841,8.154096420298629e-08,1.0658110278782829e-06
1842,1.3483613425790963e-07,1.1296718032127728e-06
1843,1.3290549683020458e-07,1.002402792993351e-06
1844,1.3007890231619967e-07,1.1783940809806381e-06
1845,8.816759988761191e-08,1.0077891712256815e-06
1846,9.777017462297977e-08,1.1439695413173467e-06
1847,8.46736130100112e-08,1.0484426793411217e-06
1848,1.3757328987118456e-07,1.2309189063586246e-06
1849,9.133561951202296e-08,9.167080057270738e-07
1850,1.1948632749891885e-07,1.0685880162952799e-06
1851,8.513259319720134e-08,9.7902485718393e-07
1852,1.367214490510804e-07,9.342632794062666e-07
1853,9.913406562311877e-08,1.0415049143119859e-06
1854,7.79349695889664e-08,1.0567981210130029e-06
