year,plus_ADV athée_ADJ,plus_ADV gâté_ADJ
1800,1.2576657937302116e-08,6.288328968651058e-09
1801,0.0,1.6668277424969347e-08
1802,0.0,2.9091921760482364e-08
1803,1.950339223455444e-09,2.9255089017965474e-08
1804,0.0,2.2246657849223084e-08
1805,0.0,5.685755422035754e-09
1806,5.76333825108577e-09,0.0
1807,0.0,8.540865792383556e-09
1808,2.2660739951163578e-09,6.798221985349073e-09
1809,0.0,2.9367397402779716e-08
1810,0.0,3.978215445954447e-08
1811,1.0028307073639553e-08,2.5070768572277302e-08
1812,0.0,1.8670457180292033e-08
1813,0.0,1.4378708002027452e-08
1814,3.1466771410748606e-09,0.0
1815,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,6.952811659743929e-09
1817,6.227493631882908e-09,1.2454987263765815e-08
1818,8.344824387052086e-09,1.1921177378582115e-09
1819,1.035105001712111e-09,8.280840013696888e-09
1820,8.306536791735653e-09,3.5599443393152796e-09
1821,1.0847637454958203e-08,9.86148829262845e-10
1822,1.303330066093622e-08,5.012807946513931e-09
1823,1.9765373782121287e-09,1.087095569118901e-08
1824,1.0947446504872005e-08,0.0
1825,8.805443041381977e-10,6.780191341704267e-08
1826,0.0,1.145037931138404e-08
1827,2.7651818612639545e-09,7.373818444733615e-09
1828,9.172301251858528e-10,9.172301140836225e-09
1829,8.57317605795771e-10,1.0287811491593857e-08
1830,0.0,4.174734336004349e-09
1831,7.795603274018958e-09,4.677361609140007e-09
1832,0.0,4.058990921151917e-09
1833,0.0,1.1583628278799551e-08
1834,1.4001796166951408e-08,1.4001796166951408e-08
1835,3.781543966852041e-09,1.4369867074037757e-08
1836,4.032449929525228e-09,2.688300027031687e-09
1837,8.349468672008697e-09,8.349468672008697e-09
1838,3.787297142565649e-09,1.3255539776935166e-08
1839,0.0,1.1885507689157748e-08
1840,1.2739377330817092e-09,1.7835128929277744e-08
1841,1.3483152372373297e-08,1.926164561183441e-09
1842,2.683306021822318e-09,3.3541325272778977e-09
1843,1.7130041385371442e-08,8.860366662588604e-09
1844,1.097712254427563e-09,1.1525978393933656e-08
1845,8.37034175305007e-09,2.0088821273134272e-08
1846,5.269050973311096e-09,7.025401593807601e-09
1847,5.393223645455691e-10,3.775256551818984e-09
1848,9.65426583121598e-09,8.045221711050488e-10
1849,4.1897072478036534e-09,6.703531951757213e-09
1850,0.0,1.0183494048021657e-08
1851,1.2898877521649865e-09,7.094382858952031e-09
1852,8.463708844885787e-09,5.208436348880241e-09
1853,8.957897534855874e-09,5.971931837933653e-09
