year,tels_ADJ amas_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,1.2359254952798437e-08
1805,0.0
1806,0.0
1807,0.0
1808,9.064295980465431e-09
1809,0.0
1810,0.0
1811,1.7549536934780008e-08
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,0.0
1818,4.768470951432846e-09
1819,1.449147024601416e-08
1820,2.0173018810965004e-08
1821,2.9584463767662328e-09
1822,0.0
1823,0.0
1824,8.421112696055388e-09
1825,1.1447076175841175e-08
1826,0.0
1827,3.6869092223668076e-09
1828,9.172301251858528e-10
1829,2.6576845613135447e-08
1830,5.218417697960831e-09
1831,0.0
1832,2.705993873419743e-09
1833,1.1583628500844156e-09
1834,9.334530925997342e-10
1835,3.025235173481633e-09
1836,2.1506400216253496e-08
1837,4.174734336004349e-09
1838,8.837027110075724e-09
1839,6.9914751765765e-10
1840,1.2739377330817092e-09
1841,1.926164561183441e-09
1842,0.0
1843,6.497602011990011e-09
1844,4.390849017710252e-09
1845,2.2320911785556063e-09
1846,2.3418005312692003e-09
1847,1.0247124926365814e-08
1848,4.82713291560799e-09
1849,8.379414495607307e-09
1850,6.788996032014438e-10
1851,4.514607354622058e-09
1852,4.557382027314816e-09
1853,1.1943863675867306e-09
1854,5.7152309551611324e-09
1855,6.368324534378189e-09
1856,7.248064815001953e-09
1857,6.345961978126979e-09
1858,2.4468380654951716e-09
1859,5.601390462572908e-09
1860,3.661747127736703e-09
1861,7.073945429425521e-09
1862,3.162590411776023e-09
1863,2.4973103585068657e-09
1864,0.0
1865,6.589582213223366e-09
1866,4.865612912574591e-10
1867,1.94112459439566e-09
1868,3.951899252285784e-09
1869,4.883519366671862e-09
1870,4.013834153937523e-09
1871,3.080141297573391e-08
1872,8.4662747923403e-09
1873,1.616221290134945e-08
1874,5.974609251779839e-09
1875,5.721527140956084e-10
1876,7.859819461941697e-09
1877,3.0924081073635534e-09
1878,1.8117265465633636e-09
1879,1.5273313280772527e-08
1880,7.701415505323439e-09
1881,6.9725074602899895e-09
1882,2.6621540527571597e-09
1883,1.2638677882037541e-09
1884,5.281357573494461e-09
1885,1.0313017106966527e-08
1886,6.453463874400711e-10
1887,6.528924623161458e-10
1888,1.9021844099853524e-09
1889,6.265136853755848e-09
1890,5.243509182406569e-09
1891,6.3742202627281586e-09
1892,1.6298132621272998e-08
1893,1.4780200174868696e-08
1894,8.822155450616265e-09
1895,3.0093072478365457e-09
1896,2.948514543632541e-09
1897,2.330685422435863e-09
1898,2.8291773368493978e-09
1899,2.7637891975018647e-09
1900,1.349673794948103e-08
1901,3.912117296778206e-09
1902,8.838511256215043e-09
1903,1.6200660812870638e-09
1904,3.7622376325430196e-09
1905,1.2901897328276846e-08
1906,9.259531807970234e-09
1907,4.114274698707732e-09
1908,5.40252820258047e-09
1909,6.60118004702781e-09
1910,7.481810726517324e-09
1911,3.7242617878519013e-09
