year,aux_ADP août_NOUN,aux_ADP gouttes_NOUN
1800,0.0,1.8864987794131594e-08
1801,0.0,1.0000966677026213e-07
1802,2.2378401354217203e-09,2.6854081625060644e-08
1803,0.0,3.1205427575287104e-08
1804,0.0,2.2246657849223084e-08
1805,5.685755422035754e-09,1.02343598484822e-07
1806,0.0,3.458002950651462e-08
1807,0.0,8.540865792383556e-09
1808,4.5321479902327155e-09,1.1330369531492579e-08
1809,0.0,6.7770917766551975e-09
1810,0.0,1.8721014516387413e-08
1811,0.0,2.5070767684098882e-08
1812,5.3344164641089264e-09,5.3344164641089264e-09
1813,2.8757416448144113e-09,2.5881674803329702e-08
1814,0.0,4.405347908686963e-08
1815,0.0,2.6972236000233352e-08
1816,0.0,3.0128852301913867e-08
1817,0.0,7.940054236321714e-08
1818,1.1921177378582115e-09,5.0068944545955674e-08
1819,2.070210003424222e-09,6.831693011299933e-08
1820,0.0,4.034603673375159e-08
1821,0.0,1.8736827200882544e-08
1822,0.0,8.02049271442229e-09
1823,0.0,1.9765374448255102e-08
1824,1.6842225392110777e-09,4.6316120716483056e-08
1825,2.641632912414593e-09,1.8491430608946757e-08
1826,8.807984341885344e-10,3.699353268160621e-08
1827,9.217273055917019e-10,2.1199728195142598e-08
1828,0.0,2.935136400594729e-08
1829,8.57317605795771e-10,2.3147574523818548e-08
1830,3.1310507520032616e-09,1.5655254204105518e-08
1831,0.0,8.419251429359065e-08
1832,0.0,3.3824925083081325e-08
1833,0.0,3.0117434435261714e-08
1834,1.8669061851994684e-09,2.7070139907436896e-08
1835,9.832014313815307e-09,2.193295500774184e-08
1836,0.0,4.502902689607069e-08
1837,6.957890930081589e-10,2.7135774516295896e-08
1838,1.2624323808552163e-09,2.209256599883247e-08
1839,0.0,1.9576131049525713e-08
1840,1.2739377330817092e-09,2.0383004062374255e-08
1841,0.0,4.558589417058556e-08
1842,0.0,3.3541326160957396e-08
1843,0.0,4.4892523476391943e-08
1844,5.488561272137815e-10,2.3051957898090336e-08
1845,5.580227946389016e-10,3.571346046671309e-08
1846,2.3418005312692003e-09,2.5759806732139623e-08
