year,derniers_ADJ os_NOUN
1800,9.432493897065797e-09
1801,1.0239084957675004e-07
1802,2.2378401354217203e-08
1803,1.2872239096850535e-07
1804,9.88740396223875e-08
1805,1.7625842474444653e-07
1806,2.881669125542885e-09
1807,8.540865792383556e-09
1808,2.2660739951163578e-09
1809,9.036122072814123e-09
1810,1.1466621430145096e-07
1811,2.5070767684098882e-09
1812,2.6672083208723052e-08
1813,5.751483289628823e-09
1814,1.5733386149463513e-08
1815,1.348611817775236e-07
1816,6.257530316133852e-08
1817,5.60474440192138e-08
1818,2.384235386898581e-08
1819,1.8838910875729198e-07
1820,3.20394981656591e-08
1821,8.480879643002481e-08
1822,5.213320264374488e-08
1823,5.336650943377208e-08
1824,6.905312233129735e-08
1825,1.4440927031955653e-07
1826,3.699353356978463e-08
1827,7.650336897313537e-08
1828,9.722639049414283e-08
1829,8.230249193275085e-08
1830,2.5048406016026092e-08
1831,7.639690835503643e-08
1832,9.8768779821512e-08
1833,3.59092489077284e-08
1834,8.027696907220161e-08
1835,9.756383434478266e-08
1836,4.099657502365517e-08
1837,7.862416850912268e-08
1838,4.670999942391063e-08
1839,8.87917366299007e-08
1840,3.4396318682183846e-08
1841,4.687000298986277e-08
1842,3.957876515414682e-08
1843,2.9534556134080958e-08
1844,3.0187088384536764e-08
1845,4.631589334280761e-08
1846,4.8006910446929396e-08
1847,1.941560512364049e-08
1848,1.126331028444838e-08
1849,4.1897074254393374e-08
1850,2.1724787302446202e-08
1851,2.4507867735223954e-08
1852,2.9948509450150596e-08
1853,5.2552998397459305e-08
1854,2.7017454939937124e-08
1855,3.661786607267459e-08
1856,1.2425253714809514e-08
1857,3.9540225316159194e-08
1858,3.2787628612140907e-08
1859,7.638259802433822e-09
1860,4.531412045594152e-08
1861,1.4619487842537637e-08
1862,6.325180823552046e-09
1863,2.9967726078439227e-09
1864,3.16452037907311e-08
1865,1.1296426905005319e-08
1866,2.4814625021463144e-08
1867,3.979305418511103e-08
1868,1.531360993567432e-08
1869,1.4162205630441349e-08
1870,4.0711746862598375e-08
1871,4.6733180880664804e-08
1872,1.0280476914203973e-08
1873,1.0176207432266438e-08
1874,5.496640298474631e-08
1875,1.94531928343622e-08
1876,4.413590914964516e-08
1877,1.7317484335421796e-08
1878,1.3889904337816006e-08
1879,2.5659165459046562e-08
1880,6.417846254436199e-09
1881,1.1156012114099667e-08
1882,9.317538740560849e-09
1883,1.64302811356265e-08
1884,1.9805090900604227e-08
1885,2.2559724754955823e-08
1886,1.871504551331782e-08
1887,8.48760173255414e-09
1888,2.6630582183884144e-08
1889,5.6386229019267375e-09
1890,1.5730527991308918e-08
1891,2.8046567734918426e-08
1892,9.402768341715273e-09
1893,1.539604177480669e-08
1894,1.1342770278588432e-08
1895,6.018614495673091e-09
1896,8.255840455717589e-09
1897,7.574727511894253e-09
1898,1.867257104493092e-08
1899,1.3818945987509323e-08
1900,6.22926377147337e-09
1901,2.235495566438317e-09
1902,0.0
1903,1.1340462791054051e-08
1904,1.6123875568041512e-09
1905,1.0837593933388234e-08
1906,2.572092316910357e-09
1907,5.142843484406967e-09
1908,1.6698722404839828e-08
1909,6.60118004702781e-09
1910,2.67207544979442e-09
1911,7.448523575703803e-09
1912,5.730363294986773e-09
1913,8.484783542428431e-09
1914,4.68772043404897e-09
1915,1.0602685840410686e-08
1916,1.0987462051303964e-09
1917,3.289927441585405e-09
1918,2.2972752589112133e-09
1919,7.366278698128781e-09
1920,3.786115865267448e-09
1921,9.844571380313027e-09
1922,2.951174193910333e-09
1923,1.0615948120573648e-08
1924,3.867487219366694e-09
1925,9.898360353588487e-09
1926,6.687683296036084e-09
1927,5.574612327308159e-09
1928,4.570416489713125e-09
1929,1.1140406375176326e-09
1930,1.0503603542488804e-09
1931,1.1405356659111021e-09
1932,2.1919073223131136e-09
1933,1.0323596200123575e-08
1934,1.0783422155213884e-08
1935,0.0
1936,2.424942913137329e-09
1937,3.777335333410292e-09
1938,5.186085783037697e-09
1939,9.176430282309411e-09
1940,2.5357829169792012e-09
1941,8.854508237732261e-09
1942,1.2136847082899749e-08
1943,5.806470415592457e-09
1944,0.0
1945,4.357008087652048e-09
1946,6.960552134671616e-09
1947,3.5762612871081956e-09
1948,7.610321262063735e-09
1949,6.8719057111366055e-09
1950,9.571825110299415e-09
1951,1.0661401761424827e-09
1952,1.370824520563474e-08
1953,6.464296653518886e-09
1954,2.9317608341017376e-09
1955,3.754243138587299e-09
1956,5.232684952005684e-09
1957,1.7670075402875796e-09
1958,1.6544486891589827e-09
1959,5.425523585955716e-09
1960,4.152500121534786e-09
1961,2.08444772553662e-09
1962,3.170978146727066e-09
1963,1.939815863494232e-09
1964,3.041984220075733e-09
1965,3.2832261354087677e-09
1966,4.431259803538978e-09
1967,4.930335695263466e-09
1968,9.88111459321317e-09
1969,9.537691525451919e-09
1970,4.598724956395017e-09
1971,5.652237344833111e-09
1972,2.565073486948677e-09
1973,1.102640756478479e-09
1974,4.500457340128605e-09
1975,5.140332159925265e-09
1976,5.713526984862938e-09
1977,1.1753563677885381e-09
1978,2.970295565063452e-09
1979,4.096381456264453e-09
1980,2.8425752862659692e-09
1981,6.325549528618524e-10
1982,3.1037510339615437e-09
1983,1.2630632095778083e-09
1984,5.799008495621649e-10
1985,1.2031116103372597e-09
1986,2.997242676272549e-09
1987,4.888653482026939e-09
1988,5.396898483667201e-09
1989,5.488122178931576e-10
1990,0.0
1991,0.0
1992,1.1019888335184191e-09
1993,1.661762283333701e-09
1994,1.0549853213248639e-09
1995,0.0
1996,1.067618438099771e-09
1997,1.438468344439059e-09
1998,3.814503379828693e-09
1999,9.140402323914998e-10
2000,2.2090156370779823e-09
