year,ses_DET oeufs_NOUN,ses_DET gueux_NOUN
1800,6.854278495893595e-07,0.0
1801,8.619880809135338e-07,0.0
1802,9.264658160645922e-07,0.0
1803,3.2453644394081493e-06,0.0
1804,7.34139717906146e-07,2.4718509461507665e-09
1805,2.3311597452391197e-07,0.0
1806,7.780506727783632e-08,0.0
1807,1.822051274302794e-07,0.0
1808,1.7448769229488903e-07,0.0
1809,1.0165637065462363e-07,2.259030518203531e-09
1810,1.4976810946976116e-07,0.0
1811,7.521230127593981e-08,5.0141535368197765e-09
1812,5.067695596494559e-08,0.0
1813,8.339650969801937e-08,2.8757416448144113e-09
1814,1.3530711440168375e-07,0.0
1815,5.39444717784221e-08,0.0
1816,1.8309069993449612e-07,0.0
1817,2.2263290322399598e-07,0.0
1818,3.0041366372302036e-07,0.0
1819,2.3910925150971707e-07,1.035105001712111e-09
1820,4.9839219862235495e-08,0.0
1821,5.0293590514449704e-08,1.97229765852569e-09
1822,6.015369535816717e-08,0.0
1823,7.016707892493201e-08,0.0
1824,7.831634896149353e-08,0.0
1825,5.1952114388242876e-08,8.805443041381977e-10
1826,9.7768624973682e-08,0.0
1827,7.558163755971847e-08,0.0
1828,6.51233389437067e-08,9.172301251858528e-10
1829,5.3153690893203986e-08,0.0
1830,7.723258477199124e-08,2.0873671680021744e-09
1831,3.741889442743229e-08,6.236482441579483e-09
1832,4.0589908545385356e-08,0.0
1833,2.89590715851773e-08,0.0
1834,4.947301368574131e-08,2.8003592777992026e-09
1835,4.0840674842002045e-08,1.5126175867408165e-09
1836,6.048675027514605e-08,0.0
1837,5.635891620059397e-08,2.7831562610103333e-09
1838,5.7440673995046154e-08,6.943378316748294e-09
1839,5.663094793106893e-08,1.5381245721535208e-08
1840,3.3759350426265655e-08,5.095750821304534e-09
1841,5.521671653241356e-08,1.926164561183441e-09
1842,1.0062397848287219e-07,4.024959032733477e-09
1843,4.961805377678985e-08,0.0
1844,3.293136835447186e-08,1.097712254427563e-09
1845,4.296775690804111e-08,1.6740683839167048e-09
1846,4.332331005052481e-08,1.1709002656346001e-09
1847,5.3932236454556914e-08,4.314578916364553e-09
1848,3.700802103656642e-08,0.0
1849,4.5248841340495005e-08,3.3517659758786067e-09
1850,3.530277759011824e-08,6.788996032014438e-09
1851,2.3862922748918436e-08,6.449438760824933e-10
1852,5.0131199635927715e-08,1.9531636308300904e-09
1853,6.628844229084052e-08,3.5831591027601917e-09
1854,1.922395914677466e-08,1.0391328686409906e-08
1855,3.078023524949458e-08,3.714855978387277e-09
1856,2.226191442300518e-08,4.141751386299575e-09
1857,2.8800904106063285e-08,1.1715621583974212e-08
1858,1.5659764096565e-08,6.361778659424999e-09
1859,3.920973368209957e-08,1.018434669930457e-08
1860,7.140407021211104e-08,1.6935580493537827e-08
1861,2.923897507445261e-08,5.659156698811785e-09
1862,4.292087130153277e-08,1.53611532938136e-08
1863,3.096664924484571e-08,7.991393324857654e-09
1864,1.7740493851725603e-08,1.0068929134909865e-08
1865,2.400490611842443e-08,7.0602665935837194e-09
1866,3.259960479340407e-08,6.325296841858119e-09
1867,2.426405742994575e-08,2.426405742994575e-09
1868,2.7169306804353255e-08,2.9639244392143382e-09
1869,3.076617005604021e-08,1.7092317117217704e-08
1870,2.1789385407089412e-08,8.027668307875047e-09
1871,1.911811864374613e-08,7.434824311758348e-09
1872,2.3584624031514068e-08,9.071008943983827e-09
1873,3.1725821969530443e-08,5.986004469882289e-10
1874,3.764003819739514e-08,5.974609140757536e-10
1875,4.1194994082616176e-08,2.860763514966891e-09
1876,2.8416270225761764e-08,6.04601479992084e-09
1877,3.896434142003358e-08,1.8554447978047506e-08
1878,9.058633199110488e-08,1.8117265465633636e-09
1879,2.993569458986656e-08,3.665595160740054e-09
1880,3.016387850607316e-08,2.5671385017744797e-09
1881,3.2770783919833235e-08,9.761510488814906e-09
1882,3.926677161203429e-08,1.2645231750596508e-08
1883,3.5388296737437486e-08,3.159669414998234e-09
1884,3.6969503014461225e-08,5.941527270181268e-09
1885,1.740321664556177e-08,6.445635691854079e-10
1886,4.646494033977433e-08,1.4842966522543577e-08
1887,4.1132223627116105e-08,1.109917185937448e-08
1888,2.4728396663675767e-08,3.804368819970705e-09
1889,3.445825286219062e-08,1.0024218510817917e-08
1890,2.6872984115744458e-08,1.7041404731799048e-08
1891,2.42220359325529e-08,7.011642266796514e-09
1892,4.2625884599800656e-08,1.8805537127519756e-09
1893,4.865149016985981e-08,9.853466487186324e-09
1894,3.843939100356408e-08,5.671385139294216e-09
1895,2.1065151400989635e-08,1.0833506536300774e-08
1896,2.6536631059226323e-08,6.48673198488936e-09
1897,4.836172218247725e-08,1.1653427112179315e-08
1898,2.4330926717830437e-08,6.790025985914383e-09
1899,4.69844163575317e-08,7.185851913504848e-09
1900,3.6856476093305446e-08,1.868779175850932e-08
1901,2.4590450786732276e-08,4.470991132876634e-09
1902,3.0934789674308405e-08,1.1293652679711386e-08
1903,2.8081145186931167e-08,2.7001101354784396e-09
1904,3.9772227289347484e-08,1.1286712897629059e-08
1905,3.044847735056422e-08,8.257214467732865e-09
1906,3.240836221607424e-08,6.173021427358094e-09
1907,3.599990411329301e-08,4.6285588695127444e-09
1908,3.3397444809679655e-08,9.331639239107403e-09
1909,3.850688656825696e-08,3.85068837926994e-09
1910,3.420256600161764e-08,7.481810948561929e-09
1911,3.2454281040372734e-08,1.0640748282497725e-09
1912,3.854971808436858e-08,5.730363461520227e-09
1913,4.4014814126747126e-08,2.015136157940134e-08
1914,3.415339328016742e-08,1.2723813114234872e-08
