year,ces_DET ans_NOUN,ces_DET gants_NOUN
1800,6.288328968651058e-09,4.7162467708972144e-08
1801,2.3811825844433088e-09,4.7623651688866175e-08
1802,2.2378401354217203e-08,5.370816325012129e-08
1803,7.801356893821776e-09,4.095712213825209e-08
1804,4.943701892301533e-09,9.88740396223875e-08
1805,1.1371510844071508e-08,6.53861884636342e-08
1806,2.0171682990621775e-08,4.034336598124355e-08
1807,5.693910232196231e-09,6.263301344233696e-08
1808,2.7192887053217873e-08,9.970725756147658e-08
1809,1.581321384946932e-08,5.873479480555943e-08
1810,4.680253518074551e-09,4.680253340438867e-08
1811,2.2563691359778204e-08,8.273353202525868e-08
1812,1.0668832928217853e-08,4.267533171287141e-08
1813,1.1502966579257645e-08,7.476928232108548e-08
1814,6.293354282149721e-09,4.72001566720337e-08
1815,3.776112933451259e-08,2.6972235778188747e-08
1816,4.6352077731626196e-09,1.8540831092650478e-08
1817,1.71256075987003e-08,5.4490568945908535e-08
1818,1.1921177378582115e-09,5.722165141719415e-08
1819,1.0351050350188018e-08,1.2421260131567635e-08
1820,1.0679833017945839e-08,4.390598018488845e-08
1821,2.1695273910715684e-08,5.9168931088038335e-08
1822,5.413832582235045e-08,3.0076847679083585e-08
1823,7.510842370272997e-08,4.9413433012013286e-08
1824,1.2631669044083083e-08,3.115811697540494e-08
1825,4.402721520690989e-09,2.553578459796313e-08
1826,1.7615968683770689e-09,3.52319382557198e-08
1827,6.452091305675367e-09,3.502563750146237e-08
1828,1.0089531543577834e-08,3.0268594741755805e-08
1829,8.57317605795771e-10,5.915491296804021e-08
1830,3.7572609246083744e-08,3.5485241856036964e-08
1831,1.5591206103948707e-09,4.833273870019639e-08
1832,2.3000947813045514e-08,4.8707888389287746e-08
1833,1.50587169400751e-08,3.4750885724577074e-08
1834,1.1201437333241415e-08,4.480574844478724e-08
1835,3.2521278114927554e-08,7.789980571715205e-08
1836,1.6801875613037254e-08,4.8389400042481157e-08
1837,1.1132625044041333e-08,3.409366522433288e-08
1838,6.122797135965641e-08,2.5879864251621143e-08
1839,3.845311480343838e-08,4.894032556990169e-08
1840,1.5287252685958208e-08,4.586175839094153e-08
1841,1.8619591202195807e-08,5.3290552415319326e-08
1842,4.293289501688946e-08,3.4212151334145346e-08
1843,5.316220019757623e-09,6.615740311133322e-08
1844,1.152597861597826e-08,3.787107294428438e-08
1845,1.0044410192477926e-08,3.571345974506812e-08
1846,1.3465352610708692e-08,3.9810608143397985e-08
1847,1.1325769655456952e-08,4.1527823846365663e-08
1848,7.401603796530765e-08,6.597081636527946e-08
1849,9.217356433666168e-09,4.1897074254393374e-08
1850,1.0862393651223101e-08,3.530277936647508e-08
1851,1.6768540778144825e-08,4.5791014091634e-08
1852,2.864639925270751e-08,5.859491025717034e-08
1853,1.7915795735845563e-08,3.941474879809448e-08
1854,1.7665259477439577e-08,4.9358812592714685e-08
1855,2.0697054736729115e-08,5.253867740862006e-08
1856,1.5013848608802505e-08,6.937433516540636e-08
1857,2.0990488958094744e-08,4.149282784027264e-08
1858,1.6638498356869036e-08,3.034079076869034e-08
1859,1.680417249794175e-08,5.092173438470127e-08
1860,1.1900678331677739e-08,2.8836258714193264e-08
1861,1.1789909160064838e-08,6.696668641836823e-08
1862,2.2589932147099034e-08,9.532951228408137e-08
1863,1.1487627959994029e-08,4.395266195444947e-08
1864,1.5343129544653777e-08,5.2742008316286615e-08
1865,8.943004337069738e-09,3.624270106250549e-08
1866,3.1139921974343565e-08,4.7683005099941056e-08
1867,1.4073153309368536e-08,9.8026790240624e-08
1868,3.210918098073279e-08,4.001297870814824e-08
1869,2.8324410261681976e-08,6.59275096737133e-08
1870,1.1468097138589428e-08,6.995539614251811e-08
1871,7.434823867669138e-09,4.248470863998932e-08
1872,7.861540973763681e-09,7.135860347062817e-08
1873,6.824045062359119e-08,4.549363374906079e-08
1874,7.766991494406739e-09,5.795370938699307e-08
1875,1.77367336373635e-08,6.350895276341362e-08
1876,4.111290130559553e-08,1.0278224849002982e-07
1877,2.72131899237138e-08,1.0823428198136753e-07
1878,1.2078177291652281e-08,5.193616203769125e-08
1879,1.8938908663557186e-08,3.299035578052667e-08
1880,1.8611754359909582e-08,5.647704703903855e-08
1881,1.812851979643426e-08,5.36883084656381e-08
1882,1.4641846846075168e-08,4.7918772505539664e-08
1883,1.2638677882037541e-08,7.83598004261421e-08
1884,1.1222884843675729e-08,7.195849516250519e-08
1885,1.2246707925545053e-08,4.576401391176432e-08
1886,1.6133659463957173e-08,4.711028589454713e-08
1887,1.697520390919749e-08,3.590908459472075e-08
1888,1.7119659467823567e-08,6.467427127176961e-08
1889,7.518164202302557e-09,3.821733329800736e-08
1890,1.9007721174801873e-08,4.129263508900749e-08
1891,3.505821055682645e-08,5.5455714687013824e-08
1892,2.1312941633766513e-08,4.011848053764311e-08
1893,1.3548516419881196e-08,5.97366389687437e-08
1894,1.5123694296903523e-08,4.285046717455998e-08
1895,1.2037228547256973e-08,4.2732162253145134e-08
1896,9.435246306477296e-09,3.7740985892043e-08
1897,7.574727733938857e-09,5.884980769366166e-08
1898,1.018503881233812e-08,5.375437162058461e-08
1899,1.1055156790007459e-08,5.417026827103655e-08
1900,1.7130475371551768e-08,8.098042947324302e-08
1901,5.588739082629246e-09,4.973977585365219e-08
1902,1.2766738111125164e-08,5.9414433373206066e-08
1903,6.48026410310365e-09,3.726151920346865e-08
1904,6.987012746151322e-09,4.084715321539534e-08
1905,8.257214467732865e-09,7.173455074394042e-08
1906,5.658602919567102e-09,5.96725415746846e-08
1907,8.228549175370858e-09,5.245700052114444e-08
1908,9.822778146428846e-09,6.433919885751038e-08
1909,5.500983557560346e-09,4.620826299372993e-08
1910,1.2825962070195374e-08,5.6647996515835075e-08
1911,1.276889838308648e-08,4.203095649302213e-08
1912,6.772247596043002e-09,4.6884792048729196e-08
1913,4.772690798127144e-09,3.4999732445584186e-08
1914,4.68772043404897e-09,2.678697574864941e-08
1915,1.64930663570928e-08,4.476689507981746e-08
1916,1.3184954461564757e-08,8.130722051191697e-08
1917,1.644963654179321e-08,5.921869394853729e-08
1918,3.2161855401113826e-08,4.364823169566989e-08
1919,2.0257266697409904e-08,2.9465115236604333e-08
1920,5.300562211374427e-09,4.997672853335189e-08
1921,2.7261891411001216e-08,2.574734114801913e-08
1922,2.5084979815570563e-08,4.500540562446531e-08
