year,meilleurs_ADJ âges_NOUN,meilleurs_ADJ gages_NOUN
1800,0.0,0.0
1801,0.0,2.3811825400343878e-08
1802,0.0,0.0
1803,0.0,1.950339223455444e-09
1804,2.4718509461507665e-09,2.4718509461507665e-09
1805,0.0,0.0
1806,2.0171682990621775e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.71256075987003e-08,0.0
1818,0.0,0.0
1819,0.0,1.3456364911235141e-08
1820,0.0,0.0
1821,2.9584463767662328e-09,1.97229765852569e-09
1822,0.0,4.010246357211145e-09
1823,1.9765373782121287e-09,0.0
1824,0.0,6.736890156844311e-09
1825,4.4027217427355936e-09,4.4027217427355936e-09
1826,0.0,4.403992281964975e-09
1827,0.0,9.217273055917019e-10
1828,0.0,0.0
1829,0.0,4.286587973467704e-09
1830,0.0,6.262101504006523e-09
1831,0.0,1.5591206103948707e-09
1832,0.0,0.0
1833,0.0,4.6334514003376626e-09
1834,0.0,4.667265685043276e-09
1835,2.2689263801112247e-09,5.294161553592858e-09
1836,1.3441500135158435e-09,5.376600054063374e-09
1837,6.957890930081589e-10,6.957891152126194e-09
1838,0.0,2.5248647617104325e-09
1839,3.4957374772659477e-09,2.7965900706306e-09
1840,9.554533164646273e-09,5.732719632334238e-09
1841,6.420548537278137e-10,0.0
1842,6.708265054555795e-10,2.0124795163667386e-09
1843,0.0,9.451057714215949e-09
1844,5.488561272137815e-10,1.2074834465636286e-08
1845,0.0,2.7343116215661212e-08
1846,5.854501328173001e-10,5.269050973311096e-09
1847,0.0,1.0786447290911383e-08
1848,0.0,1.448139919091318e-08
1849,0.0,0.0
1850,0.0,2.5798184921654865e-08
1851,1.9348316282474798e-09,1.0319102017319892e-08
1852,0.0,1.9531636308300904e-09
1853,0.0,1.3735443005202796e-08
1854,7.79349651480743e-09,1.2989160858012383e-08
1855,5.306937111981824e-10,7.960405667972736e-09
1856,0.0,2.2779632402603056e-08
1857,4.881509085841174e-10,1.0251168802710708e-08
1858,4.893676019968041e-10,9.297984604472731e-09
1859,5.092173349652285e-10,2.0877910955618972e-08
1860,0.0,1.4646988510946812e-08
1861,4.715963619617014e-09,4.715963619617014e-09
1862,0.0,2.2589932147099034e-09
1863,4.994620828036034e-10,3.496234635136375e-09
1864,1.9178911792039344e-09,9.109982990196386e-09
1865,1.4120533631256649e-09,1.4120533631256649e-09
1866,2.919367858567057e-09,6.3252967308358166e-09
1867,1.455843445796745e-09,4.85281148598915e-09
1868,0.0,3.951899252285784e-09
1869,0.0,8.790334682373668e-09
1870,8.027668307875047e-09,1.4335121534259088e-08
1871,7.434824311758348e-09,1.805600113868877e-08
1872,0.0,8.4662747923403e-09
1873,2.9930022904522957e-09,4.788803575905831e-09
1874,0.0,5.377148060148329e-09
1875,0.0,1.1443054503956773e-08
1876,6.04601479992084e-10,1.0882827083946722e-08
1877,1.2369631985365004e-09,2.4739263970730008e-09
1878,6.039088673581716e-10,6.6429977074733415e-09
1879,1.221865053580018e-09,1.0385853066452455e-08
1880,7.059631101924424e-09,2.5671385017744797e-09
1881,5.5780060570498335e-09,2.7890030285249168e-09
1882,3.9932310791357395e-09,1.9966155395678697e-09
