year,quelques_DET oeufs_NOUN,quelques_DET gueux_NOUN
1893,0.0,6.158416554491453e-10
1894,2.520615716150587e-09,3.780923574225881e-09
1895,9.027921521465032e-09,3.0093072478365457e-09
1896,5.897029087265082e-09,3.5382172747233653e-09
1897,4.661370955894029e-09,5.2440420894583895e-09
1898,5.6583546736987955e-09,6.7900258748920805e-09
1899,4.9748205555033564e-09,5.527578395003729e-10
1900,4.15284251431558e-09,1.038210628578895e-09
1901,3.353243460679778e-09,5.588738916095792e-10
1902,4.419255628107521e-09,2.946170252204894e-09
1903,3.7801539676252105e-09,8.640352433531007e-09
1904,3.7622376325430196e-09,1.0749250378694342e-09
1905,2.5803795211665204e-09,6.708986699521802e-09
1906,2.0576738091193647e-09,9.259532252059444e-09
1907,8.228549286393161e-09,1.028568674676933e-09
1908,4.911389073214423e-09,1.4734167219643268e-09
1909,1.2102163438054703e-08,1.6502950672681038e-09
1910,4.809735498767509e-09,4.809735720812114e-09
1911,1.1172785363555704e-08,3.7242620098965062e-09
1912,6.772247651554153e-09,5.2094213387476884e-09
1913,7.954484682048957e-09,3.712092910834741e-09
1914,8.705766885164223e-09,2.678697486047099e-09
1915,4.712304657594757e-09,0.0
1916,8.789969641043172e-09,4.394984820521586e-09
1917,1.096642476827725e-08,1.0966424435210342e-09
1918,5.743188147278033e-09,1.1486376294556067e-09
1919,6.445493971884986e-09,9.207848372660976e-10
1920,4.543339038320937e-09,4.543339038320937e-09
1921,4.543648624011354e-09,0.0
1922,5.1645547283207804e-09,3.6889677978990676e-09
1923,1.1677542488541803e-08,1.0615948120573648e-09
1924,1.0313299547703991e-08,1.289162443462999e-09
1925,4.399271169575059e-09,3.299453377181294e-09
1926,4.458455382660986e-09,6.687683296036084e-09
1927,8.919379901328739e-09,1.1149224876660924e-09
1928,3.4278122562625413e-09,5.713020723163709e-09
1929,4.4561625500705304e-09,6.684243825105796e-09
1930,9.453243188239924e-09,3.1510811737689437e-09
1931,7.983749661377715e-09,4.5621426636444085e-09
1932,5.4797681947604815e-09,0.0
1933,1.2617728861741284e-08,5.735331098932761e-09
1934,1.0783422155213884e-08,1.1981580172459871e-09
1935,5.98414207075848e-09,2.393656828303392e-09
1936,9.699771652549316e-09,1.2124714565686645e-09
1937,1.1332006444320086e-08,2.5182236296217297e-09
1938,1.426173557028676e-08,3.8895642262559704e-09
1939,2.7529290846928234e-08,1.5294050470515685e-09
1940,2.5357829169792012e-09,0.0
1941,2.9515025978810172e-09,0.0
1942,3.034211770724937e-09,6.068423541449874e-09
1943,2.9032352077962287e-09,0.0
1944,1.6065930807940276e-08,3.2131861615880553e-09
1945,1.742803190651898e-08,2.178504043826024e-09
1946,2.7842208538686464e-09,0.0
1947,7.152522574216391e-09,1.1920870957027319e-09
1948,1.630783130757152e-08,2.174377566888097e-09
1949,6.871905600114303e-09,0.0
1950,1.0635361258337639e-08,1.0635361480382244e-09
1951,1.2793682557799002e-08,0.0
1952,1.581720565635436e-08,1.0544803918932644e-09
1953,1.8315507332999914e-08,0.0
1954,8.795282724349818e-09,0.0
1955,2.2525459275613002e-08,9.385607846468247e-10
1956,2.52913103793162e-08,3.488456634670456e-09
1957,1.6786571077620493e-08,0.0
1958,1.0753916701577992e-08,2.4816730892496253e-09
1959,5.425523585955716e-09,1.5501495642666896e-09
1960,1.799416665670961e-08,3.460416619915918e-09
1961,4.86371165564492e-09,1.3896318540318475e-09
1962,8.878739188311613e-09,4.43936931660005e-09
1963,8.405869444949587e-09,7.1126584622049904e-09
1964,8.517555549758526e-09,6.083968329129164e-10
1965,9.302474013317408e-09,3.2832261354087677e-09
1966,6.092982229866095e-09,2.7695373772118614e-09
1967,5.423369309198733e-09,6.4094360374689074e-09
1968,3.5931326802796093e-09,4.4914158503495116e-10
1969,9.083515273289322e-09,1.3625273131978588e-09
1970,3.678980065036086e-09,1.8394900047624674e-09
1971,7.707596449968435e-09,3.083038491169532e-09
1972,7.182205497002769e-09,2.565073486948677e-09
1973,5.513203671370093e-09,1.102640756478479e-09
1974,1.0126029126311664e-08,3.3753431161187564e-09
1975,7.4249242310031605e-09,1.1422960355389478e-09
1976,8.570290255249802e-09,1.142705374768127e-09
1977,8.22749424145286e-09,5.876781838942691e-10
1978,2.9702956760857546e-09,2.3762365408686037e-09
1979,1.287434159280565e-08,2.3407893401383717e-09
1980,6.822180764753938e-09,1.1370301367108482e-09
1981,8.223214609248686e-09,6.325549528618524e-10
1982,6.828252629986764e-09,0.0
1983,1.578829045278951e-08,1.89459470334441e-09
1984,6.378909400694965e-09,5.799008495621649e-10
1985,7.218669662023558e-09,2.4062232206745193e-09
1986,5.395036972721812e-09,2.9972427317837003e-09
1987,9.77730663098697e-09,2.4443267410134695e-09
1988,7.795519729736355e-09,5.996553809062277e-10
1989,1.2622681122564927e-08,1.6464366536794728e-09
1990,8.172976628806339e-09,2.179460389939436e-09
1991,7.6199047072123e-09,5.861465202094962e-10
1992,1.0468893973936133e-08,1.6529832502776287e-09
1993,1.218625611532076e-08,5.539207426075166e-10
1994,1.4769794165481187e-08,5.274926606624319e-10
1995,1.8978577598360857e-08,3.795715741716776e-09
1996,8.540947282753564e-09,3.2028553142993132e-09
1997,1.3425704992187093e-08,4.79489448146353e-10
1998,8.10582001520288e-09,0.0
1999,6.398281460207045e-09,0.0
2000,5.7434409450607404e-09,3.0926219363180962e-09
2001,1.1391150411821371e-08,3.5049693702937645e-09
2002,5.257465574004527e-09,3.066854992184176e-09
2003,9.58392298855415e-09,1.2500768753476166e-09
2004,3.9643119897903034e-09,8.809582507929292e-10
2005,2.702249757291497e-09,3.602999676388663e-09
2006,4.529678854225949e-09,3.294311934354255e-09
2007,3.1955835755326234e-09,1.1983438685803094e-09
2008,5.960415355721338e-09,3.405951742863067e-09
2009,9.53638501499654e-09,3.337734755248789e-09
2010,4.723792912386671e-09,4.251413776579227e-09
2011,4.206369030868018e-09,2.294383100176489e-09
2012,1.3617010852229328e-09,3.404252768568483e-09
2013,2.789125042035323e-10,3.3469499394200852e-09
2014,4.3308902714089825e-09,4.114345891759186e-09
2015,4.433150790905671e-10,4.211493265238175e-09
2016,1.4499380585064614e-09,3.5212779914139958e-09
2017,1.509366853724714e-09,2.264050197320344e-09
2018,2.8396134332808742e-09,2.5814666515522333e-09
2019,5.101975453225549e-09,5.1019755087367e-09
