year,aux_ADP amas_NOUN,aux_ADP gamma_NOUN
1800,6.60274537267469e-08,0.0
1801,3.333655484993869e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,2.5354410126965377e-08,0.0
1804,3.707776485839531e-08,0.0
1805,5.685755488649136e-08,0.0
1806,1.152667650217154e-08,0.0
1807,5.693910276605152e-08,0.0
1808,2.4926814390369145e-08,0.0
1809,8.132509776714869e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,5.264861258069686e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,7.189354289671712e-08,0.0
1814,0.0,0.0
1815,9.440282155992463e-08,0.0
1816,3.476405829871965e-08,0.0
1817,8.251429051142622e-08,0.0
1818,2.741870730460505e-08,0.0
1819,5.3825459644940565e-08,0.0
1820,4.865257352548724e-08,0.0
1821,3.648750634965836e-08,0.0
1822,3.0076847679083585e-08,0.0
1823,3.2612866740500124e-08,0.0
1824,4.29476756380609e-08,0.0
1825,3.5221772387572514e-08,0.0
1826,5.813269510213104e-08,0.0
1827,4.2399456390285195e-08,0.0
1828,1.1006761113652175e-08,0.0
1829,1.7146351893870815e-08,0.0
1830,3.339787335576716e-08,0.0
1831,1.870944643656003e-08,0.0
1832,7.712082350508354e-08,0.0
1833,3.4750886612755494e-08,0.0
1834,2.5203233944282033e-08,0.0
1835,3.6302822081779595e-08,0.0
1836,1.8146025126952736e-08,0.0
1837,2.7831564608504777e-08,0.0
1838,1.9567702125300457e-08,0.0
1839,3.0063343814390464e-08,0.0
1840,6.815567132889555e-08,0.0
1841,6.998397727997485e-08,0.0
1842,2.2808102073668124e-08,0.0
1843,6.3794637128467e-08,0.0
1844,2.5247382018367404e-08,0.0
1845,3.738752596404993e-08,0.0
1846,2.92725064188204e-08,0.0
1847,2.426950729272903e-08,0.0
1848,6.355725190587691e-08,0.0
1849,8.128032491505621e-08,0.0
1850,9.504594444820214e-09,0.0
1851,1.9348317170653218e-08,0.0
1852,1.4323200403509873e-08,0.0
1853,5.6136158832487126e-08,0.0
1854,3.013485283531736e-08,0.0
1855,2.9188154115900034e-08,0.0
1856,2.4332790005132665e-08,0.0
1857,4.930324237761852e-08,0.0
1858,1.761723389392955e-08,0.0
1859,3.9718951461154006e-08,0.0
1860,2.8378540406492903e-08,0.0
1861,2.0750239970723783e-08,0.0
1862,2.710791768834042e-08,0.0
1863,1.9978482868054925e-08,0.0
1864,3.308362150900024e-08,0.0
1865,4.3773653146672586e-08,0.0
1866,4.670988573707291e-08,0.0
1867,5.095452060288608e-08,0.0
1868,7.064019769131846e-08,0.0
1869,5.762552746091387e-08,0.0
1870,8.371711546217853e-08,0.0
1871,6.054071222116875e-08,0.0
1872,7.498700493879795e-08,0.0
1873,5.806424496768159e-08,0.0
1874,7.587753819704446e-08,0.0
1875,3.661777253638476e-08,0.0
1876,3.808989390563511e-08,0.0
1877,4.9478529717816855e-08,0.0
1878,4.9520527178881224e-08,0.0
1879,8.186496180950797e-08,0.0
1880,4.1074214696124045e-08,0.0
1881,3.69542902944886e-08,0.0
1882,4.725323421439498e-08,0.0
1883,7.267239965358385e-08,0.0
1884,5.0833065756705764e-08,0.0
