year,les_DET août_NOUN,les_DET gouttes_NOUN
1800,1.8864987794131594e-08,2.2072033694087168e-06
1801,2.3811825844433088e-09,1.0143837698706193e-06
1802,4.475680270843441e-09,1.1860552433518023e-06
1803,3.900678446910888e-09,1.4939598773633378e-06
1804,0.0,8.50316731471068e-07
1805,0.0,9.2109240767968e-07
1806,3.7461699520235925e-08,9.278974664184148e-07
1807,2.8469551160981155e-09,6.092483779696067e-07
1808,4.078933191209444e-08,8.407134370891356e-07
1809,4.518061036407062e-09,9.894553727463062e-07
1810,2.3401267590372754e-09,9.009487769162661e-07
1811,2.0056614147279106e-08,5.340073379045407e-07
1812,2.6672082320544632e-09,1.0748848922048637e-06
1813,2.013019151370088e-08,1.1157876969036806e-06
1814,9.440030979135372e-09,4.6885488558245925e-07
1815,5.394447111228828e-09,7.228558907002025e-07
1816,0.0,1.3789743036340951e-06
1817,6.227493631882908e-09,1.050889522957732e-06
1818,1.3113294894395722e-08,7.546105464939501e-07
1819,0.0,7.794340621813944e-07
1820,4.746592452420373e-09,4.746592559001783e-07
1821,3.944595206029078e-09,8.411849670153515e-07
1822,2.0051231786055723e-09,7.248520574876238e-07
1823,3.9530747564242574e-09,8.261926218722238e-07
1824,7.57900142644985e-09,1.008849268124834e-06
1825,7.92489873724378e-09,5.811592664883847e-07
1826,4.403992281964975e-09,4.236640585020268e-07
1827,3.6869092223668076e-09,6.737826854230633e-07
1828,4.586150681440415e-09,6.512333854402641e-07
1829,8.573175891424256e-09,7.304346198999667e-07
1830,6.262101504006523e-09,9.654072883336084e-07
1831,4.677361831184612e-09,8.996126013016692e-07
1832,2.705993873419743e-09,8.835069869039813e-07
1833,3.475088550253247e-09,1.418994459712053e-06
1834,8.401077833397608e-09,7.439620972604644e-07
1835,5.294161553592858e-09,8.727803333385964e-07
1836,7.392824907803686e-09,1.1445437816948179e-06
1837,9.74104752415883e-09,7.604974783248508e-07
1838,6.312161904276081e-09,7.928075476115737e-07
1839,1.0487213319976263e-08,7.257151395378969e-07
1840,5.0957510988602905e-09,9.452617788507922e-07
1841,1.926164561183441e-09,7.094706053756283e-07
1842,4.695785538189057e-09,7.600464506651861e-07
1843,1.7720733214154905e-09,7.873912333256072e-07
1844,1.6465684371524958e-09,6.789350211477974e-07
1845,2.7901140065011987e-08,7.455184539151283e-07
1846,1.5221703453249802e-08,7.195182227803798e-07
1847,5.9325460100012606e-09,7.399502770510935e-07
1848,2.4135665133151463e-09,7.433784787735931e-07
1849,4.189707314417035e-08,6.276181727660202e-07
1850,6.1100964288129944e-09,1.0074870377962952e-06
1851,4.514607132577453e-09,1.0080472825357845e-06
1852,3.2552727180501506e-09,6.484503138892705e-07
1853,1.7915795513800958e-09,1.0038817226387664e-06
1854,5.715231066183435e-09,9.274260814873259e-07
1855,7.960405667972736e-09,8.894426528627264e-07
1856,1.2425254380943329e-08,9.551913993099959e-07
1857,3.6611316978074626e-08,8.279039667158372e-07
