year,gros_ADJ gages_NOUN
1800,1.1004575384276905e-07
1801,1.4287095950749062e-08
1802,3.8043282302169246e-08
1803,6.241085515057421e-08
1804,4.943701981119375e-08
1805,5.685755422035754e-09
1806,2.305335300434308e-08
1807,2.8469551160981155e-09
1808,2.7192887941396293e-08
1809,1.3554183553310395e-08
1810,6.552355102940055e-08
1811,3.760615285841595e-08
1812,1.600324850414836e-08
1813,1.7254450312975678e-08
1814,9.440030979135372e-09
1815,0.0
1816,3.476405652236281e-08
1817,7.784366928831332e-09
1818,8.464036227451288e-08
1819,1.0351049795076506e-08
1820,2.4919611263385377e-08
1821,3.254291058851777e-08
1822,3.308453244699194e-08
1823,2.2730180404550993e-08
1824,1.51580028528997e-08
1825,3.0819052199149155e-08
1826,2.7304752237000685e-08
1827,2.3964910056406552e-08
1828,3.760643352279658e-08
1829,1.5431716349212365e-08
1830,5.4271545479878114e-08
1831,4.2096257146795324e-08
1832,2.570694235259907e-08
1833,2.6642345218874652e-08
1834,1.3068342852307069e-08
1835,3.025235173481633e-08
1836,1.9490174807401672e-08
1837,3.1310509740478665e-08
1838,1.7042836475411605e-08
1839,3.146163862766116e-08
1840,2.0383003729307347e-08
1841,1.0272877659645019e-08
1842,2.95163662400455e-08
1843,1.594865928211675e-08
1844,1.3721403568922597e-08
1845,1.6182660544927785e-08
1846,1.5221703009160592e-08
1847,2.2651539310913904e-08
1848,4.02261068899179e-09
1849,1.6758829879393033e-09
1850,5.431196825611551e-09
1851,1.9348316726564008e-08
1852,1.3672145193766028e-08
1853,3.2845626662947325e-08
1854,1.7665259477439577e-08
1855,1.8574279891936385e-08
1856,8.801221973442352e-09
1857,2.7336451324799782e-08
1858,2.104280660830682e-08
1859,1.2730433596175317e-08
1860,2.0139609091529564e-08
1861,1.650587222457034e-08
1862,2.0782737308877586e-08
1863,1.39849385405455e-08
1864,9.589456340108882e-09
1865,2.729969672543575e-08
1866,1.216403244796993e-08
1867,1.4073153309368536e-08
1868,9.87974857480367e-09
1869,3.320792885119772e-08
1870,1.204150201772336e-08
1871,6.37270636261178e-09
1872,3.3260366905096816e-08
1873,2.1549615425442425e-08
1874,1.4936523129449597e-08
1875,8.58229043387837e-09
1876,1.6324239737741664e-08
1877,9.895705588292003e-09
1878,1.872117572077059e-08
1879,2.077170613290491e-08
1880,1.3477476912271413e-08
1881,3.834879080955034e-08
1882,2.0631693686823382e-08
1883,8.847074184359371e-09
1884,2.0465261485469455e-08
1885,1.740321664556177e-08
1886,1.4842966855610484e-08
1887,2.415702127223085e-08
1888,1.4583413587843097e-08
1889,2.944614330147033e-08
1890,1.1797895993481688e-08
1891,1.3385862196457765e-08
1892,2.570090096298827e-08
1893,8.005941687372342e-09
1894,2.2055386850183822e-08
1895,1.6852119699706236e-08
1896,2.0639602027472392e-08
1897,2.155884004650943e-08
1898,9.619203211741478e-09
1899,1.713549302451156e-08
1900,2.0245106924221545e-08
1901,1.2295225282343836e-08
1902,1.0311596021495006e-08
1903,1.6200660368781428e-08
1904,1.3974025492302644e-08
1905,1.7030505006232488e-08
1906,2.006231980544726e-08
1907,2.6228502036929058e-08
1908,5.40252820258047e-09
1909,2.4204327431220918e-08
1910,1.068830179917768e-08
1911,1.8621308939259507e-08
1912,1.510732161591477e-08
1913,8.484783542428431e-09
1914,7.366418142140674e-09
1915,7.068456930880984e-09
1916,2.197492321442951e-08
1917,1.0966424213165737e-08
1918,5.743188147278033e-09
1919,1.8415697411455767e-08
1920,4.543339038320937e-09
1921,1.3630945261411398e-08
1922,5.164555005876537e-09
1923,1.2739137744688378e-08
1924,1.0313299547703991e-08
1925,2.1996355847875293e-09
1926,1.2260752413340015e-08
1927,1.8953683067479687e-08
1928,2.0566874425753667e-08
1929,1.0026365515614089e-08
1930,1.470504518152893e-08
1931,7.983749661377715e-09
1932,1.0959536389520963e-08
1933,0.0
1934,1.0783422155213884e-08
1935,1.4361940969820353e-08
1936,9.699771652549316e-09
1937,1.1332006444320086e-08
1938,3.8895642262559704e-09
1939,4.588215141154706e-09
1940,0.0
1941,1.1806010391524069e-08
1942,1.517105907566929e-08
1943,5.806470415592457e-09
1944,1.6065930807940276e-08
1945,6.535512131478072e-09
1946,4.1763312808029696e-09
1947,1.1920871401116528e-08
1948,7.610321262063735e-09
1949,3.9268033269479474e-09
1950,6.381216888229346e-09
1951,1.9190522948520083e-08
1952,1.0544804140977249e-08
1953,4.3095309543161875e-09
1954,9.772536113672459e-10
1955,2.815682353940474e-09
1956,8.72114114258693e-09
1957,8.835037701437898e-10
1958,5.790570245522986e-09
1959,4.650448914844674e-09
1960,5.536666680683311e-09
1961,3.47407969059077e-09
1962,5.7077609305622445e-09
1963,1.939815863494232e-09
1964,7.300761772910391e-09
1965,4.924839203113152e-09
1966,7.200797291773142e-09
1967,5.423369309198733e-09
1968,5.3896989093971115e-09
1969,7.72098829315837e-09
1970,5.058597540852361e-09
1971,6.166076982339064e-09
1972,3.5911027485013847e-09
1973,7.718485406371656e-09
1974,5.625571564138454e-09
1975,1.1422960355389478e-09
1976,1.7140580066410394e-09
1977,4.7014254711541525e-09
1978,1.0099005187669263e-08
1979,8.192762912528906e-09
1980,3.97960553399912e-09
1981,6.958104314946922e-09
1982,3.7245013739806154e-09
1983,2.5261264191556165e-09
1984,4.639206796497319e-09
1985,4.210890747202711e-09
1986,1.1988970927134801e-09
1987,3.0554083707556856e-09
1988,2.99827696004229e-09
1989,6.585746614717891e-09
1990,3.814055737905164e-09
1991,1.7584396161396398e-09
1992,5.509944167592096e-10
1993,4.4313659408601325e-09
1994,4.747434001473039e-09
1995,1.138714633697191e-08
1996,3.736664311304594e-09
1997,3.835915585170824e-09
1998,4.7681290027412615e-09
1999,4.570201106446348e-09
2000,7.068850393920911e-09
2001,3.943090742808408e-09
2002,4.381221607729913e-09
2003,3.7502307925763034e-09
2004,1.3214373595360485e-08
2005,2.251874686720612e-09
2006,2.8825228870488218e-09
2007,3.595031605740928e-09
2008,2.554463751636149e-09
2009,3.814554005998616e-09
2010,1.4171379625338432e-09
2011,1.911985902935953e-09
2012,1.7021263287730903e-09
2013,4.183687618564136e-09
2014,2.815078836704288e-09
2015,7.093041265449074e-09
2016,1.1599504468051691e-08
2017,1.2578056374223934e-09
2018,6.453666934191915e-09
2019,4.846876677788714e-09
